team,maps_played,wins_draws_lose,total_kills,total_death,k_d_ratio,team,name,total_kills_from_crew,headshots_from_crew,total_death_from_crew,k_d_ratio_from_crew,maps_played_from_crew,rating_2_0_from_crew,team,opponent,map_map,result,w_l
Rooster,67,42 / 0 / 25,4686,4225,1.11,Rooster,dangeR,901,46.5%,807,1.12,64,1.11,Rooster,Bad News Kangaroos,Inferno,9 - 13,L
Imperial,142,95 / 0 / 47,10487,9281,1.13,Rooster,chelleos,879,37.7%,806,1.09,65,1.11,Rooster,VexX,Anubis,13 - 2,W
NRG,67,39 / 0 / 28,5004,4445,1.13,Rooster,nettik,1160,60.2%,796,1.46,67,1.39,Rooster,Jeeves,Mirage,6 - 13,L
BIG,114,67 / 0 / 47,8677,8008,1.08,Rooster,asap,935,56.9%,837,1.12,67,1.17,Rooster,Mindfreak,Mirage,13 - 7,W
Virtus.pro,108,70 / 0 / 38,7886,7218,1.09,Rooster,TjP,784,63.0%,829,0.95,59,1.04,Rooster,Grayhound,Anubis,10 - 13,L
Spirit,105,74 / 0 / 31,7912,7034,1.12,Imperial,HEN1,2057,34.9%,1588,1.30,142,1.18,Rooster,Grayhound,Anubis,10 - 13,L
MIBR,111,74 / 0 / 37,8273,7657,1.08,Imperial,felps,2324,44.5%,2017,1.15,142,1.21,Rooster,DXA,Inferno,13 - 5,W
Nouns,114,67 / 0 / 47,8572,8075,1.06,Imperial,VINI,1855,49.0%,1893,0.98,142,1.04,Rooster,M80,Vertigo,7 - 13,L
M80,105,67 / 0 / 38,7885,7257,1.09,Imperial,decenty,1914,53.5%,1606,1.19,124,1.15,Rooster,Bad News Kangaroos,Anubis,5 - 13,L
TheMongolz,94,64 / 0 / 30,7166,6691,1.07,Imperial,noway,2133,54.8%,1953,1.09,142,1.14,Rooster,101EST,Mirage,13 - 4,W
fnatic,83,41 / 0 / 42,6019,6003,1.00,NRG,autimatic,849,54.2%,782,1.09,57,1.13,Rooster,Bad News Kangaroos,Inferno,13 - 9,W
FaZe,113,76 / 0 / 37,8659,8218,1.05,NRG,Brehze,1054,61.6%,923,1.14,67,1.18,Rooster,Grayhound,Anubis,7 - 13,L
RED Canids,165,104 / 0 / 61,12231,11336,1.08,NRG,oSee,1005,33.2%,859,1.17,67,1.15,Rooster,Mindfreak,Anubis,13 - 6,W
3DMAX,77,43 / 0 / 34,5486,5315,1.03,NRG,Walco,1260,59.1%,1195,1.05,86,1.10,Rooster,MANTRA,Mirage,13 - 3,W
Monte,117,67 / 0 / 50,8758,8373,1.05,NRG,HexT,1588,52.2%,1323,1.20,103,1.20,Rooster,Grayhound,Vertigo,3 - 13,L
The Witchers,69,36 / 0 / 33,5273,5157,1.02,BIG,tabseN,1781,55.7%,1713,1.04,114,1.13,Rooster,VERTEX,Overpass,13 - 9,W
paiN,134,83 / 0 / 51,10001,9418,1.06,BIG,syrsoN,1168,29.2%,1017,1.15,73,1.10,Rooster,Mindfreak,Mirage,13 - 3,W
Preasy,164,102 / 0 / 62,12332,11686,1.06,BIG,JDC,1220,51.9%,1091,1.12,73,1.16,Rooster,VERTEX,Mirage,13 - 3,W
Into the Breach,69,35 / 0 / 34,5000,4824,1.04,BIG,prosus,1690,59.1%,1748,0.97,114,1.05,Rooster,Vantage,Anubis,13 - 3,W
