,team,data,match,opponent,map_map,result,w_l
0,00NATION,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,Endpoint,Inferno,6 - 13,L
1,00NATION,13/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,sYnck,Inferno,10 - 13,L
2,00NATION,10/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,Viperio,Inferno,13 - 3,W
3,00NATION,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,Endpoint,Inferno,6 - 13,L
4,00NATION,13/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,sYnck,Inferno,10 - 13,L
5,00NATION,10/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,Viperio,Inferno,13 - 3,W
6,00NATION,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,PGE Turow,Nuke,13 - 7,W
7,00NATION,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,IKLA,Ancient,14 - 16,L
8,00NATION,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,PGE Turow,Nuke,13 - 7,W
9,00NATION,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,IKLA,Ancient,14 - 16,L
