,team,data,match,opponent,map_map,result,w_l
0,1WIN,01/11/23,ESL Challenger League Season 46 Europe,9INE,Vertigo,10 - 13,L
1,1WIN,27/10/23,CCT East Europe Series 3,Preasy,Overpass,13 - 1,W
2,1WIN,25/10/23,ESL Challenger League Season 46 Europe,Betera,Nuke,13 - 3,W
3,1WIN,18/10/23,ESL Challenger League Season 46 Europe,IKLA,Nuke,16 - 12,W
4,1WIN,04/10/23,ESL Challenger Jönköping 2023 Europe Open Qualifier,The Chosen Few,Overpass,7 - 13,L
5,1WIN,30/09/23,CCT East Europe Series 2,Aurora,Overpass,16 - 11,W
6,1WIN,28/09/23,CCT East Europe Series 2,Pompa,Inferno,16 - 12,W
7,1WIN,24/09/23,CCT 2023 Online Finals 3,MIBR,Mirage,16 - 9,W
8,1WIN,21/09/23,CCT 2023 Online Finals 3,Aurora,Inferno,16 - 9,W
9,1WIN,16/09/23,RES Eastern European Masters Fall 2023 - BLAST Premier Qualifier,Cloud9,Inferno,1 - 16,L
10,1WIN,16/09/23,RES Eastern European Masters Fall 2023 - BLAST Premier Qualifier,Cloud9,Inferno,8 - 16,L
11,1WIN,26/08/23,PARI Dunav Party 2023,FORZE,Nuke,16 - 11,W
12,1WIN,25/08/23,PARI Dunav Party 2023,Eternal Fire,Nuke,16 - 8,W
13,1WIN,23/08/23,IEM Sydney 2023 Europe Closed Qualifier,Ninjas in Pyjamas,Overpass,24 - 28,L
14,1WIN,17/08/23,CCT Central Europe Series 7,Monte,Nuke,16 - 14,W
15,1WIN,15/08/23,CCT Central Europe Series 7,RUBIK,Nuke,19 - 17,W
16,1WIN,12/08/23,IEM Sydney 2023 Europe Open Qualifier 2,Anonymo,Ancient,16 - 12,W
17,1WIN,28/07/23,CCT North Europe Series 6,ex-HYDRA,Vertigo,16 - 8,W
18,1WIN,12/07/23,Gamers8 2023 Europe Open Qualifier 2,Looking4Org,Vertigo,16 - 11,W
19,1WIN,11/07/23,Gamers8 2023 Europe Open Qualifier 2,Ambush,Overpass,16 - 8,W
20,1WIN,30/05/23,BetBoom Playlist Freedom 2023,SAW,Overpass,16 - 9,W
21,1WIN,27/05/23,BetBoom Playlist Freedom 2023,Looking4Org,Vertigo,16 - 14,W
22,1WIN,25/05/23,ESL Challenger League Season 45 Europe,SAW,Vertigo,16 - 12,W
23,1WIN,20/05/23,BetBoom Playlist Freedom 2023,00NATION,Vertigo,16 - 9,W
24,1WIN,16/05/23,BetBoom Playlist Freedom 2023,9 Pandas,Nuke,8 - 16,L
25,1WIN,06/05/23,BetBoom Playlist Freedom 2023,Spirit Academy,Mirage,17 - 19,L
26,1WIN,29/04/23,CCT Central Europe Series 6,Astralis Talent,Inferno,16 - 19,L
27,1WIN,25/04/23,ESL Challenger League Season 45 Europe,Sangal,Ancient,16 - 2,W
28,1WIN,07/04/23,BLAST.tv Paris Major 2023 Europe RMR A,GamerLegion,Vertigo,16 - 19,L
29,1WIN,06/04/23,BLAST.tv Paris Major 2023 Europe RMR A,Bad News Eagles,Mirage,16 - 9,W
30,1WIN,25/03/23,ESL Challenger League Season 44 Europe,Monte,Nuke,14 - 16,L
31,1WIN,24/03/23,ESL Challenger League Season 44 Europe,9INE,Overpass,6 - 16,L
32,1WIN,21/03/23,ESL Challenger League Season 44 Europe,FORZE,Overpass,19 - 16,W
33,1WIN,19/03/23,CCT Central Europe Series 5,359,Mirage,16 - 5,W
34,1WIN,13/03/23,BetBoom Playlist Urbanistic 2023,Apeks,Vertigo,16 - 13,W
35,1WIN,08/03/23,ESL Challenger Melbourne 2023 Europe Closed Qualifier,Copenhagen Flames,Vertigo,16 - 9,W
36,1WIN,07/03/23,ESL Challenger League Season 44 Europe,Endpoint,Mirage,16 - 12,W
37,1WIN,26/02/23,ESL Challenger Melbourne 2023 Europe Open Qualifier,SINNERS,Mirage,16 - 8,W
38,1WIN,20/02/23,BetBoom Playlist Urbanistic 2023,HAVU,Nuke,16 - 8,W
39,1WIN,17/02/23,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,LDLC,Nuke,16 - 10,W
40,1WIN,16/02/23,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,Viperio,Vertigo,15 - 19,L
41,1WIN,18/01/23,ESL Challenger League Season 44 Europe,Believe,Vertigo,16 - 12,W
42,1WIN,01/11/23,ESL Challenger League Season 46 Europe,9INE,Vertigo,10 - 13,L
43,1WIN,01/11/23,ESL Challenger League Season 46 Europe,9INE,Nuke,4 - 13,L
44,1WIN,27/10/23,CCT East Europe Series 3,Preasy,Overpass,13 - 1,W
45,1WIN,27/10/23,CCT East Europe Series 3,Preasy,Nuke,14 - 16,L
46,1WIN,27/10/23,CCT East Europe Series 3,Preasy,Ancient,13 - 10,W
47,1WIN,25/10/23,ESL Challenger League Season 46 Europe,Betera,Nuke,13 - 3,W
48,1WIN,25/10/23,ESL Challenger League Season 46 Europe,Betera,Ancient,13 - 1,W
49,1WIN,18/10/23,ESL Challenger League Season 46 Europe,IKLA,Nuke,16 - 12,W
50,1WIN,18/10/23,ESL Challenger League Season 46 Europe,IKLA,Ancient,19 - 15,W
51,1WIN,04/10/23,ESL Challenger Jönköping 2023 Europe Open Qualifier,The Chosen Few,Overpass,7 - 13,L
52,1WIN,30/09/23,CCT East Europe Series 2,Aurora,Overpass,16 - 11,W
53,1WIN,30/09/23,CCT East Europe Series 2,Aurora,Ancient,16 - 13,W
54,1WIN,28/09/23,CCT East Europe Series 2,Pompa,Inferno,16 - 12,W
55,1WIN,28/09/23,CCT East Europe Series 2,Pompa,Nuke,16 - 11,W
56,1WIN,24/09/23,CCT 2023 Online Finals 3,MIBR,Mirage,16 - 9,W
57,1WIN,24/09/23,CCT 2023 Online Finals 3,MIBR,Vertigo,16 - 8,W
58,1WIN,21/09/23,CCT 2023 Online Finals 3,Aurora,Inferno,16 - 9,W
59,1WIN,21/09/23,CCT 2023 Online Finals 3,Aurora,Mirage,16 - 12,W
60,1WIN,21/09/23,CCT 2023 Online Finals 3,Aurora,Nuke,5 - 16,L
61,1WIN,16/09/23,RES Eastern European Masters Fall 2023 - BLAST Premier Qualifier,Cloud9,Inferno,1 - 16,L
62,1WIN,16/09/23,RES Eastern European Masters Fall 2023 - BLAST Premier Qualifier,Cloud9,Inferno,8 - 16,L
63,1WIN,26/08/23,PARI Dunav Party 2023,FORZE,Nuke,16 - 11,W
64,1WIN,26/08/23,PARI Dunav Party 2023,FORZE,Mirage,16 - 9,W
65,1WIN,25/08/23,PARI Dunav Party 2023,Eternal Fire,Nuke,16 - 8,W
66,1WIN,25/08/23,PARI Dunav Party 2023,Eternal Fire,Vertigo,16 - 13,W
67,1WIN,23/08/23,IEM Sydney 2023 Europe Closed Qualifier,Ninjas in Pyjamas,Overpass,24 - 28,L
68,1WIN,23/08/23,IEM Sydney 2023 Europe Closed Qualifier,Ninjas in Pyjamas,Ancient,12 - 16,L
69,1WIN,23/08/23,IEM Sydney 2023 Europe Closed Qualifier,Ninjas in Pyjamas,Nuke,16 - 13,W
70,1WIN,17/08/23,CCT Central Europe Series 7,Monte,Nuke,16 - 14,W
71,1WIN,17/08/23,CCT Central Europe Series 7,Monte,Mirage,19 - 17,W
72,1WIN,15/08/23,CCT Central Europe Series 7,RUBIK,Nuke,19 - 17,W
73,1WIN,15/08/23,CCT Central Europe Series 7,RUBIK,Mirage,16 - 7,W
74,1WIN,12/08/23,IEM Sydney 2023 Europe Open Qualifier 2,Anonymo,Ancient,16 - 12,W
75,1WIN,28/07/23,CCT North Europe Series 6,ex-HYDRA,Vertigo,16 - 8,W
76,1WIN,28/07/23,CCT North Europe Series 6,ex-HYDRA,Mirage,11 - 16,L
77,1WIN,28/07/23,CCT North Europe Series 6,ex-HYDRA,Nuke,16 - 8,W
78,1WIN,12/07/23,Gamers8 2023 Europe Open Qualifier 2,Looking4Org,Vertigo,16 - 11,W
79,1WIN,11/07/23,Gamers8 2023 Europe Open Qualifier 2,Ambush,Overpass,16 - 8,W
80,1WIN,30/05/23,BetBoom Playlist Freedom 2023,SAW,Overpass,16 - 9,W
81,1WIN,30/05/23,BetBoom Playlist Freedom 2023,SAW,Nuke,16 - 14,W
82,1WIN,27/05/23,BetBoom Playlist Freedom 2023,Looking4Org,Vertigo,16 - 14,W
83,1WIN,27/05/23,BetBoom Playlist Freedom 2023,Looking4Org,Nuke,16 - 9,W
84,1WIN,25/05/23,ESL Challenger League Season 45 Europe,SAW,Vertigo,16 - 12,W
85,1WIN,25/05/23,ESL Challenger League Season 45 Europe,SAW,Overpass,18 - 22,L
86,1WIN,25/05/23,ESL Challenger League Season 45 Europe,SAW,Nuke,16 - 12,W
87,1WIN,20/05/23,BetBoom Playlist Freedom 2023,00NATION,Vertigo,16 - 9,W
88,1WIN,20/05/23,BetBoom Playlist Freedom 2023,00NATION,Ancient,16 - 9,W
