,team,data,match,opponent,map_map,result,w_l
0,3DMAX,10/12/23,ESL Challenger League Season 46 Europe,FORZE,Inferno,13 - 7,W
1,3DMAX,06/12/23,ESL Challenger League Season 46 Europe,Apeks,Anubis,13 - 9,W
2,3DMAX,24/11/23,ESL Challenger Jönköping 2023,Virtus.pro,Ancient,9 - 13,L
3,3DMAX,10/12/23,ESL Challenger League Season 46 Europe,FORZE,Inferno,13 - 7,W
4,3DMAX,10/12/23,ESL Challenger League Season 46 Europe,FORZE,Nuke,16 - 14,W
5,3DMAX,06/12/23,ESL Challenger League Season 46 Europe,Apeks,Anubis,13 - 9,W
6,3DMAX,06/12/23,ESL Challenger League Season 46 Europe,Apeks,Inferno,13 - 6,W
7,3DMAX,24/11/23,ESL Challenger Jönköping 2023,Virtus.pro,Ancient,9 - 13,L
8,3DMAX,07/12/23,ESL Challenger League Season 46 Europe,SINNERS,Anubis,13 - 2,W
9,3DMAX,24/11/23,ESL Challenger Jönköping 2023,GamerLegion,Vertigo,11 - 13,L
10,3DMAX,07/12/23,ESL Challenger League Season 46 Europe,SINNERS,Anubis,13 - 2,W
11,3DMAX,07/12/23,ESL Challenger League Season 46 Europe,SINNERS,Inferno,13 - 10,W
12,3DMAX,07/12/23,ESL Challenger League Season 46 Europe,SINNERS,Ancient,11 - 13,L
13,3DMAX,24/11/23,ESL Challenger Jönköping 2023,GamerLegion,Vertigo,11 - 13,L
14,3DMAX,24/11/23,ESL Challenger Jönköping 2023,GamerLegion,Overpass,9 - 13,L
15,3DMAX,24/11/23,ESL Challenger Jönköping 2023,GamerLegion,Ancient,13 - 4,W
