,team,data,match,opponent,map_map,result,w_l
0,500,19/12/22,ESL Challenger League Season 43 Europe Relegation,LDLC,Inferno,12 - 16,L
1,500,17/12/22,ESL Challenger League Season 43 Europe Relegation,AGO,Mirage,20 - 22,L
2,500,11/12/22,ESEA Advanced Season 43 Europe,Apeks,Ancient,7 - 16,L
3,500,09/12/22,ESEA Advanced Season 43 Europe,IKLA,Inferno,16 - 19,L
4,500,07/12/22,ESEA Advanced Season 43 Europe,PROSPECTS,Dust2,16 - 13,W
5,500,02/12/22,Epic GOCL Season 2,ECLOT,Overpass,16 - 8,W
6,500,28/11/22,Epic GOCL Season 2,HONORIS,Inferno,16 - 14,W
7,500,17/11/22,Elisa Masters Espoo 2022,SAW,Dust2,19 - 17,W
8,500,17/11/22,Elisa Masters Espoo 2022,Bad News Eagles,Dust2,16 - 8,W
9,500,17/11/22,Elisa Masters Espoo 2022,Complexity,Overpass,16 - 14,W
10,500,29/10/22,Epic GOCL Season 1,Nemiga,Nuke,16 - 10,W
11,500,19/12/22,ESL Challenger League Season 43 Europe Relegation,LDLC,Inferno,12 - 16,L
12,500,19/12/22,ESL Challenger League Season 43 Europe Relegation,LDLC,Nuke,14 - 16,L
13,500,17/12/22,ESL Challenger League Season 43 Europe Relegation,AGO,Mirage,20 - 22,L
14,500,17/12/22,ESL Challenger League Season 43 Europe Relegation,AGO,Dust2,3 - 16,L
15,500,17/12/22,ESL Challenger League Season 43 Europe Relegation,AGO,Overpass,16 - 12,W
16,500,11/12/22,ESEA Advanced Season 43 Europe,Apeks,Ancient,7 - 16,L
17,500,11/12/22,ESEA Advanced Season 43 Europe,Apeks,Overpass,5 - 16,L
18,500,11/12/22,ESEA Advanced Season 43 Europe,Apeks,Mirage,16 - 12,W
19,500,09/12/22,ESEA Advanced Season 43 Europe,IKLA,Inferno,16 - 19,L
20,500,09/12/22,ESEA Advanced Season 43 Europe,IKLA,Overpass,16 - 6,W
21,500,09/12/22,ESEA Advanced Season 43 Europe,IKLA,Mirage,19 - 22,L
22,500,07/12/22,ESEA Advanced Season 43 Europe,PROSPECTS,Dust2,16 - 13,W
23,500,07/12/22,ESEA Advanced Season 43 Europe,PROSPECTS,Overpass,16 - 8,W
24,500,02/12/22,Epic GOCL Season 2,ECLOT,Overpass,16 - 8,W
25,500,02/12/22,Epic GOCL Season 2,ECLOT,Inferno,16 - 19,L
26,500,02/12/22,Epic GOCL Season 2,ECLOT,Mirage,16 - 10,W
27,500,28/11/22,Epic GOCL Season 2,HONORIS,Inferno,16 - 14,W
28,500,28/11/22,Epic GOCL Season 2,HONORIS,Nuke,16 - 10,W
29,500,17/11/22,Elisa Masters Espoo 2022,SAW,Dust2,19 - 17,W
30,500,17/11/22,Elisa Masters Espoo 2022,Bad News Eagles,Dust2,16 - 8,W
31,500,17/11/22,Elisa Masters Espoo 2022,Complexity,Overpass,16 - 14,W
32,500,29/10/22,Epic GOCL Season 1,Nemiga,Nuke,16 - 10,W
33,500,29/10/22,Epic GOCL Season 1,Nemiga,Overpass,16 - 5,W
34,500,18/12/22,ESL Challenger League Season 43 Europe Relegation,los kogutos,Overpass,16 - 6,W
35,500,16/12/22,ESL Challenger League Season 43 Europe Relegation,HEET,Ancient,16 - 6,W
36,500,10/12/22,ESEA Advanced Season 43 Europe,JANO,Overpass,16 - 9,W
37,500,07/12/22,ESEA Advanced Season 43 Europe,9 Pandas,Overpass,16 - 13,W
38,500,04/12/22,Epic GOCL Season 2,Tricked,Overpass,16 - 9,W
39,500,01/12/22,Epic GOCL Season 2,Websterz,Overpass,16 - 8,W
40,500,18/11/22,Elisa Masters Espoo 2022,BIG,Inferno,9 - 16,L
41,500,17/11/22,Elisa Masters Espoo 2022,Astralis,Ancient,16 - 1,W
42,500,17/11/22,Elisa Masters Espoo 2022,fnatic,Overpass,11 - 16,L
43,500,30/10/22,Epic GOCL Season 1,Enterprise,Nuke,16 - 12,W
44,500,29/10/22,Epic GOCL Season 1,Tricked,Overpass,16 - 9,W
45,500,18/12/22,ESL Challenger League Season 43 Europe Relegation,los kogutos,Overpass,16 - 6,W
