,team,data,match,opponent,map_map,result,w_l
0,9 Pandas,10/04/24,ESL Challenger League Season 47 Europe,SAW,Inferno,10 - 13,L
1,9 Pandas,09/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Aurora,Ancient,5 - 13,L
2,9 Pandas,08/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Metizport,Ancient,13 - 6,W
3,9 Pandas,04/04/24,ESL Challenger League Season 47 Europe,TSM,Overpass,13 - 4,W
4,9 Pandas,03/04/24,ESL Challenger League Season 47 Europe,9INE,Overpass,16 - 14,W
5,9 Pandas,06/03/24,ESL Challenger League Season 47 Europe,KOI,Ancient,10 - 13,L
6,9 Pandas,29/02/24,ESL Challenger Melbourne 2024 Europe Closed Qualifier,FORZE,Inferno,8 - 13,L
7,9 Pandas,28/02/24,ESL Challenger Melbourne 2024 Europe Closed Qualifier,Lotus,Overpass,13 - 4,W
8,9 Pandas,23/02/24,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,Astralis,Nuke,13 - 8,W
9,9 Pandas,16/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,3DMAX,Ancient,13 - 8,W
10,9 Pandas,14/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,SAW,Anubis,13 - 1,W
11,9 Pandas,30/01/24,IEM Chengdu 2024 Europe Open Qualifier 2,Nemiga,Nuke,11 - 13,L
12,9 Pandas,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,3DMAX,Anubis,13 - 10,W
13,9 Pandas,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,ECSTATIC,Anubis,13 - 11,W
14,9 Pandas,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,Nexus,Nuke,13 - 4,W
15,9 Pandas,10/04/24,ESL Challenger League Season 47 Europe,SAW,Inferno,10 - 13,L
16,9 Pandas,10/04/24,ESL Challenger League Season 47 Europe,SAW,Ancient,13 - 5,W
17,9 Pandas,10/04/24,ESL Challenger League Season 47 Europe,SAW,Anubis,5 - 13,L
18,9 Pandas,09/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Aurora,Ancient,5 - 13,L
19,9 Pandas,09/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Aurora,Nuke,9 - 13,L
20,9 Pandas,08/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Metizport,Ancient,13 - 6,W
21,9 Pandas,04/04/24,ESL Challenger League Season 47 Europe,TSM,Overpass,13 - 4,W
22,9 Pandas,04/04/24,ESL Challenger League Season 47 Europe,TSM,Mirage,13 - 8,W
23,9 Pandas,03/04/24,ESL Challenger League Season 47 Europe,9INE,Overpass,16 - 14,W
24,9 Pandas,03/04/24,ESL Challenger League Season 47 Europe,9INE,Mirage,13 - 5,W
25,9 Pandas,06/03/24,ESL Challenger League Season 47 Europe,KOI,Ancient,10 - 13,L
26,9 Pandas,06/03/24,ESL Challenger League Season 47 Europe,KOI,Overpass,13 - 6,W
27,9 Pandas,06/03/24,ESL Challenger League Season 47 Europe,KOI,Nuke,14 - 16,L
28,9 Pandas,29/02/24,ESL Challenger Melbourne 2024 Europe Closed Qualifier,FORZE,Inferno,8 - 13,L
29,9 Pandas,29/02/24,ESL Challenger Melbourne 2024 Europe Closed Qualifier,FORZE,Anubis,2 - 13,L
30,9 Pandas,29/02/24,ESL Challenger Melbourne 2024 Europe Closed Qualifier,FORZE,Mirage,13 - 9,W
31,9 Pandas,28/02/24,ESL Challenger Melbourne 2024 Europe Closed Qualifier,Lotus,Overpass,13 - 4,W
32,9 Pandas,28/02/24,ESL Challenger Melbourne 2024 Europe Closed Qualifier,Lotus,Ancient,13 - 4,W
33,9 Pandas,23/02/24,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,Astralis,Nuke,13 - 8,W
34,9 Pandas,23/02/24,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,Astralis,Overpass,13 - 11,W
