,team,data,match,opponent,map_map,result,w_l
0,9INE,07/12/21,Svenska Elitserien Fall 2021 Play-In,Young Ninjas,Inferno,10 - 16,L
1,9INE,05/09/21,Komplett Back to Gaming 2021 Sweden,Typ as nice,Vertigo,8 - 16,L
2,9INE,27/08/21,Pelaajat Series Fall 2021,GamerLegion,Mirage,13 - 16,L
3,9INE,07/12/21,Svenska Elitserien Fall 2021 Play-In,Young Ninjas,Inferno,10 - 16,L
4,9INE,07/12/21,Svenska Elitserien Fall 2021 Play-In,Young Ninjas,Mirage,22 - 20,W
5,9INE,07/12/21,Svenska Elitserien Fall 2021 Play-In,Young Ninjas,Overpass,13 - 16,L
6,9INE,05/09/21,Komplett Back to Gaming 2021 Sweden,Typ as nice,Vertigo,8 - 16,L
7,9INE,05/09/21,Komplett Back to Gaming 2021 Sweden,Typ as nice,Overpass,16 - 13,W
8,9INE,05/09/21,Komplett Back to Gaming 2021 Sweden,Typ as nice,Mirage,9 - 16,L
9,9INE,27/08/21,Pelaajat Series Fall 2021,GamerLegion,Mirage,13 - 16,L
10,9INE,13/11/21,Elisa Invitational Winter 2021 Sweden Closed Qualifier,Kappa Bar,Overpass,7 - 16,L
11,9INE,27/08/21,Pelaajat Series Fall 2021,Galaxy Racer,Inferno,1 - 16,L
12,9INE,13/11/21,Elisa Invitational Winter 2021 Sweden Closed Qualifier,Kappa Bar,Overpass,7 - 16,L
13,9INE,13/11/21,Elisa Invitational Winter 2021 Sweden Closed Qualifier,Kappa Bar,Mirage,16 - 13,W
14,9INE,13/11/21,Elisa Invitational Winter 2021 Sweden Closed Qualifier,Kappa Bar,Ancient,14 - 16,L
15,9INE,27/08/21,Pelaajat Series Fall 2021,Galaxy Racer,Inferno,1 - 16,L
