,team,data,match,opponent,map_map,result,w_l
0,9z,25/11/23,CBCS Invitational 2023,Case,Mirage,4 - 13,L
1,9z,23/11/23,CBCS Invitational 2023,RED Canids,Mirage,13 - 4,W
2,9z,27/10/23,Roobet Cup 2023,Spirit,Anubis,13 - 4,W
3,9z,19/10/23,ESL Challenger Jönköping 2023 South America Closed Qualifier,MIBR,Anubis,10 - 13,L
4,9z,27/09/23,ESL Pro League Season 18,Movistar Riders,Ancient,9 - 16,L
5,9z,17/09/23,ESL Pro League Season 18,5yclone,Nuke,16 - 6,W
6,9z,16/09/23,ESL Pro League Season 18,M80,Inferno,16 - 13,W
7,9z,13/09/23,ESL Pro League Season 18,FaZe,Inferno,3 - 16,L
8,9z,09/09/23,Thunderpick World Championship 2023 Europe Series 2,Preasy,Ancient,16 - 14,W
9,9z,25/08/23,CCT North Europe Series 7,9 Pandas,Inferno,10 - 16,L
10,9z,10/08/23,TG Masters Fall 2023 - BLAST Premier Qualifier,Filhos de D10S,Nuke,13 - 16,L
11,9z,23/07/23,CCT South America Series 8,O PLANO,Nuke,16 - 12,W
12,9z,22/07/23,CCT South America Series 8,BESTIA,Inferno,16 - 13,W
13,9z,20/07/23,CCT South America Series 8,Sojoga,Overpass,16 - 2,W
14,9z,11/07/23,ESL Pro League Season 18 South America Open Qualifier,BESTIA,Overpass,19 - 17,W
15,9z,08/07/23,FiReLEAGUE Battle 2023,Virtus.pro,Inferno,5 - 16,L
16,9z,10/06/23,ESL Challenger Katowice 2023,ECSTATIC,Nuke,16 - 14,W
17,9z,09/06/23,ESL Challenger Katowice 2023,paiN,Nuke,16 - 7,W
18,9z,01/06/23,ESEA Cash Cup Circuit Season 1 Cup 8 North America,Nouns,Overpass,16 - 2,W
19,9z,30/05/23,IEM Dallas 2023,OG,Mirage,12 - 16,L
20,9z,29/05/23,IEM Dallas 2023,HEROIC,Mirage,9 - 16,L
21,9z,06/05/23,CCT South America Series 7,Paquetá,Nuke,16 - 10,W
22,9z,05/05/23,ESL Challenger Katowice 2023 South America Closed Qualifier,MIBR,Ancient,22 - 18,W
23,9z,04/05/23,ESL Challenger Katowice 2023 South America Closed Qualifier,MIBR,Nuke,8 - 16,L
24,9z,18/04/23,IEM Rio 2023,fnatic,Ancient,12 - 16,L
25,9z,15/04/23,ESL Challenger Katowice 2023 South America Open Qualifier,BESTIA,Mirage,19 - 16,W
26,9z,14/04/23,ESL Challenger Katowice 2023 South America Open Qualifier,INTZ,Inferno,16 - 9,W
27,9z,13/04/23,IEM Dallas 2023 South America Closed Qualifier,00NATION,Inferno,16 - 9,W
28,9z,19/03/23,CCT South America Series 5,O PLANO,Nuke,16 - 6,W
29,9z,16/03/23,CCT South America Series 5,INTZ,Ancient,16 - 9,W
