,team,data,match,opponent,map_map,result,w_l
0,adalYamigos,09/04/24,ESL Challenger League Season 47 South America,MIBR,Vertigo,4 - 13,L
1,adalYamigos,07/04/24,RES Regional Series 3 LATAM,Case,Vertigo,19 - 17,W
2,adalYamigos,05/04/24,ESL Challenger League Season 47 South America,2GAME,Vertigo,13 - 7,W
3,adalYamigos,04/04/24,ESL Challenger League Season 47 South America,BESTIA,Inferno,24 - 28,L
4,adalYamigos,10/03/24,RES Regional Series 2 LATAM,BESTIA,Mirage,13 - 4,W
5,adalYamigos,06/03/24,ESL Challenger League Season 47 South America,Case,Mirage,13 - 7,W
6,adalYamigos,22/02/24,ESL Challenger League Season 47 South America,Galorys,Ancient,13 - 7,W
7,adalYamigos,18/02/24,RES Regional Series 1 LATAM,Solid,Ancient,11 - 13,L
8,adalYamigos,15/02/24,ESL Challenger League Season 47 South America,Corinthians,Nuke,13 - 11,W
9,adalYamigos,14/02/24,ESL Challenger League Season 47 South America,Solid,Ancient,13 - 11,W
10,adalYamigos,13/02/24,RES Regional Series 1 LATAM,inSanitY,Ancient,13 - 11,W
11,adalYamigos,22/01/24,ESL Pro League Season 19 South America Open Qualifier,MIBR,Anubis,13 - 10,W
12,adalYamigos,20/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,9z,Inferno,22 - 25,L
13,adalYamigos,16/01/24,IEM Chengdu 2024 South America Open Qualifier 2,RED Canids,Ancient,1 - 13,L
14,adalYamigos,12/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Open Qualifier 2,Filhos de D10S,Inferno,13 - 4,W
15,adalYamigos,11/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Open Qualifier 2,2GAME,Vertigo,13 - 5,W
16,adalYamigos,09/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Open Qualifier 1,Legacy,Inferno,1 - 13,L
17,adalYamigos,09/04/24,ESL Challenger League Season 47 South America,MIBR,Vertigo,4 - 13,L
18,adalYamigos,07/04/24,RES Regional Series 3 LATAM,Case,Vertigo,19 - 17,W
19,adalYamigos,07/04/24,RES Regional Series 3 LATAM,Case,Nuke,8 - 13,L
20,adalYamigos,07/04/24,RES Regional Series 3 LATAM,Case,Mirage,13 - 10,W
21,adalYamigos,05/04/24,ESL Challenger League Season 47 South America,2GAME,Vertigo,13 - 7,W
22,adalYamigos,04/04/24,ESL Challenger League Season 47 South America,BESTIA,Inferno,24 - 28,L
23,adalYamigos,10/03/24,RES Regional Series 2 LATAM,BESTIA,Mirage,13 - 4,W
24,adalYamigos,10/03/24,RES Regional Series 2 LATAM,BESTIA,Ancient,9 - 13,L
25,adalYamigos,10/03/24,RES Regional Series 2 LATAM,BESTIA,Inferno,13 - 8,W
26,adalYamigos,06/03/24,ESL Challenger League Season 47 South America,Case,Mirage,13 - 7,W
27,adalYamigos,22/02/24,ESL Challenger League Season 47 South America,Galorys,Ancient,13 - 7,W
28,adalYamigos,18/02/24,RES Regional Series 1 LATAM,Solid,Ancient,11 - 13,L
29,adalYamigos,18/02/24,RES Regional Series 1 LATAM,Solid,Vertigo,13 - 5,W
