,team,data,match,opponent,map_map,result,w_l
0,Alliance,09/04/24,YaLLa Compass Spring 2024,BLEED,Mirage,8 - 13,L
1,Alliance,07/04/24,LuckyCasino Cup 2024,Johnny Speeds,Vertigo,20 - 22,L
2,Alliance,06/04/24,LuckyCasino Cup 2024,Lilmix,Overpass,19 - 16,W
3,Alliance,05/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,BLEED,Inferno,3 - 13,L
4,Alliance,04/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Benched Heroes,Overpass,13 - 2,W
5,Alliance,13/03/24,European Pro League Season 14,MOUZ NXT,Inferno,17 - 19,L
6,Alliance,10/03/24,ESL Challenger Jönköping 2024 Sweden Open Qualifier,EYEBALLERS,Overpass,13 - 7,W
7,Alliance,09/03/24,ESL Challenger Jönköping 2024 Sweden Open Qualifier,Johnny Speeds,Ancient,13 - 3,W
8,Alliance,07/03/24,YaLLa Compass Spring 2024 Contenders,Sprout,Mirage,16 - 13,W
9,Alliance,05/03/24,European Pro League Season 14,Viperio,Anubis,13 - 10,W
10,Alliance,28/02/24,YaLLa Compass Spring 2024 Contenders,Sangal,Anubis,13 - 1,W
11,Alliance,18/02/24,A1 Gaming League Season 8,FTW,Anubis,13 - 11,W
12,Alliance,04/02/24,A1 Gaming League Season 8,Secret,Anubis,3 - 13,L
13,Alliance,28/01/24,European Pro League Season 13,Spirit Academy,Anubis,10 - 13,L
14,Alliance,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,Nexus,Vertigo,8 - 13,L
15,Alliance,09/04/24,YaLLa Compass Spring 2024,BLEED,Mirage,8 - 13,L
16,Alliance,09/04/24,YaLLa Compass Spring 2024,BLEED,Anubis,4 - 13,L
17,Alliance,09/04/24,YaLLa Compass Spring 2024,BLEED,Inferno,16 - 14,W
18,Alliance,07/04/24,LuckyCasino Cup 2024,Johnny Speeds,Vertigo,20 - 22,L
19,Alliance,07/04/24,LuckyCasino Cup 2024,Johnny Speeds,Mirage,3 - 13,L
20,Alliance,06/04/24,LuckyCasino Cup 2024,Lilmix,Overpass,19 - 16,W
21,Alliance,06/04/24,LuckyCasino Cup 2024,Lilmix,Vertigo,13 - 6,W
22,Alliance,06/04/24,LuckyCasino Cup 2024,Lilmix,Mirage,9 - 13,L
23,Alliance,05/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,BLEED,Inferno,3 - 13,L
24,Alliance,05/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,BLEED,Ancient,7 - 13,L
25,Alliance,04/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Benched Heroes,Overpass,13 - 2,W
26,Alliance,13/03/24,European Pro League Season 14,MOUZ NXT,Inferno,17 - 19,L
27,Alliance,13/03/24,European Pro League Season 14,MOUZ NXT,Vertigo,14 - 16,L
28,Alliance,10/03/24,ESL Challenger Jönköping 2024 Sweden Open Qualifier,EYEBALLERS,Overpass,13 - 7,W
