,team,data,match,opponent,map_map,result,w_l
0,ALTERNATE aTTaX,16/12/23,ESL Meisterschaft Autumn 2023 Finals,BIG Academy,Vertigo,13 - 7,W
1,ALTERNATE aTTaX,10/12/23,European Pro League Season 12,GODSENT,Nuke,13 - 2,W
2,ALTERNATE aTTaX,08/12/23,ESEA Advanced Season 47 Europe,Zero Tenacity,Overpass,13 - 11,W
3,ALTERNATE aTTaX,07/12/23,ESEA Advanced Season 47 Europe,TUSTE CHOPAKI,Overpass,13 - 2,W
4,ALTERNATE aTTaX,06/12/23,ESEA Advanced Season 47 Europe,The Witchers,Overpass,13 - 9,W
5,ALTERNATE aTTaX,05/12/23,ESEA Advanced Season 47 Europe,lajtbitexe,Overpass,13 - 4,W
6,ALTERNATE aTTaX,04/12/23,CCT 2023 Online Finals 5,Guild Eagles,Ancient,14 - 16,L
7,ALTERNATE aTTaX,01/12/23,CCT 2023 Online Finals 5,Aurora,Inferno,3 - 13,L
8,ALTERNATE aTTaX,28/11/23,European Pro League Season 12,Sangal,Vertigo,13 - 11,W
9,ALTERNATE aTTaX,25/11/23,ESL Meisterschaft Autumn 2023,BIG Academy,Overpass,6 - 13,L
10,ALTERNATE aTTaX,17/11/23,CCT 2023 Online Finals 4,Into the Breach,Ancient,11 - 13,L
11,ALTERNATE aTTaX,16/11/23,YaLLa Compass Fall 2023,IKLA,Anubis,13 - 4,W
12,ALTERNATE aTTaX,14/11/23,CCT 2023 Online Finals 4,Aurora,Inferno,13 - 5,W
13,ALTERNATE aTTaX,01/11/23,CCT Central Europe Series 8,PGE Turow,Ancient,11 - 13,L
14,ALTERNATE aTTaX,29/10/23,CCT Central Europe Series 8,SINNERS,Anubis,7 - 13,L
15,ALTERNATE aTTaX,26/10/23,European Pro League Season 11,Anonymo,Ancient,8 - 13,L
16,ALTERNATE aTTaX,23/10/23,CCT Central Europe Series 8 Closed Qualifier,Sangal,Inferno,13 - 4,W
17,ALTERNATE aTTaX,22/10/23,CCT Central Europe Series 8 Closed Qualifier,UNiTY,Anubis,13 - 11,W
18,ALTERNATE aTTaX,05/10/23,ESEA Advanced Season 46 Europe,9 Pandas,Inferno,9 - 16,L
19,ALTERNATE aTTaX,30/09/23,MEO XL Cup 2023,Alliance,Ancient,8 - 16,L
20,ALTERNATE aTTaX,28/09/23,ESEA Advanced Season 46 Europe,Wu-Tang,Vertigo,4 - 16,L
21,ALTERNATE aTTaX,26/09/23,CCT East Europe Series 2,Into the Breach,Vertigo,16 - 4,W
