,team,data,match,opponent,map_map,result,w_l
0,AMKAL,10/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Apeks,Overpass,13 - 5,W
1,AMKAL,03/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Insilio,Nuke,13 - 8,W
2,AMKAL,03/04/24,YaLLa Compass Spring 2024,Alliance,Overpass,13 - 7,W
3,AMKAL,02/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Guild Eagles,Overpass,11 - 13,L
4,AMKAL,18/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,TheMongolz,Inferno,10 - 13,L
5,AMKAL,17/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,GamerLegion,Overpass,8 - 13,L
6,AMKAL,05/03/24,IEM Dallas 2024 Europe Open Qualifier 2,Zero Tenacity,Inferno,19 - 17,W
7,AMKAL,28/02/24,RES Regional Series 1 Europe,Young Ninjas,Vertigo,9 - 13,L
8,AMKAL,16/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Falcons,Mirage,16 - 13,W
9,AMKAL,14/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Ninjas in Pyjamas,Overpass,22 - 20,W
10,AMKAL,10/02/24,IEM Chengdu 2024 Europe Closed Qualifier,Espionage,Mirage,25 - 28,L
11,AMKAL,08/02/24,IEM Chengdu 2024 Europe Closed Qualifier,RUBY,Vertigo,13 - 6,W
12,AMKAL,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Astralis,Nuke,13 - 10,W
13,AMKAL,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,sYnck,Inferno,13 - 3,W
14,AMKAL,17/01/24,IEM Chengdu 2024 Europe Open Qualifier 1,FreeESPI,Vertigo,13 - 7,W
15,AMKAL,10/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Apeks,Overpass,13 - 5,W
16,AMKAL,10/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Apeks,Vertigo,13 - 6,W
17,AMKAL,10/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Apeks,Ancient,10 - 13,L
18,AMKAL,03/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Insilio,Nuke,13 - 8,W
19,AMKAL,03/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Insilio,Overpass,13 - 9,W
20,AMKAL,03/04/24,YaLLa Compass Spring 2024,Alliance,Overpass,13 - 7,W
21,AMKAL,03/04/24,YaLLa Compass Spring 2024,Alliance,Mirage,9 - 13,L
22,AMKAL,03/04/24,YaLLa Compass Spring 2024,Alliance,Inferno,13 - 10,W
23,AMKAL,02/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Guild Eagles,Overpass,11 - 13,L
24,AMKAL,18/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,TheMongolz,Inferno,10 - 13,L
25,AMKAL,18/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,TheMongolz,Mirage,13 - 8,W
26,AMKAL,18/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,TheMongolz,Nuke,2 - 13,L
27,AMKAL,17/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,GamerLegion,Overpass,8 - 13,L
28,AMKAL,05/03/24,IEM Dallas 2024 Europe Open Qualifier 2,Zero Tenacity,Inferno,19 - 17,W
29,AMKAL,28/02/24,RES Regional Series 1 Europe,Young Ninjas,Vertigo,9 - 13,L
30,AMKAL,28/02/24,RES Regional Series 1 Europe,Young Ninjas,Overpass,9 - 13,L
31,AMKAL,16/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Falcons,Mirage,16 - 13,W
32,AMKAL,16/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Falcons,Ancient,13 - 8,W
33,AMKAL,16/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Falcons,Vertigo,6 - 13,L
34,AMKAL,14/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Ninjas in Pyjamas,Overpass,22 - 20,W
35,AMKAL,10/02/24,IEM Chengdu 2024 Europe Closed Qualifier,Espionage,Mirage,25 - 28,L
36,AMKAL,10/02/24,IEM Chengdu 2024 Europe Closed Qualifier,Espionage,Inferno,13 - 11,W
37,AMKAL,10/02/24,IEM Chengdu 2024 Europe Closed Qualifier,Espionage,Nuke,6 - 13,L
38,AMKAL,08/02/24,IEM Chengdu 2024 Europe Closed Qualifier,RUBY,Vertigo,13 - 6,W
39,AMKAL,08/02/24,IEM Chengdu 2024 Europe Closed Qualifier,RUBY,Ancient,13 - 5,W
40,AMKAL,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Astralis,Nuke,13 - 10,W
41,AMKAL,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Astralis,Inferno,9 - 13,L
42,AMKAL,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Astralis,Mirage,25 - 21,W
43,AMKAL,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,sYnck,Inferno,13 - 3,W
44,AMKAL,17/01/24,IEM Chengdu 2024 Europe Open Qualifier 1,FreeESPI,Vertigo,13 - 7,W
