,team,data,match,opponent,map_map,result,w_l
0,Anonymo,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,JANO,Ancient,12 - 16,L
1,Anonymo,13/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,OG,Mirage,8 - 13,L
2,Anonymo,12/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,Lausanne SE,Vertigo,13 - 7,W
3,Anonymo,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,Betera,Ancient,13 - 8,W
4,Anonymo,09/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1,ENEIDA,Inferno,9 - 13,L
5,Anonymo,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,JANO,Ancient,12 - 16,L
6,Anonymo,13/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,OG,Mirage,8 - 13,L
7,Anonymo,13/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,OG,Vertigo,6 - 13,L
8,Anonymo,12/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,Lausanne SE,Vertigo,13 - 7,W
9,Anonymo,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,Betera,Ancient,13 - 8,W
10,Anonymo,09/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1,ENEIDA,Inferno,9 - 13,L
11,Anonymo,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,LEON,Overpass,16 - 14,W
12,Anonymo,13/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,ESC,Ancient,13 - 11,W
13,Anonymo,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,PERA,Ancient,5 - 13,L
14,Anonymo,10/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,CYBERSHOKE,Ancient,13 - 5,W
15,Anonymo,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,LEON,Overpass,16 - 14,W
16,Anonymo,13/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,ESC,Ancient,13 - 11,W
17,Anonymo,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,PERA,Ancient,5 - 13,L
18,Anonymo,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,PERA,Nuke,13 - 10,W
19,Anonymo,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,PERA,Mirage,6 - 13,L
20,Anonymo,10/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,CYBERSHOKE,Ancient,13 - 5,W
