,team,data,match,opponent,map_map,result,w_l
0,Apeks,17/10/21,ESEA Premier Season 38 Europe Relegation,Nemiga,Overpass,16 - 19,L
1,Apeks,06/10/21,Elisa Invitational Fall 2021,Fiend,Dust2,10 - 16,L
2,Apeks,27/09/21,Elisa Invitational Fall 2021,HAVU,Mirage,11 - 16,L
3,Apeks,22/09/21,Elisa Invitational Fall 2021,SINNERS,Mirage,16 - 11,W
4,Apeks,14/09/21,ESEA Premier Season 38 Europe,Sprout,Ancient,6 - 16,L
5,Apeks,09/09/21,Elisa Invitational Fall 2021 Regionals,Tricked,Dust2,16 - 12,W
6,Apeks,07/09/21,ESEA Premier Season 38 Europe,BLINK,Dust2,12 - 16,L
7,Apeks,01/09/21,Pinnacle Fall Series 1,SAW,Vertigo,6 - 16,L
8,Apeks,30/08/21,Elisa Invitational Fall 2021 Regionals,Oilers,Overpass,16 - 14,W
9,Apeks,29/08/21,Pelaajat Series Fall 2021,Lyngby Vikings,Inferno,5 - 16,L
10,Apeks,28/08/21,Pelaajat Series Fall 2021,Lyngby Vikings,Inferno,16 - 10,W
11,Apeks,27/08/21,Pinnacle Fall Series 1 Regionals,KOVA,Inferno,16 - 3,W
12,Apeks,26/08/21,Pinnacle Fall Series 1 Regionals,LDLC,Inferno,9 - 16,L
13,Apeks,24/08/21,Malta Vibes Knockout Series 1,ENCE,Nuke,8 - 16,L
14,Apeks,23/08/21,Malta Vibes Knockout Series 1,Endpoint,Inferno,16 - 10,W
15,Apeks,21/08/21,Malta Vibes Knockout Series 1,BLINK,Ancient,16 - 14,W
16,Apeks,17/08/21,ESEA Premier Season 38 Europe,Enterprise,Inferno,13 - 16,L
17,Apeks,14/07/21,ESEA Premier Season 37 Europe Relegation,DBL PONEY,Overpass,10 - 16,L
18,Apeks,12/07/21,ESEA Premier Season 37 Europe Relegation,SKADE,Nuke,6 - 16,L
19,Apeks,17/06/21,Spring Sweet Spring 3 Regionals,FTW,Overpass,16 - 11,W
20,Apeks,15/06/21,Spring Sweet Spring 3 Regionals,Tricked,Ancient,16 - 5,W
21,Apeks,14/06/21,Spring Sweet Spring 3 Regionals,HYENAS,Dust2,14 - 16,L
22,Apeks,10/06/21,Spring Sweet Spring 3 Regionals,Copenhagen Flames,Mirage,16 - 14,W
23,Apeks,09/06/21,ESEA Premier Season 37 Europe,SAW,Vertigo,9 - 16,L
24,Apeks,02/06/21,ESEA Premier Season 37 Europe,BLINK,Mirage,9 - 16,L
25,Apeks,29/05/21,Elisa Invitational Summer 2021 Regionals,Nordavind,Mirage,14 - 16,L
26,Apeks,25/05/21,ESEA Premier Season 37 Europe,Wisla Krakow,Overpass,7 - 16,L
27,Apeks,21/05/21,BLAST Rising 2021,DBL PONEY,Nuke,4 - 16,L
28,Apeks,16/05/21,Elisa Invitational Summer 2021 Regionals,Sangal,Inferno,8 - 16,L
29,Apeks,10/05/21,BLAST Rising 2021,OFFSET,Mirage,16 - 5,W
30,Apeks,04/05/21,ESEA Premier Season 37 Europe,BIG,Dust2,10 - 16,L
31,Apeks,29/04/21,Spring Sweet Spring 1,Lyngby Vikings,Train,4 - 16,L
32,Apeks,27/04/21,Spring Sweet Spring 1,SINNERS,Overpass,20 - 22,L
33,Apeks,24/04/21,Telia League Spring 2021,Oilers,Dust2,16 - 13,W
34,Apeks,19/04/21,IEM Summer 2021 Open Qualifier 2,SKADE,Overpass,26 - 28,L
35,Apeks,15/04/21,Elisa Invitational Spring 2021,Nordavind,Dust2,9 - 16,L
36,Apeks,14/04/21,ESEA Premier Season 36 Europe,AGO,Inferno,17 - 19,L
37,Apeks,12/04/21,Legend Series WTA 2021,NLG,Overpass,12 - 16,L
38,Apeks,11/04/21,Legend Series WTA 2021,Nexus,Dust2,16 - 13,W
39,Apeks,20/03/21,Elisa Nordic Championship 2021 Norway,Bifrost,Overpass,16 - 8,W
40,Apeks,16/03/21,ESEA Premier Season 36 Europe,HellRaisers,Train,16 - 9,W
41,Apeks,12/03/21,Pinnacle Cup 2021,TeamOne,Dust2,16 - 10,W
42,Apeks,10/03/21,Pinnacle Cup 2021,GamerLegion,Inferno,16 - 13,W
43,Apeks,06/03/21,Pinnacle Cup 2021,SAW,Vertigo,17 - 19,L
44,Apeks,03/03/21,Pinnacle Cup 2021,hREDS,Overpass,16 - 11,W
45,Apeks,24/02/21,ESEA Premier Season 36 Europe,FATE,Inferno,16 - 11,W
46,Apeks,19/02/21,Snow Sweet Snow 2 Regionals,Lilmix,Overpass,10 - 16,L
47,Apeks,16/02/21,Snow Sweet Snow 2 Regionals,HAVU,Inferno,9 - 16,L
48,Apeks,10/02/21,ESEA Premier Season 36 Europe,SAW,Dust2,12 - 16,L
49,Apeks,17/10/21,ESEA Premier Season 38 Europe Relegation,Nemiga,Overpass,16 - 19,L
50,Apeks,17/10/21,ESEA Premier Season 38 Europe Relegation,Nemiga,Inferno,7 - 16,L
51,Apeks,06/10/21,Elisa Invitational Fall 2021,Fiend,Dust2,10 - 16,L
52,Apeks,06/10/21,Elisa Invitational Fall 2021,Fiend,Ancient,7 - 16,L
53,Apeks,27/09/21,Elisa Invitational Fall 2021,HAVU,Mirage,11 - 16,L
54,Apeks,27/09/21,Elisa Invitational Fall 2021,HAVU,Overpass,4 - 16,L
55,Apeks,22/09/21,Elisa Invitational Fall 2021,SINNERS,Mirage,16 - 11,W
56,Apeks,22/09/21,Elisa Invitational Fall 2021,SINNERS,Overpass,16 - 12,W
57,Apeks,14/09/21,ESEA Premier Season 38 Europe,Sprout,Ancient,6 - 16,L
58,Apeks,14/09/21,ESEA Premier Season 38 Europe,Sprout,Dust2,9 - 16,L
59,Apeks,09/09/21,Elisa Invitational Fall 2021 Regionals,Tricked,Dust2,16 - 12,W
60,Apeks,09/09/21,Elisa Invitational Fall 2021 Regionals,Tricked,Inferno,19 - 16,W
61,Apeks,07/09/21,ESEA Premier Season 38 Europe,BLINK,Dust2,12 - 16,L
62,Apeks,07/09/21,ESEA Premier Season 38 Europe,BLINK,Overpass,16 - 3,W
63,Apeks,07/09/21,ESEA Premier Season 38 Europe,BLINK,Inferno,13 - 16,L
64,Apeks,01/09/21,Pinnacle Fall Series 1,SAW,Vertigo,6 - 16,L
