,team,data,match,opponent,map_map,result,w_l
0,ARCRED,20/12/23,22BET Christmas Cup 2023,Metizport,Nuke,11 - 13,L
1,ARCRED,18/12/23,22BET Christmas Cup 2023,Sprout,Inferno,5 - 13,L
2,ARCRED,03/12/23,ESEA Autumn 2023 Cash Cup 6 Europe,Spirit Academy,Anubis,13 - 8,W
3,ARCRED,18/11/23,LEON TEAMPLAY Season 2,Alliance,Mirage,13 - 11,W
4,ARCRED,16/11/23,LEON TEAMPLAY Season 2,MOUZ NXT,Inferno,9 - 13,L
5,ARCRED,15/11/23,ESL Challenger Atlanta 2023 Europe Open Qualifier,ECSTATIC,Inferno,13 - 8,W
6,ARCRED,09/11/23,CCT Central Europe Series 8,BetBoom,Anubis,7 - 13,L
7,ARCRED,07/11/23,CCT Central Europe Series 8,OG,Ancient,13 - 11,W
8,ARCRED,04/11/23,A1 Gaming League Season 7,Sangal,Mirage,16 - 19,L
9,ARCRED,31/10/23,CCT Central Europe Series 8,B8,Anubis,8 - 13,L
10,ARCRED,28/10/23,CCT Central Europe Series 8,Preasy,Overpass,16 - 13,W
11,ARCRED,15/10/23,Buster CS2 League 2023,FatherS And Sons,Anubis,10 - 13,L
12,ARCRED,14/10/23,Buster CS2 League 2023,Insilio,Ancient,16 - 13,W
13,ARCRED,19/09/23,CCT East Europe Series 2,Pompa,Nuke,6 - 16,L
14,ARCRED,16/09/23,CCT East Europe Series 2,FORZE,Inferno,22 - 20,W
15,ARCRED,13/09/23,Thunderpick World Championship 2023 Europe Series 2,Monte,Ancient,16 - 6,W
16,ARCRED,12/09/23,CCT East Europe Series 2,los kogutos,Mirage,13 - 16,L
17,ARCRED,09/09/23,CCT East Europe Series 2 Closed Qualifier,knasigT,Ancient,16 - 10,W
18,ARCRED,05/09/23,CCT East Europe Series 2 Closed Qualifier,Nemiga,Ancient,16 - 8,W
19,ARCRED,18/08/23,CCT North Europe Series 7,Space,Mirage,16 - 19,L
20,ARCRED,16/08/23,Pinnacle Cup V,Aurora,Nuke,9 - 16,L
21,ARCRED,14/08/23,CCT North Europe Series 7,Nexus,Inferno,11 - 16,L
22,ARCRED,12/08/23,Pinnacle Cup V,ENCE Academy,Mirage,16 - 14,W
23,ARCRED,10/08/23,Pinnacle Cup V,Sampi,Ancient,5 - 16,L
24,ARCRED,09/08/23,CCT East Europe Series 1,Entropiq,Inferno,16 - 4,W
25,ARCRED,29/07/23,CCT North Europe Series 6,Evil Geniuses,Overpass,2 - 16,L
26,ARCRED,23/07/23,CCT North Europe Series 6,SINNERS,Overpass,13 - 16,L
27,ARCRED,18/07/23,CCT North Europe Series 6,ex-HYDRA,Anubis,16 - 13,W
28,ARCRED,13/07/23,CCT North Europe Series 6 Closed Qualifier,AVANGAR,Nuke,16 - 9,W
29,ARCRED,12/07/23,CCT North Europe Series 6 Closed Qualifier,Papa YAda,Overpass,16 - 1,W
30,ARCRED,08/06/23,ESL Challenger League Season 45 Europe Relegation,MOUZ NXT,Overpass,7 - 16,L
31,ARCRED,04/06/23,ESEA Advanced Season 45 Europe,MOUZ NXT,Ancient,16 - 14,W
32,ARCRED,02/06/23,ESEA Advanced Season 45 Europe,IKLA,Inferno,16 - 12,W
33,ARCRED,31/05/23,ESEA Advanced Season 45 Europe,NF0,Nuke,16 - 3,W
34,ARCRED,29/05/23,ESEA Advanced Season 45 Europe,Websterz,Anubis,16 - 11,W
35,ARCRED,20/12/23,22BET Christmas Cup 2023,Metizport,Nuke,11 - 13,L
36,ARCRED,20/12/23,22BET Christmas Cup 2023,Metizport,Vertigo,4 - 13,L
37,ARCRED,18/12/23,22BET Christmas Cup 2023,Sprout,Inferno,5 - 13,L
38,ARCRED,18/12/23,22BET Christmas Cup 2023,Sprout,Anubis,10 - 13,L
39,ARCRED,18/12/23,22BET Christmas Cup 2023,Sprout,Vertigo,13 - 7,W
40,ARCRED,03/12/23,ESEA Autumn 2023 Cash Cup 6 Europe,Spirit Academy,Anubis,13 - 8,W
41,ARCRED,03/12/23,ESEA Autumn 2023 Cash Cup 6 Europe,Spirit Academy,Nuke,13 - 7,W
42,ARCRED,18/11/23,LEON TEAMPLAY Season 2,Alliance,Mirage,13 - 11,W
43,ARCRED,18/11/23,LEON TEAMPLAY Season 2,Alliance,Vertigo,13 - 11,W
44,ARCRED,18/11/23,LEON TEAMPLAY Season 2,Alliance,Anubis,4 - 13,L
45,ARCRED,16/11/23,LEON TEAMPLAY Season 2,MOUZ NXT,Inferno,9 - 13,L
46,ARCRED,15/11/23,ESL Challenger Atlanta 2023 Europe Open Qualifier,ECSTATIC,Inferno,13 - 8,W
47,ARCRED,09/11/23,CCT Central Europe Series 8,BetBoom,Anubis,7 - 13,L
48,ARCRED,09/11/23,CCT Central Europe Series 8,BetBoom,Nuke,7 - 13,L
49,ARCRED,07/11/23,CCT Central Europe Series 8,OG,Ancient,13 - 11,W
50,ARCRED,07/11/23,CCT Central Europe Series 8,OG,Anubis,13 - 9,W
51,ARCRED,04/11/23,A1 Gaming League Season 7,Sangal,Mirage,16 - 19,L
52,ARCRED,04/11/23,A1 Gaming League Season 7,Sangal,Vertigo,13 - 10,W
53,ARCRED,04/11/23,A1 Gaming League Season 7,Sangal,Anubis,6 - 13,L
54,ARCRED,31/10/23,CCT Central Europe Series 8,B8,Anubis,8 - 13,L
55,ARCRED,31/10/23,CCT Central Europe Series 8,B8,Mirage,13 - 3,W
56,ARCRED,31/10/23,CCT Central Europe Series 8,B8,Ancient,8 - 13,L
57,ARCRED,28/10/23,CCT Central Europe Series 8,Preasy,Overpass,16 - 13,W
58,ARCRED,28/10/23,CCT Central Europe Series 8,Preasy,Mirage,16 - 12,W
59,ARCRED,15/10/23,Buster CS2 League 2023,FatherS And Sons,Anubis,10 - 13,L
60,ARCRED,15/10/23,Buster CS2 League 2023,FatherS And Sons,Vertigo,10 - 13,L
61,ARCRED,14/10/23,Buster CS2 League 2023,Insilio,Ancient,16 - 13,W
62,ARCRED,14/10/23,Buster CS2 League 2023,Insilio,Vertigo,20 - 22,L
63,ARCRED,14/10/23,Buster CS2 League 2023,Insilio,Anubis,16 - 12,W
64,ARCRED,19/09/23,CCT East Europe Series 2,Pompa,Nuke,6 - 16,L
65,ARCRED,19/09/23,CCT East Europe Series 2,Pompa,Ancient,3 - 16,L
66,ARCRED,16/09/23,CCT East Europe Series 2,FORZE,Inferno,22 - 20,W
67,ARCRED,16/09/23,CCT East Europe Series 2,FORZE,Ancient,16 - 6,W
68,ARCRED,13/09/23,Thunderpick World Championship 2023 Europe Series 2,Monte,Ancient,16 - 6,W
69,ARCRED,13/09/23,Thunderpick World Championship 2023 Europe Series 2,Monte,Anubis,16 - 9,W
70,ARCRED,13/09/23,Thunderpick World Championship 2023 Europe Series 2,Monte,Mirage,14 - 16,L
71,ARCRED,12/09/23,CCT East Europe Series 2,los kogutos,Mirage,13 - 16,L
72,ARCRED,12/09/23,CCT East Europe Series 2,los kogutos,Nuke,11 - 16,L
73,ARCRED,12/09/23,CCT East Europe Series 2,los kogutos,Anubis,16 - 11,W
74,ARCRED,09/09/23,CCT East Europe Series 2 Closed Qualifier,knasigT,Ancient,16 - 10,W
75,ARCRED,09/09/23,CCT East Europe Series 2 Closed Qualifier,knasigT,Overpass,16 - 12,W
76,ARCRED,05/09/23,CCT East Europe Series 2 Closed Qualifier,Nemiga,Ancient,16 - 8,W
77,ARCRED,05/09/23,CCT East Europe Series 2 Closed Qualifier,Nemiga,Anubis,16 - 5,W
78,ARCRED,18/08/23,CCT North Europe Series 7,Space,Mirage,16 - 19,L
79,ARCRED,18/08/23,CCT North Europe Series 7,Space,Ancient,14 - 16,L
80,ARCRED,16/08/23,Pinnacle Cup V,Aurora,Nuke,9 - 16,L
81,ARCRED,16/08/23,Pinnacle Cup V,Aurora,Mirage,14 - 16,L
82,ARCRED,14/08/23,CCT North Europe Series 7,Nexus,Inferno,11 - 16,L
83,ARCRED,14/08/23,CCT North Europe Series 7,Nexus,Ancient,16 - 6,W
84,ARCRED,14/08/23,CCT North Europe Series 7,Nexus,Mirage,10 - 16,L
85,ARCRED,12/08/23,Pinnacle Cup V,ENCE Academy,Mirage,16 - 14,W
86,ARCRED,12/08/23,Pinnacle Cup V,ENCE Academy,Ancient,16 - 7,W
87,ARCRED,12/08/23,Pinnacle Cup V,ENCE Academy,Nuke,9 - 16,L
88,ARCRED,10/08/23,Pinnacle Cup V,Sampi,Ancient,5 - 16,L
89,ARCRED,10/08/23,Pinnacle Cup V,Sampi,Nuke,3 - 16,L
90,ARCRED,09/08/23,CCT East Europe Series 1,Entropiq,Inferno,16 - 4,W
91,ARCRED,09/08/23,CCT East Europe Series 1,Entropiq,Mirage,16 - 10,W
92,ARCRED,29/07/23,CCT North Europe Series 6,Evil Geniuses,Overpass,2 - 16,L
93,ARCRED,29/07/23,CCT North Europe Series 6,Evil Geniuses,Inferno,10 - 16,L
94,ARCRED,29/07/23,CCT North Europe Series 6,Evil Geniuses,Mirage,16 - 14,W
95,ARCRED,23/07/23,CCT North Europe Series 6,SINNERS,Overpass,13 - 16,L
96,ARCRED,23/07/23,CCT North Europe Series 6,SINNERS,Inferno,8 - 16,L
97,ARCRED,18/07/23,CCT North Europe Series 6,ex-HYDRA,Anubis,16 - 13,W
98,ARCRED,18/07/23,CCT North Europe Series 6,ex-HYDRA,Nuke,16 - 6,W
99,ARCRED,18/07/23,CCT North Europe Series 6,ex-HYDRA,Ancient,7 - 16,L
100,ARCRED,13/07/23,CCT North Europe Series 6 Closed Qualifier,AVANGAR,Nuke,16 - 9,W
101,ARCRED,13/07/23,CCT North Europe Series 6 Closed Qualifier,AVANGAR,Overpass,16 - 7,W
102,ARCRED,12/07/23,CCT North Europe Series 6 Closed Qualifier,Papa YAda,Overpass,16 - 1,W
103,ARCRED,12/07/23,CCT North Europe Series 6 Closed Qualifier,Papa YAda,Mirage,19 - 17,W
104,ARCRED,08/06/23,ESL Challenger League Season 45 Europe Relegation,MOUZ NXT,Overpass,7 - 16,L
105,ARCRED,08/06/23,ESL Challenger League Season 45 Europe Relegation,MOUZ NXT,Nuke,6 - 16,L
106,ARCRED,04/06/23,ESEA Advanced Season 45 Europe,MOUZ NXT,Ancient,16 - 14,W
107,ARCRED,04/06/23,ESEA Advanced Season 45 Europe,MOUZ NXT,Overpass,16 - 7,W
108,ARCRED,02/06/23,ESEA Advanced Season 45 Europe,IKLA,Inferno,16 - 12,W
109,ARCRED,02/06/23,ESEA Advanced Season 45 Europe,IKLA,Overpass,16 - 14,W
110,ARCRED,31/05/23,ESEA Advanced Season 45 Europe,NF0,Nuke,16 - 3,W
111,ARCRED,31/05/23,ESEA Advanced Season 45 Europe,NF0,Inferno,12 - 16,L
112,ARCRED,31/05/23,ESEA Advanced Season 45 Europe,NF0,Overpass,16 - 5,W
113,ARCRED,29/05/23,ESEA Advanced Season 45 Europe,Websterz,Anubis,16 - 11,W
114,ARCRED,29/05/23,ESEA Advanced Season 45 Europe,Websterz,Nuke,16 - 6,W
115,ARCRED,18/12/23,22BET Christmas Cup 2023,showmakerz,Mirage,13 - 7,W
116,ARCRED,18/12/23,22BET Christmas Cup 2023,Sashi,Inferno,13 - 3,W
117,ARCRED,19/11/23,LEON TEAMPLAY Season 2,Espionage,Anubis,11 - 13,L
118,ARCRED,17/11/23,LEON TEAMPLAY Season 2,Nouns,Overpass,13 - 8,W
119,ARCRED,15/11/23,ESL Challenger Atlanta 2023 Europe Open Qualifier,Pompa,Nuke,12 - 16,L
120,ARCRED,11/11/23,HardPlay Cup 8,Aurora Young Blud,Mirage,4 - 13,L
121,ARCRED,08/11/23,CCT Central Europe Series 8,Bad News Eagles,Vertigo,13 - 8,W
122,ARCRED,04/11/23,CCT Central Europe Series 8,The Chosen Few,Mirage,13 - 9,W
123,ARCRED,02/11/23,CCT Central Europe Series 8,Sampi,Mirage,13 - 8,W
124,ARCRED,29/10/23,A1 Gaming League Season 7,Gucci Academy,Overpass,7 - 13,L
125,ARCRED,22/10/23,A1 Gaming League Season 7,Metizport,Mirage,11 - 13,L
126,ARCRED,15/10/23,A1 Gaming League Season 7,Alliance,Inferno,13 - 10,W
127,ARCRED,08/10/23,A1 Gaming League Season 7,Los Alpacas,Nuke,13 - 2,W
128,ARCRED,18/09/23,CCT East Europe Series 2,BetBoom,Mirage,13 - 16,L
129,ARCRED,14/09/23,Thunderpick World Championship 2023 Europe Series 2,Into the Breach,Inferno,7 - 16,L
130,ARCRED,13/09/23,CCT East Europe Series 2,500,Inferno,16 - 11,W
131,ARCRED,10/09/23,Thunderpick World Championship 2023 Europe Series 2,500,Anubis,16 - 12,W
132,ARCRED,08/09/23,Thunderpick World Championship 2023 Europe Series 2,Sampi,Ancient,16 - 8,W
133,ARCRED,05/09/23,CCT East Europe Series 2 Closed Qualifier,SHAPITO,Mirage,16 - 8,W
134,ARCRED,16/08/23,CCT North Europe Series 7,ThunderFlash,Nuke,13 - 16,L
135,ARCRED,15/08/23,CCT East Europe Series 1,ThunderFlash,Nuke,10 - 16,L
136,ARCRED,13/08/23,CCT East Europe Series 1,Preasy,Anubis,16 - 7,W
137,ARCRED,11/08/23,CCT East Europe Series 1,Insilio,Ancient,13 - 16,L
138,ARCRED,09/08/23,Pinnacle Cup V,ORKS,Overpass,14 - 16,L
139,ARCRED,07/08/23,CCT East Europe Series 1,IKLA,Overpass,5 - 16,L
140,ARCRED,25/07/23,CCT North Europe Series 6,ThunderFlash,Ancient,16 - 11,W
141,ARCRED,21/07/23,CCT North Europe Series 6,Let us cook,Overpass,16 - 14,W
142,ARCRED,16/07/23,CCT North Europe Series 6 Closed Qualifier,Singularity,Mirage,16 - 4,W
143,ARCRED,12/07/23,CCT North Europe Series 6 Closed Qualifier,ThunderFlash,Nuke,16 - 19,L
144,ARCRED,08/06/23,ESL Challenger League Season 45 Europe Relegation,9 Pandas,Inferno,10 - 16,L
145,ARCRED,05/06/23,ESEA Advanced Season 45 Europe,Aurora,Ancient,9 - 16,L
146,ARCRED,03/06/23,ESEA Advanced Season 45 Europe,PROSPECTS,Overpass,16 - 13,W
147,ARCRED,01/06/23,ESEA Advanced Season 45 Europe,Viperio,Ancient,16 - 9,W
148,ARCRED,30/05/23,ESEA Advanced Season 45 Europe,Aurora,Ancient,10 - 16,L
149,ARCRED,18/12/23,22BET Christmas Cup 2023,showmakerz,Mirage,13 - 7,W
150,ARCRED,18/12/23,22BET Christmas Cup 2023,showmakerz,Anubis,16 - 19,L
151,ARCRED,18/12/23,22BET Christmas Cup 2023,showmakerz,Ancient,13 - 9,W
152,ARCRED,18/12/23,22BET Christmas Cup 2023,Sashi,Inferno,13 - 3,W
153,ARCRED,19/11/23,LEON TEAMPLAY Season 2,Espionage,Anubis,11 - 13,L
154,ARCRED,19/11/23,LEON TEAMPLAY Season 2,Espionage,Overpass,4 - 13,L
155,ARCRED,17/11/23,LEON TEAMPLAY Season 2,Nouns,Overpass,13 - 8,W
156,ARCRED,17/11/23,LEON TEAMPLAY Season 2,Nouns,Ancient,13 - 11,W
157,ARCRED,15/11/23,ESL Challenger Atlanta 2023 Europe Open Qualifier,Pompa,Nuke,12 - 16,L
158,ARCRED,15/11/23,ESL Challenger Atlanta 2023 Europe Open Qualifier,Pompa,Ancient,14 - 16,L
159,ARCRED,11/11/23,HardPlay Cup 8,Aurora Young Blud,Mirage,4 - 13,L
160,ARCRED,11/11/23,HardPlay Cup 8,Aurora Young Blud,Vertigo,7 - 13,L
161,ARCRED,11/11/23,HardPlay Cup 8,Aurora Young Blud,Inferno,13 - 11,W
