,team,data,match,opponent,map_map,result,w_l
0,Astralis,17/12/21,BLAST Premier World Final 2021,Liquid,Mirage,13 - 16,L
1,Astralis,15/12/21,BLAST Premier World Final 2021,Vitality,Mirage,6 - 16,L
2,Astralis,02/12/21,IEM Winter 2021,MOUZ,Nuke,16 - 10,W
3,Astralis,28/11/21,BLAST Premier Fall Final 2021,Vitality,Mirage,7 - 16,L
4,Astralis,26/11/21,BLAST Premier Fall Final 2021,FaZe,Dust2,16 - 9,W
5,Astralis,24/11/21,BLAST Premier Fall Final 2021,Ninjas in Pyjamas,Overpass,19 - 16,W
6,Astralis,31/10/21,PGL Major Stockholm 2021,HEROIC,Ancient,7 - 16,L
7,Astralis,30/10/21,PGL Major Stockholm 2021,FURIA,Inferno,16 - 10,W
8,Astralis,28/10/21,PGL Major Stockholm 2021 Challengers Stage,paiN,Ancient,19 - 16,W
9,Astralis,26/10/21,PGL Major Stockholm 2021 Challengers Stage,Entropiq,Dust2,6 - 16,L
10,Astralis,10/10/21,IEM Fall 2021 Europe,Vitality,Vertigo,5 - 16,L
11,Astralis,08/10/21,IEM Fall 2021 Europe,Fiend,Inferno,16 - 9,W
12,Astralis,02/10/21,IEM Fall 2021 Europe,Complexity,Nuke,16 - 14,W
13,Astralis,30/09/21,IEM Fall 2021 Europe,Movistar Riders,Inferno,16 - 13,W
14,Astralis,18/09/21,BLAST Premier Fall Groups 2021,Vitality,Dust2,9 - 16,L
15,Astralis,17/09/21,BLAST Premier Fall Groups 2021,Vitality,Nuke,14 - 16,L
16,Astralis,20/08/21,ESL Pro League Season 14,HEROIC,Vertigo,8 - 16,L
17,Astralis,18/08/21,ESL Pro League Season 14,Bad News Bears,Nuke,16 - 13,W
18,Astralis,16/08/21,ESL Pro League Season 14,Spirit,Ancient,16 - 7,W
19,Astralis,16/07/21,IEM Cologne 2021,Virtus.pro,Inferno,16 - 8,W
20,Astralis,10/07/21,IEM Cologne 2021,HEROIC,Overpass,16 - 12,W
21,Astralis,04/06/21,IEM Summer 2021,Gambit,Overpass,7 - 16,L
22,Astralis,03/06/21,IEM Summer 2021,FunPlus Phoenix,Ancient,7 - 16,L
23,Astralis,26/05/21,Flashpoint 3,HEROIC,Overpass,14 - 16,L
24,Astralis,19/05/21,Flashpoint 3,DBL PONEY,Nuke,16 - 13,W
25,Astralis,07/05/21,DreamHack Masters Spring 2021,G2,Vertigo,8 - 16,L
26,Astralis,30/04/21,DreamHack Masters Spring 2021,Complexity,Inferno,22 - 19,W
27,Astralis,13/04/21,BLAST Premier Spring Showdown 2021,OG,Dust2,17 - 19,L
28,Astralis,08/04/21,ESL Pro League Season 13,Gambit,Inferno,12 - 16,L
29,Astralis,28/03/21,ESL Pro League Season 13,Endpoint,Dust2,16 - 8,W
30,Astralis,26/03/21,ESL Pro League Season 13,Liquid,Dust2,19 - 15,W
31,Astralis,26/02/21,IEM Katowice 2021,Virtus.pro,Inferno,11 - 16,L
32,Astralis,19/02/21,IEM Katowice 2021,Evil Geniuses,Dust2,16 - 7,W
33,Astralis,06/02/21,BLAST Premier Spring Groups 2021,BIG,Inferno,8 - 16,L
34,Astralis,04/02/21,BLAST Premier Spring Groups 2021,Ninjas in Pyjamas,Inferno,13 - 16,L
35,Astralis,23/01/21,BLAST Premier Global Final 2020,Vitality,Inferno,16 - 5,W
36,Astralis,19/01/21,BLAST Premier Global Final 2020,Evil Geniuses,Vertigo,16 - 6,W
