,team,data,match,opponent,map_map,result,w_l
0,Aurora,13/12/23,YaLLa Compass Fall 2023,BIG,Ancient,11 - 13,L
1,Aurora,07/12/23,CCT 2023 Online Finals 5,BIG,Ancient,8 - 13,L
2,Aurora,06/12/23,CCT 2023 Online Finals 5,BIG,Nuke,5 - 13,L
3,Aurora,03/12/23,CCT 2023 Online Finals 5,SAW,Nuke,13 - 1,W
4,Aurora,20/11/23,BetBoom Dacha 2023 Closed Qualifier,MIBR,Anubis,6 - 13,L
5,Aurora,17/11/23,PARI Please 2023,PARIVISION,Overpass,13 - 6,W
6,Aurora,16/11/23,PARI Please 2023,FURIA,Overpass,10 - 13,L
7,Aurora,15/11/23,ESL Challenger Atlanta 2023 Europe Open Qualifier,PERA,Mirage,10 - 13,L
8,Aurora,14/11/23,CCT 2023 Online Finals 4,ALTERNATE aTTaX,Inferno,5 - 13,L
9,Aurora,12/11/23,CCT 2023 Online Finals 4,paiN,Anubis,8 - 13,L
10,Aurora,08/11/23,ESL Challenger League Season 46 Europe,PARIVISION,Ancient,29 - 31,L
11,Aurora,07/11/23,ESL Challenger League Season 46 Europe,EYEBALLERS,Ancient,3 - 13,L
12,Aurora,01/11/23,Roobet Cup 2023,Monte,Ancient,10 - 13,L
13,Aurora,30/10/23,Roobet Cup 2023,BIG,Nuke,13 - 10,W
14,Aurora,27/10/23,Roobet Cup 2023,Eternal Fire,Overpass,13 - 6,W
15,Aurora,25/10/23,Roobet Cup 2023,HEROIC,Mirage,8 - 13,L
16,Aurora,24/10/23,ESL Challenger League Season 46 Europe,Sprout,Anubis,13 - 10,W
17,Aurora,23/10/23, Skyesports Championship 5.0 Europe Closed Qualifier,B8,Nuke,13 - 6,W
18,Aurora,17/10/23,ESL Challenger League Season 46 Europe,The Prodigies,Nuke,5 - 13,L
19,Aurora,10/10/23,ESL Challenger Jönköping 2023 Europe Closed Qualifier,The Chosen Few,Ancient,13 - 9,W
20,Aurora,09/10/23,ESL Challenger Jönköping 2023 Europe Closed Qualifier,Apeks,Anubis,11 - 13,L
21,Aurora,04/10/23,ESL Challenger Jönköping 2023 Europe Open Qualifier,IKLA,Mirage,13 - 9,W
22,Aurora,30/09/23,CCT East Europe Series 2,1WIN,Overpass,11 - 16,L
23,Aurora,26/09/23,CCT East Europe Series 2,Falcons,Anubis,16 - 9,W
24,Aurora,21/09/23,CCT 2023 Online Finals 3,1WIN,Inferno,9 - 16,L
25,Aurora,27/08/23,RES Season 5,Bad News Eagles,Anubis,10 - 16,L
26,Aurora,25/08/23,RES Season 5,BSMPEEK,Ancient,16 - 10,W
27,Aurora,25/08/23,RES Season 5,BSMPEEK,Ancient,16 - 10,W
28,Aurora,24/08/23,PARI Dunav Party 2023,9 Pandas,Nuke,16 - 13,W
29,Aurora,18/08/23,CCT East Europe Series 1,500,Mirage,14 - 16,L
30,Aurora,15/08/23,CCT Central Europe Series 7,9 Pandas,Ancient,3 - 16,L
31,Aurora,12/08/23,Pinnacle Cup V,IKLA UA,Mirage,16 - 10,W
32,Aurora,09/08/23,CCT 2023 Online Finals 2,Virtus.pro,Inferno,5 - 16,L
33,Aurora,08/08/23,CCT 2023 Online Finals 2,SAW,Ancient,16 - 14,W
34,Aurora,08/08/23,Pinnacle Cup V,Websterz,Nuke,16 - 12,W
35,Aurora,06/08/23,CCT 2023 Online Finals 2,Into the Breach,Ancient,16 - 8,W
36,Aurora,03/08/23,CCT 2023 Online Finals 2,EYEBALLERS,Ancient,16 - 11,W
37,Aurora,30/07/23,Thunderpick World Championship 2023 Europe Series 1,Sashi,Nuke,16 - 0,W
38,Aurora,11/07/23,Gamers8 2023 Europe Open Qualifier 2,Sashi Mix,Overpass,16 - 7,W
39,Aurora,08/06/23,ESL Challenger League Season 45 Europe Relegation,Endpoint,Mirage,16 - 13,W
40,Aurora,06/06/23,ESEA Advanced Season 45 Europe,SINNERS,Nuke,15 - 19,L
41,Aurora,04/06/23,ESEA Advanced Season 45 Europe,Coalesce,Overpass,16 - 12,W
42,Aurora,02/06/23,ESEA Advanced Season 45 Europe,Websterz,Mirage,16 - 4,W
43,Aurora,31/05/23,BetBoom Playlist Freedom 2023,1WIN,Inferno,11 - 16,L
44,Aurora,30/05/23,BetBoom Playlist Freedom 2023,FORZE,Inferno,16 - 11,W
45,Aurora,27/05/23,BetBoom Playlist Freedom 2023,MOUZ NXT,Nuke,16 - 6,W
46,Aurora,25/05/23,CCT 2023 Online Finals 1,Meta,Inferno,16 - 11,W
47,Aurora,24/05/23,CCT South Europe Series 4,Astralis,Mirage,14 - 16,L
48,Aurora,18/05/23,BetBoom Playlist Freedom 2023,9 Pandas,Anubis,16 - 8,W
49,Aurora,04/05/23,ESL Challenger Katowice 2023 Europe Open Qualifier,Looking For Org,Mirage,11 - 16,L
50,Aurora,03/05/23,BetBoom Playlist Freedom 2023,00NATION,Nuke,16 - 3,W
51,Aurora,14/04/23,BLAST.tv Paris Major 2023 Europe RMR B,FORZE,Nuke,10 - 16,L
52,Aurora,12/04/23,BLAST.tv Paris Major 2023 Europe RMR B,G2,Nuke,14 - 16,L
53,Aurora,11/04/23,BLAST.tv Paris Major 2023 Europe RMR B,Spirit,Ancient,16 - 13,W
54,Aurora,29/03/23,CCT Central Europe Series 5,K23,Inferno,16 - 14,W
55,Aurora,13/03/23,BetBoom Playlist Urbanistic 2023,Copenhagen Flames,Nuke,16 - 9,W
56,Aurora,10/03/23,RES Eastern European Masters Spring 2023 - BLAST Premier Qualifier,DomiNation,Nuke,16 - 13,W
57,Aurora,10/03/23,RES Eastern European Masters Spring 2023 - BLAST Premier Qualifier,Monte,Ancient,16 - 14,W
58,Aurora,09/03/23,ESL Challenger Melbourne 2023 Europe Closed Qualifier,1WIN,Nuke,16 - 7,W
59,Aurora,08/03/23,ESL Challenger Melbourne 2023 Europe Closed Qualifier,Apeks,Anubis,16 - 4,W
60,Aurora,07/03/23,CCT South Europe Series 3,9INE,Nuke,16 - 13,W
61,Aurora,06/03/23,BetBoom Playlist Urbanistic 2023,1WIN,Nuke,16 - 14,W
62,Aurora,20/02/23,BetBoom Playlist Urbanistic 2023,Falcons,Nuke,16 - 14,W
63,Aurora,18/02/23,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier B,OG,Mirage,5 - 16,L
64,Aurora,16/02/23,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier B,500,Overpass,7 - 16,L
65,Aurora,06/02/23,CCT North Europe Series 3,Astralis,Nuke,15 - 19,L
66,Aurora,05/02/23,CCT North Europe Series 3,MOUZ NXT,Overpass,16 - 8,W
67,Aurora,30/01/23,CCT North Europe Series 3,HAVU,Anubis,16 - 13,W
68,Aurora,26/01/23,CCT South Europe Series 2,Bad News Eagles,Anubis,16 - 6,W
69,Aurora,25/01/23,CCT North Europe Series 3,Sangal,Mirage,16 - 6,W
