,team,data,match,opponent,map_map,result,w_l
0,B8,10/04/24,YaLLa Compass Spring 2024,Nexus,Mirage,9 - 13,L
1,B8,08/04/24,Elisa Invitational Spring 2024,MOUZ NXT,Inferno,6 - 13,L
2,B8,02/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Apeks,Ancient,13 - 16,L
3,B8,29/03/24,ESL Challenger League Season 47 Europe,Space,Mirage,11 - 13,L
4,B8,27/03/24,ESL Challenger Jönköping 2024 Europe Open Qualifier,Sampi,Mirage,13 - 9,W
5,B8,21/03/24,Skyesports Masters 2024 Europe Closed Qualifier,BetBoom,Ancient,4 - 13,L
6,B8,15/03/24,ESL Challenger League Season 47 Europe,3DMAX,Ancient,4 - 13,L
7,B8,12/03/24,IEM Dallas 2024 Europe Closed Qualifier,ENCE,Ancient,16 - 14,W
8,B8,11/03/24,IEM Dallas 2024 Europe Closed Qualifier,Virtus.pro,Ancient,9 - 13,L
9,B8,05/03/24,IEM Dallas 2024 Europe Open Qualifier 2,Johnny Speeds,Anubis,13 - 6,W
10,B8,05/03/24,IEM Dallas 2024 Europe Open Qualifier 2,UGANDA,Mirage,13 - 3,W
11,B8,18/02/24,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,Aurora,Nuke,11 - 13,L
12,B8,16/02/24,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,PERA,Anubis,13 - 11,W
13,B8,12/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,BEZFORMbI,Mirage,13 - 4,W
14,B8,10/04/24,YaLLa Compass Spring 2024,Nexus,Mirage,9 - 13,L
15,B8,10/04/24,YaLLa Compass Spring 2024,Nexus,Anubis,16 - 14,W
16,B8,10/04/24,YaLLa Compass Spring 2024,Nexus,Ancient,5 - 13,L
17,B8,08/04/24,Elisa Invitational Spring 2024,MOUZ NXT,Inferno,6 - 13,L
18,B8,08/04/24,Elisa Invitational Spring 2024,MOUZ NXT,Anubis,16 - 14,W
19,B8,08/04/24,Elisa Invitational Spring 2024,MOUZ NXT,Ancient,3 - 13,L
20,B8,02/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Apeks,Ancient,13 - 16,L
21,B8,02/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Apeks,Anubis,11 - 13,L
22,B8,29/03/24,ESL Challenger League Season 47 Europe,Space,Mirage,11 - 13,L
23,B8,29/03/24,ESL Challenger League Season 47 Europe,Space,Anubis,11 - 13,L
24,B8,27/03/24,ESL Challenger Jönköping 2024 Europe Open Qualifier,Sampi,Mirage,13 - 9,W
25,B8,21/03/24,Skyesports Masters 2024 Europe Closed Qualifier,BetBoom,Ancient,4 - 13,L
26,B8,21/03/24,Skyesports Masters 2024 Europe Closed Qualifier,BetBoom,Mirage,12 - 16,L
27,B8,21/03/24,Skyesports Masters 2024 Europe Closed Qualifier,BetBoom,Nuke,13 - 11,W
28,B8,15/03/24,ESL Challenger League Season 47 Europe,3DMAX,Ancient,4 - 13,L
29,B8,15/03/24,ESL Challenger League Season 47 Europe,3DMAX,Anubis,13 - 10,W
30,B8,15/03/24,ESL Challenger League Season 47 Europe,3DMAX,Nuke,11 - 13,L
31,B8,12/03/24,IEM Dallas 2024 Europe Closed Qualifier,ENCE,Ancient,16 - 14,W
32,B8,12/03/24,IEM Dallas 2024 Europe Closed Qualifier,ENCE,Nuke,13 - 10,W
33,B8,12/03/24,IEM Dallas 2024 Europe Closed Qualifier,ENCE,Mirage,11 - 13,L
34,B8,11/03/24,IEM Dallas 2024 Europe Closed Qualifier,Virtus.pro,Ancient,9 - 13,L
35,B8,11/03/24,IEM Dallas 2024 Europe Closed Qualifier,Virtus.pro,Anubis,6 - 13,L
36,B8,11/03/24,IEM Dallas 2024 Europe Closed Qualifier,Virtus.pro,Inferno,13 - 9,W
37,B8,05/03/24,IEM Dallas 2024 Europe Open Qualifier 2,Johnny Speeds,Anubis,13 - 6,W
38,B8,05/03/24,IEM Dallas 2024 Europe Open Qualifier 2,Johnny Speeds,Mirage,13 - 5,W
39,B8,05/03/24,IEM Dallas 2024 Europe Open Qualifier 2,UGANDA,Mirage,13 - 3,W
40,B8,18/02/24,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,Aurora,Nuke,11 - 13,L
41,B8,18/02/24,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,Aurora,Mirage,7 - 13,L
42,B8,16/02/24,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,PERA,Anubis,13 - 11,W
43,B8,12/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,BEZFORMbI,Mirage,13 - 4,W
44,B8,09/04/24,ESL Challenger League Season 47 Europe,Rebels,Nuke,14 - 16,L
45,B8,02/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Metizport,Mirage,8 - 13,L
46,B8,31/03/24,ESL Challenger League Season 47 Europe,Apeks,Ancient,13 - 4,W
47,B8,27/03/24,ESL Challenger Jönköping 2024 Europe Open Qualifier,Rebels,Mirage,13 - 7,W
48,B8,25/03/24,ESL Challenger League Season 47 Europe,FORZE,Mirage,13 - 9,W
49,B8,19/03/24,Skyesports Masters 2024 Europe Closed Qualifier,Sprout,Anubis,19 - 15,W
50,B8,12/03/24,IEM Dallas 2024 Europe Closed Qualifier,Metizport,Ancient,14 - 16,L
51,B8,11/03/24,IEM Dallas 2024 Europe Closed Qualifier,KOI,Nuke,13 - 9,W
52,B8,08/03/24,ESL Challenger League Season 47 Europe,PARIVISION,Mirage,7 - 13,L
53,B8,05/03/24,IEM Dallas 2024 Europe Open Qualifier 2,Passion UA,Anubis,13 - 7,W
54,B8,27/02/24,ESL Challenger Melbourne 2024 Europe Open Qualifier,DMS,Mirage,9 - 13,L
55,B8,16/02/24,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,500,Mirage,13 - 10,W
56,B8,13/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,Insilio,Anubis,6 - 13,L
57,B8,09/04/24,ESL Challenger League Season 47 Europe,Rebels,Nuke,14 - 16,L
58,B8,09/04/24,ESL Challenger League Season 47 Europe,Rebels,Ancient,7 - 13,L
59,B8,09/04/24,ESL Challenger League Season 47 Europe,Rebels,Anubis,13 - 11,W
60,B8,02/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Metizport,Mirage,8 - 13,L
61,B8,02/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Metizport,Anubis,11 - 13,L
62,B8,31/03/24,ESL Challenger League Season 47 Europe,Apeks,Ancient,13 - 4,W
63,B8,31/03/24,ESL Challenger League Season 47 Europe,Apeks,Anubis,13 - 11,W
64,B8,27/03/24,ESL Challenger Jönköping 2024 Europe Open Qualifier,Rebels,Mirage,13 - 7,W
65,B8,27/03/24,ESL Challenger Jönköping 2024 Europe Open Qualifier,Rebels,Ancient,13 - 11,W
66,B8,27/03/24,ESL Challenger Jönköping 2024 Europe Open Qualifier,Rebels,Anubis,11 - 13,L
67,B8,25/03/24,ESL Challenger League Season 47 Europe,FORZE,Mirage,13 - 9,W
