,team,data,match,opponent,map_map,result,w_l
0,Bad News Kangaroos,10/04/24,ESL Challenger League Season 47 Oceania,Rooster,Inferno,13 - 9,W
1,Bad News Kangaroos,03/04/24,ESL Challenger League Season 47 Oceania,DXA,Vertigo,13 - 4,W
2,Bad News Kangaroos,27/03/24,ESL Challenger League Season 47 Oceania,Mindfreak,Overpass,9 - 13,L
3,Bad News Kangaroos,23/03/24,The Game Expo 2024,DXA,Vertigo,13 - 4,W
4,Bad News Kangaroos,20/03/24,ESL Challenger League Season 47 Oceania,Canon Event,Vertigo,13 - 4,W
5,Bad News Kangaroos,16/03/24,Skyesports Grand Slam 2024,Gods Reign,Inferno,9 - 13,L
6,Bad News Kangaroos,14/03/24,Skyesports Grand Slam 2024,Aurora,Inferno,4 - 13,L
7,Bad News Kangaroos,06/03/24,ESL Challenger League Season 47 Oceania,Vantage,Mirage,13 - 7,W
8,Bad News Kangaroos,22/02/24,IEM Dallas 2024 Oceania Closed Qualifier,Vantage,Vertigo,13 - 3,W
9,Bad News Kangaroos,21/02/24,ESL Challenger League Season 47 Oceania,Grayhound,Mirage,4 - 13,L
10,Bad News Kangaroos,26/01/24,ESL Pro League Season 19 Oceania Open Qualifier,Rooster,Anubis,13 - 5,W
11,Bad News Kangaroos,24/01/24,ESL Pro League Season 19 Oceania Open Qualifier,disciples,Inferno,16 - 14,W
12,Bad News Kangaroos,22/01/24,IEM Chengdu 2024 Oceania Closed Qualifier,Grayhound,Inferno,13 - 16,L
13,Bad News Kangaroos,21/01/24,PGL CS2 Major Copenhagen 2024 Oceania RMR Closed Qualifier,Rooster,Inferno,13 - 4,W
14,Bad News Kangaroos,19/01/24,PGL CS2 Major Copenhagen 2024 Oceania RMR Closed Qualifier,DXA,Nuke,13 - 9,W
15,Bad News Kangaroos,10/04/24,ESL Challenger League Season 47 Oceania,Rooster,Inferno,13 - 9,W
16,Bad News Kangaroos,03/04/24,ESL Challenger League Season 47 Oceania,DXA,Vertigo,13 - 4,W
17,Bad News Kangaroos,27/03/24,ESL Challenger League Season 47 Oceania,Mindfreak,Overpass,9 - 13,L
18,Bad News Kangaroos,23/03/24,The Game Expo 2024,DXA,Vertigo,13 - 4,W
19,Bad News Kangaroos,23/03/24,The Game Expo 2024,DXA,Overpass,13 - 10,W
20,Bad News Kangaroos,20/03/24,ESL Challenger League Season 47 Oceania,Canon Event,Vertigo,13 - 4,W
21,Bad News Kangaroos,16/03/24,Skyesports Grand Slam 2024,Gods Reign,Inferno,9 - 13,L
22,Bad News Kangaroos,16/03/24,Skyesports Grand Slam 2024,Gods Reign,Anubis,8 - 13,L
23,Bad News Kangaroos,16/03/24,Skyesports Grand Slam 2024,Gods Reign,Nuke,13 - 1,W
24,Bad News Kangaroos,14/03/24,Skyesports Grand Slam 2024,Aurora,Inferno,4 - 13,L
25,Bad News Kangaroos,14/03/24,Skyesports Grand Slam 2024,Aurora,Overpass,11 - 13,L
