,team,data,match,opponent,map_map,result,w_l
0,BESTIA,16/12/23,ESL Challenger Atlanta 2023,Monte,Anubis,3 - 13,L
1,BESTIA,15/12/23,ESL Challenger Atlanta 2023,Monte,Ancient,8 - 13,L
2,BESTIA,28/11/23,ESL Challenger League Season 47 SA Open Qualifier 1,Seleção do bt0,Mirage,13 - 11,W
3,BESTIA,25/11/23,CBCS Invitational 2023,9z,Ancient,13 - 10,W
4,BESTIA,05/11/23,Copa BetBoom 2023,RED Canids,Overpass,5 - 13,L
5,BESTIA,02/11/23,CBCS 2023 Season 3,Legacy,Anubis,4 - 13,L
6,BESTIA,31/10/23,Copa BetBoom 2023,Imperial,Inferno,13 - 11,W
7,BESTIA,30/10/23,Game Arena Cup Season 1,Sharks Youngsters,Anubis,16 - 13,W
8,BESTIA,29/10/23,CBCS 2023 Season 3,Imperial,Anubis,13 - 7,W
9,BESTIA,28/10/23,Copa BetBoom 2023,Meta,Mirage,16 - 14,W
10,BESTIA,26/10/23,CBCS 2023 Season 3,Sharks,Inferno,10 - 13,L
11,BESTIA,25/10/23,CBCS 2023 Season 3,Filhos de D10S,Mirage,19 - 17,W
12,BESTIA,24/10/23,ESL Challenger Atlanta 2023 South America Closed Qualifier,ODDIK,Inferno,13 - 5,W
13,BESTIA,23/10/23,ESL Challenger Atlanta 2023 South America Closed Qualifier,ODDIK,Inferno,3 - 13,L
14,BESTIA,15/10/23,CCT South America Series 12,W7M,Nuke,16 - 8,W
15,BESTIA,13/10/23,CCT South America Series 12,MIBR Academy,Anubis,16 - 9,W
16,BESTIA,24/09/23,CBCS 2023 Season 2,Case,Overpass,16 - 12,W
17,BESTIA,17/09/23,CBCS 2023 Season 2,Meta,Inferno,16 - 12,W
18,BESTIA,13/09/23,CBCS 2023 Season 2,Intense,Overpass,16 - 5,W
19,BESTIA,02/09/23,CCT South America Series 10,O PLANO,Nuke,16 - 10,W
20,BESTIA,27/08/23,CBCS Masters 2023,Fluxo,Anubis,16 - 12,W
21,BESTIA,18/08/23,CBCS Masters 2023,paiN,Inferno,16 - 11,W
22,BESTIA,12/08/23,TG Masters Fall 2023 - BLAST Premier Qualifier,Sharks,Nuke,12 - 16,L
23,BESTIA,11/08/23,TG Masters Fall 2023 - BLAST Premier Qualifier,Meta,Mirage,16 - 11,W
24,BESTIA,11/08/23,CCT South America Series 9,LRV,Overpass,16 - 11,W
25,BESTIA,22/07/23,CCT South America Series 8,9z,Inferno,13 - 16,L
26,BESTIA,11/07/23,ESL Pro League Season 18 South America Open Qualifier,9z,Overpass,17 - 19,L
27,BESTIA,08/07/23,FiReLEAGUE Argentina 2023 Finals,Boca Juniors,Overpass,16 - 4,W
28,BESTIA,25/06/23,CBCS 2023 Season 1,Sharks,Anubis,10 - 16,L
29,BESTIA,23/06/23,CBCS 2023 Season 1,ODDIK,Inferno,16 - 9,W
30,BESTIA,19/06/23,FiReLEAGUE Argentina 2023,VELOX,Ancient,16 - 8,W
31,BESTIA,16/06/23,CBCS 2023 Season 1,RED Canids,Anubis,16 - 12,W
32,BESTIA,10/06/23,1XPLORE Latin America Cup 1,paiN Academy,Anubis,16 - 5,W
33,BESTIA,09/06/23,Pinnacle Cup Brasil 1,Paquetá,Mirage,16 - 12,W
34,BESTIA,08/06/23,1XPLORE Latin America Cup 1,Boca Juniors,Inferno,16 - 7,W
35,BESTIA,05/06/23,1XPLORE Latin America Cup 1,paiN Academy,Inferno,16 - 10,W
36,BESTIA,29/05/23,1XPLORE Latin America Cup 1,ODDIK,Nuke,16 - 14,W
37,BESTIA,07/05/23,CCT South America Series 7,INTZ,Ancient,16 - 5,W
38,BESTIA,06/05/23,CCT South America Series 7,Sharks,Ancient,16 - 9,W
39,BESTIA,28/04/23,TG Rush Autumn 2023,Solid,Overpass,14 - 16,L
40,BESTIA,24/04/23,TG Rush Autumn 2023,SELECAO,Ancient,16 - 9,W
41,BESTIA,15/04/23,ESL Challenger Katowice 2023 South America Open Qualifier,9z,Mirage,16 - 19,L
42,BESTIA,14/04/23,ESL Challenger Katowice 2023 South America Open Qualifier,FURIA Academy,Overpass,16 - 14,W
43,BESTIA,08/04/23,BLAST.tv Paris Major 2023 Americas RMR,MIBR,Inferno,10 - 16,L
44,BESTIA,06/04/23,BLAST.tv Paris Major 2023 Americas RMR,Nouns,Overpass,16 - 13,W
45,BESTIA,18/02/23,BLAST.tv Paris Major 2023 South America RMR Closed Qualifier,Fuscão 1500,Inferno,16 - 7,W
46,BESTIA,15/02/23,BLAST.tv Paris Major 2023 South America RMR Open Qualifier 1,ODDIK,Ancient,16 - 7,W
47,BESTIA,15/02/23,BLAST.tv Paris Major 2023 South America RMR Open Qualifier 1,TropiCaos,Overpass,16 - 7,W
48,BESTIA,16/12/23,ESL Challenger Atlanta 2023,Monte,Anubis,3 - 13,L
49,BESTIA,16/12/23,ESL Challenger Atlanta 2023,Monte,Ancient,7 - 13,L
50,BESTIA,15/12/23,ESL Challenger Atlanta 2023,Monte,Ancient,8 - 13,L
51,BESTIA,28/11/23,ESL Challenger League Season 47 SA Open Qualifier 1,Seleção do bt0,Mirage,13 - 11,W
52,BESTIA,25/11/23,CBCS Invitational 2023,9z,Ancient,13 - 10,W
53,BESTIA,25/11/23,CBCS Invitational 2023,9z,Inferno,9 - 13,L
54,BESTIA,25/11/23,CBCS Invitational 2023,9z,Mirage,13 - 9,W
55,BESTIA,05/11/23,Copa BetBoom 2023,RED Canids,Overpass,5 - 13,L
56,BESTIA,05/11/23,Copa BetBoom 2023,RED Canids,Ancient,11 - 13,L
57,BESTIA,02/11/23,CBCS 2023 Season 3,Legacy,Anubis,4 - 13,L
58,BESTIA,02/11/23,CBCS 2023 Season 3,Legacy,Overpass,6 - 13,L
59,BESTIA,31/10/23,Copa BetBoom 2023,Imperial,Inferno,13 - 11,W
60,BESTIA,31/10/23,Copa BetBoom 2023,Imperial,Anubis,13 - 9,W
61,BESTIA,31/10/23,Copa BetBoom 2023,Imperial,Mirage,14 - 16,L
62,BESTIA,30/10/23,Game Arena Cup Season 1,Sharks Youngsters,Anubis,16 - 13,W
63,BESTIA,30/10/23,Game Arena Cup Season 1,Sharks Youngsters,Ancient,13 - 4,W
64,BESTIA,29/10/23,CBCS 2023 Season 3,Imperial,Anubis,13 - 7,W
65,BESTIA,29/10/23,CBCS 2023 Season 3,Imperial,Inferno,8 - 13,L
66,BESTIA,29/10/23,CBCS 2023 Season 3,Imperial,Mirage,13 - 11,W
67,BESTIA,28/10/23,Copa BetBoom 2023,Meta,Mirage,16 - 14,W
68,BESTIA,28/10/23,Copa BetBoom 2023,Meta,Anubis,13 - 6,W
69,BESTIA,28/10/23,Copa BetBoom 2023,Meta,Ancient,7 - 13,L
70,BESTIA,26/10/23,CBCS 2023 Season 3,Sharks,Inferno,10 - 13,L
71,BESTIA,26/10/23,CBCS 2023 Season 3,Sharks,Nuke,11 - 13,L
72,BESTIA,25/10/23,CBCS 2023 Season 3,Filhos de D10S,Mirage,19 - 17,W
73,BESTIA,25/10/23,CBCS 2023 Season 3,Filhos de D10S,Ancient,13 - 8,W
74,BESTIA,24/10/23,ESL Challenger Atlanta 2023 South America Closed Qualifier,ODDIK,Inferno,13 - 5,W
75,BESTIA,24/10/23,ESL Challenger Atlanta 2023 South America Closed Qualifier,ODDIK,Nuke,13 - 9,W
76,BESTIA,23/10/23,ESL Challenger Atlanta 2023 South America Closed Qualifier,ODDIK,Inferno,3 - 13,L
77,BESTIA,23/10/23,ESL Challenger Atlanta 2023 South America Closed Qualifier,ODDIK,Nuke,13 - 16,L
78,BESTIA,15/10/23,CCT South America Series 12,W7M,Nuke,16 - 8,W
79,BESTIA,15/10/23,CCT South America Series 12,W7M,Inferno,16 - 10,W
80,BESTIA,13/10/23,CCT South America Series 12,MIBR Academy,Anubis,16 - 9,W
81,BESTIA,13/10/23,CCT South America Series 12,MIBR Academy,Overpass,16 - 4,W
82,BESTIA,24/09/23,CBCS 2023 Season 2,Case,Overpass,16 - 12,W
83,BESTIA,24/09/23,CBCS 2023 Season 2,Case,Inferno,16 - 2,W
84,BESTIA,24/09/23,CBCS 2023 Season 2,Case,Mirage,6 - 16,L
85,BESTIA,17/09/23,CBCS 2023 Season 2,Meta,Inferno,16 - 12,W
86,BESTIA,17/09/23,CBCS 2023 Season 2,Meta,Nuke,16 - 4,W
87,BESTIA,13/09/23,CBCS 2023 Season 2,Intense,Overpass,16 - 5,W
88,BESTIA,13/09/23,CBCS 2023 Season 2,Intense,Inferno,16 - 4,W
89,BESTIA,02/09/23,CCT South America Series 10,O PLANO,Nuke,16 - 10,W
90,BESTIA,02/09/23,CCT South America Series 10,O PLANO,Ancient,16 - 14,W
91,BESTIA,27/08/23,CBCS Masters 2023,Fluxo,Anubis,16 - 12,W
92,BESTIA,27/08/23,CBCS Masters 2023,Fluxo,Ancient,19 - 16,W
93,BESTIA,18/08/23,CBCS Masters 2023,paiN,Inferno,16 - 11,W
94,BESTIA,18/08/23,CBCS Masters 2023,paiN,Nuke,16 - 13,W
95,BESTIA,12/08/23,TG Masters Fall 2023 - BLAST Premier Qualifier,Sharks,Nuke,12 - 16,L
96,BESTIA,12/08/23,TG Masters Fall 2023 - BLAST Premier Qualifier,Sharks,Inferno,17 - 19,L
97,BESTIA,11/08/23,TG Masters Fall 2023 - BLAST Premier Qualifier,Meta,Mirage,16 - 11,W
98,BESTIA,11/08/23,CCT South America Series 9,LRV,Overpass,16 - 11,W
99,BESTIA,11/08/23,CCT South America Series 9,LRV,Inferno,16 - 11,W
100,BESTIA,22/07/23,CCT South America Series 8,9z,Inferno,13 - 16,L
101,BESTIA,22/07/23,CCT South America Series 8,9z,Mirage,8 - 16,L
102,BESTIA,11/07/23,ESL Pro League Season 18 South America Open Qualifier,9z,Overpass,17 - 19,L
103,BESTIA,11/07/23,ESL Pro League Season 18 South America Open Qualifier,9z,Ancient,16 - 14,W
104,BESTIA,11/07/23,ESL Pro League Season 18 South America Open Qualifier,9z,Inferno,14 - 16,L
105,BESTIA,08/07/23,FiReLEAGUE Argentina 2023 Finals,Boca Juniors,Overpass,16 - 4,W
106,BESTIA,08/07/23,FiReLEAGUE Argentina 2023 Finals,Boca Juniors,Ancient,16 - 4,W
107,BESTIA,25/06/23,CBCS 2023 Season 1,Sharks,Anubis,10 - 16,L
108,BESTIA,25/06/23,CBCS 2023 Season 1,Sharks,Ancient,4 - 16,L
109,BESTIA,25/06/23,CBCS 2023 Season 1,Sharks,Inferno,16 - 13,W
110,BESTIA,23/06/23,CBCS 2023 Season 1,ODDIK,Inferno,16 - 9,W
111,BESTIA,23/06/23,CBCS 2023 Season 1,ODDIK,Overpass,11 - 16,L
112,BESTIA,23/06/23,CBCS 2023 Season 1,ODDIK,Ancient,16 - 7,W
113,BESTIA,19/06/23,FiReLEAGUE Argentina 2023,VELOX,Ancient,16 - 8,W
114,BESTIA,16/06/23,CBCS 2023 Season 1,RED Canids,Anubis,16 - 12,W
115,BESTIA,16/06/23,CBCS 2023 Season 1,RED Canids,Inferno,16 - 9,W
116,BESTIA,10/06/23,1XPLORE Latin America Cup 1,paiN Academy,Anubis,16 - 5,W
117,BESTIA,10/06/23,1XPLORE Latin America Cup 1,paiN Academy,Inferno,16 - 14,W
118,BESTIA,09/06/23,Pinnacle Cup Brasil 1,Paquetá,Mirage,16 - 12,W
119,BESTIA,09/06/23,Pinnacle Cup Brasil 1,Paquetá,Inferno,16 - 13,W
120,BESTIA,08/06/23,1XPLORE Latin America Cup 1,Boca Juniors,Inferno,16 - 7,W
121,BESTIA,08/06/23,1XPLORE Latin America Cup 1,Boca Juniors,Anubis,19 - 17,W
122,BESTIA,05/06/23,1XPLORE Latin America Cup 1,paiN Academy,Inferno,16 - 10,W
123,BESTIA,05/06/23,1XPLORE Latin America Cup 1,paiN Academy,Anubis,16 - 10,W
124,BESTIA,29/05/23,1XPLORE Latin America Cup 1,ODDIK,Nuke,16 - 14,W
125,BESTIA,29/05/23,1XPLORE Latin America Cup 1,ODDIK,Mirage,16 - 6,W
126,BESTIA,07/05/23,CCT South America Series 7,INTZ,Ancient,16 - 5,W
127,BESTIA,07/05/23,CCT South America Series 7,INTZ,Mirage,13 - 16,L
128,BESTIA,07/05/23,CCT South America Series 7,INTZ,Anubis,16 - 14,W
129,BESTIA,06/05/23,CCT South America Series 7,Sharks,Ancient,16 - 9,W
130,BESTIA,06/05/23,CCT South America Series 7,Sharks,Mirage,14 - 16,L
131,BESTIA,06/05/23,CCT South America Series 7,Sharks,Anubis,16 - 11,W
132,BESTIA,28/04/23,TG Rush Autumn 2023,Solid,Overpass,14 - 16,L
133,BESTIA,28/04/23,TG Rush Autumn 2023,Solid,Ancient,6 - 16,L
134,BESTIA,24/04/23,TG Rush Autumn 2023,SELECAO,Ancient,16 - 9,W
135,BESTIA,15/04/23,ESL Challenger Katowice 2023 South America Open Qualifier,9z,Mirage,16 - 19,L
136,BESTIA,15/04/23,ESL Challenger Katowice 2023 South America Open Qualifier,9z,Overpass,25 - 22,W
137,BESTIA,15/04/23,ESL Challenger Katowice 2023 South America Open Qualifier,9z,Ancient,6 - 16,L
138,BESTIA,14/04/23,ESL Challenger Katowice 2023 South America Open Qualifier,FURIA Academy,Overpass,16 - 14,W
139,BESTIA,08/04/23,BLAST.tv Paris Major 2023 Americas RMR,MIBR,Inferno,10 - 16,L
140,BESTIA,08/04/23,BLAST.tv Paris Major 2023 Americas RMR,MIBR,Overpass,16 - 13,W
141,BESTIA,08/04/23,BLAST.tv Paris Major 2023 Americas RMR,MIBR,Anubis,12 - 16,L
142,BESTIA,06/04/23,BLAST.tv Paris Major 2023 Americas RMR,Nouns,Overpass,16 - 13,W
143,BESTIA,18/02/23,BLAST.tv Paris Major 2023 South America RMR Closed Qualifier,Fuscão 1500,Inferno,16 - 7,W
144,BESTIA,15/02/23,BLAST.tv Paris Major 2023 South America RMR Open Qualifier 1,ODDIK,Ancient,16 - 7,W
145,BESTIA,15/02/23,BLAST.tv Paris Major 2023 South America RMR Open Qualifier 1,TropiCaos,Overpass,16 - 7,W
146,BESTIA,16/12/23,ESL Challenger Atlanta 2023,M80,Anubis,13 - 11,W
147,BESTIA,29/11/23,ESL Challenger League Season 47 SA Open Qualifier 1,W7M,Ancient,13 - 9,W
148,BESTIA,25/11/23,CBCS Invitational 2023,Fluxo,Inferno,9 - 13,L
149,BESTIA,23/11/23,CBCS Invitational 2023,Case,Inferno,13 - 11,W
150,BESTIA,04/11/23,Copa BetBoom 2023,Sharks,Anubis,13 - 5,W
151,BESTIA,01/11/23,Copa BetBoom 2023,RED Canids,Nuke,6 - 13,L
152,BESTIA,31/10/23,Game Arena Cup Season 1,ODDIK,Nuke,15 - 19,L
153,BESTIA,29/10/23,Copa BetBoom 2023,paiN,Anubis,16 - 14,W
