,team,data,match,opponent,map_map,result,w_l
0,BetBoom,10/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Aurora,Nuke,13 - 4,W
1,BetBoom,06/04/24,A1 Gaming League Season 8,Alliance,Mirage,13 - 6,W
2,BetBoom,04/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Alliance,Mirage,13 - 1,W
3,BetBoom,27/03/24,ESL Challenger Jönköping 2024 Europe Open Qualifier,Blessed,Nuke,7 - 13,L
4,BetBoom,23/03/24,Skyesports Masters 2024 Europe Closed Qualifier,fnatic,Overpass,13 - 8,W
5,BetBoom,05/03/24,RES Regional Series 1 Europe,BLEED,Anubis,3 - 13,L
6,BetBoom,03/03/24,IEM Dallas 2024 Europe Open Qualifier 1,Preasy,Ancient,7 - 13,L
7,BetBoom,01/03/24,RES Regional Series 1 Europe,Preasy,Vertigo,13 - 9,W
8,BetBoom,23/02/24,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,Guild Eagles,Ancient,10 - 13,L
9,BetBoom,16/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Natus Vincere,Nuke,7 - 13,L
10,BetBoom,14/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Into the Breach,Mirage,13 - 1,W
11,BetBoom,08/02/24,IEM Chengdu 2024 Europe Closed Qualifier,FORZE,Anubis,6 - 13,L
12,BetBoom,01/02/24,IEM Katowice 2024 Play-in,Cloud9,Ancient,7 - 13,L
13,BetBoom,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,OG,Mirage,13 - 9,W
14,BetBoom,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,BIG,Overpass,13 - 9,W
15,BetBoom,10/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Aurora,Nuke,13 - 4,W
16,BetBoom,10/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Aurora,Ancient,13 - 10,W
17,BetBoom,06/04/24,A1 Gaming League Season 8,Alliance,Mirage,13 - 6,W
18,BetBoom,06/04/24,A1 Gaming League Season 8,Alliance,Ancient,13 - 5,W
19,BetBoom,04/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Alliance,Mirage,13 - 1,W
20,BetBoom,04/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Alliance,Anubis,13 - 4,W
21,BetBoom,27/03/24,ESL Challenger Jönköping 2024 Europe Open Qualifier,Blessed,Nuke,7 - 13,L
22,BetBoom,23/03/24,Skyesports Masters 2024 Europe Closed Qualifier,fnatic,Overpass,13 - 8,W
23,BetBoom,23/03/24,Skyesports Masters 2024 Europe Closed Qualifier,fnatic,Nuke,13 - 4,W
24,BetBoom,23/03/24,Skyesports Masters 2024 Europe Closed Qualifier,fnatic,Ancient,4 - 13,L
25,BetBoom,05/03/24,RES Regional Series 1 Europe,BLEED,Anubis,3 - 13,L
26,BetBoom,05/03/24,RES Regional Series 1 Europe,BLEED,Overpass,11 - 13,L
27,BetBoom,05/03/24,RES Regional Series 1 Europe,BLEED,Mirage,13 - 3,W
28,BetBoom,03/03/24,IEM Dallas 2024 Europe Open Qualifier 1,Preasy,Ancient,7 - 13,L
29,BetBoom,01/03/24,RES Regional Series 1 Europe,Preasy,Vertigo,13 - 9,W
30,BetBoom,01/03/24,RES Regional Series 1 Europe,Preasy,Anubis,13 - 10,W
31,BetBoom,23/02/24,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,Guild Eagles,Ancient,10 - 13,L
32,BetBoom,23/02/24,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,Guild Eagles,Overpass,4 - 13,L
33,BetBoom,16/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Natus Vincere,Nuke,7 - 13,L
34,BetBoom,16/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Natus Vincere,Anubis,13 - 8,W
35,BetBoom,16/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Natus Vincere,Overpass,4 - 13,L
36,BetBoom,14/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Into the Breach,Mirage,13 - 1,W
37,BetBoom,08/02/24,IEM Chengdu 2024 Europe Closed Qualifier,FORZE,Anubis,6 - 13,L
38,BetBoom,08/02/24,IEM Chengdu 2024 Europe Closed Qualifier,FORZE,Overpass,17 - 19,L
39,BetBoom,08/02/24,IEM Chengdu 2024 Europe Closed Qualifier,FORZE,Mirage,13 - 7,W
40,BetBoom,01/02/24,IEM Katowice 2024 Play-in,Cloud9,Ancient,7 - 13,L
41,BetBoom,01/02/24,IEM Katowice 2024 Play-in,Cloud9,Anubis,6 - 13,L
42,BetBoom,01/02/24,IEM Katowice 2024 Play-in,Cloud9,Overpass,25 - 22,W
43,BetBoom,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,OG,Mirage,13 - 9,W
44,BetBoom,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,OG,Overpass,13 - 9,W
45,BetBoom,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,BIG,Overpass,13 - 9,W
46,BetBoom,09/04/24,Skyesports Masters 2024,BIG,Ancient,13 - 7,W
47,BetBoom,05/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,BLEED,Mirage,13 - 9,W
48,BetBoom,04/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,BLEED,Ancient,13 - 9,W
49,BetBoom,24/03/24,Skyesports Masters 2024 Europe Closed Qualifier,FORZE,Overpass,13 - 16,L
50,BetBoom,21/03/24,Skyesports Masters 2024 Europe Closed Qualifier,B8,Ancient,13 - 4,W
51,BetBoom,04/03/24,RES Regional Series 1 Europe,ECSTATIC,Overpass,13 - 3,W
52,BetBoom,03/03/24,IEM Dallas 2024 Europe Open Qualifier 1,Sprout,Anubis,13 - 11,W
53,BetBoom,28/02/24,RES Regional Series 1 Europe,ALTERNATE aTTaX,Ancient,13 - 9,W
54,BetBoom,17/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Eternal Fire,Vertigo,1 - 13,L
55,BetBoom,15/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Enterprise,Nuke,13 - 10,W
56,BetBoom,14/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,fnatic,Anubis,6 - 13,L
57,BetBoom,08/02/24,IEM Chengdu 2024 Europe Closed Qualifier,Nemiga,Mirage,10 - 13,L
58,BetBoom,31/01/24,IEM Katowice 2024 Play-in,Eternal Fire,Nuke,1 - 13,L
59,BetBoom,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,Cloud9,Anubis,5 - 13,L
60,BetBoom,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,Zero Tenacity,Overpass,13 - 6,W
61,BetBoom,09/04/24,Skyesports Masters 2024,BIG,Ancient,13 - 7,W
62,BetBoom,09/04/24,Skyesports Masters 2024,BIG,Anubis,13 - 6,W
63,BetBoom,09/04/24,Skyesports Masters 2024,BIG,Overpass,9 - 13,L
64,BetBoom,05/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,BLEED,Mirage,13 - 9,W
65,BetBoom,05/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,BLEED,Anubis,13 - 4,W
66,BetBoom,04/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,BLEED,Ancient,13 - 9,W
67,BetBoom,24/03/24,Skyesports Masters 2024 Europe Closed Qualifier,FORZE,Overpass,13 - 16,L
68,BetBoom,24/03/24,Skyesports Masters 2024 Europe Closed Qualifier,FORZE,Anubis,11 - 13,L
69,BetBoom,24/03/24,Skyesports Masters 2024 Europe Closed Qualifier,FORZE,Mirage,13 - 10,W
70,BetBoom,24/03/24,Skyesports Masters 2024 Europe Closed Qualifier,FORZE,Nuke,13 - 16,L
71,BetBoom,24/03/24,Skyesports Masters 2024 Europe Closed Qualifier,FORZE,Ancient,13 - 3,W
72,BetBoom,21/03/24,Skyesports Masters 2024 Europe Closed Qualifier,B8,Ancient,13 - 4,W
73,BetBoom,21/03/24,Skyesports Masters 2024 Europe Closed Qualifier,B8,Mirage,16 - 12,W
74,BetBoom,21/03/24,Skyesports Masters 2024 Europe Closed Qualifier,B8,Nuke,11 - 13,L
75,BetBoom,04/03/24,RES Regional Series 1 Europe,ECSTATIC,Overpass,13 - 3,W
76,BetBoom,04/03/24,RES Regional Series 1 Europe,ECSTATIC,Vertigo,13 - 4,W
77,BetBoom,04/03/24,RES Regional Series 1 Europe,ECSTATIC,Anubis,11 - 13,L
78,BetBoom,03/03/24,IEM Dallas 2024 Europe Open Qualifier 1,Sprout,Anubis,13 - 11,W
79,BetBoom,28/02/24,RES Regional Series 1 Europe,ALTERNATE aTTaX,Ancient,13 - 9,W
80,BetBoom,28/02/24,RES Regional Series 1 Europe,ALTERNATE aTTaX,Overpass,8 - 13,L
81,BetBoom,28/02/24,RES Regional Series 1 Europe,ALTERNATE aTTaX,Anubis,16 - 14,W
82,BetBoom,17/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Eternal Fire,Vertigo,1 - 13,L
83,BetBoom,17/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Eternal Fire,Mirage,7 - 13,L
84,BetBoom,15/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Enterprise,Nuke,13 - 10,W
85,BetBoom,14/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,fnatic,Anubis,6 - 13,L
86,BetBoom,08/02/24,IEM Chengdu 2024 Europe Closed Qualifier,Nemiga,Mirage,10 - 13,L
87,BetBoom,08/02/24,IEM Chengdu 2024 Europe Closed Qualifier,Nemiga,Ancient,9 - 13,L
88,BetBoom,31/01/24,IEM Katowice 2024 Play-in,Eternal Fire,Nuke,1 - 13,L
89,BetBoom,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,Cloud9,Anubis,5 - 13,L
90,BetBoom,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,Cloud9,Nuke,3 - 13,L
91,BetBoom,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,Zero Tenacity,Overpass,13 - 6,W
