,team,data,match,opponent,map_map,result,w_l
0,BIG,13/12/23,YaLLa Compass Fall 2023,9INE,Vertigo,13 - 7,W
1,BIG,12/12/23,YaLLa Compass Fall 2023,Sprout,Vertigo,13 - 9,W
2,BIG,06/12/23,CCT 2023 Online Finals 5,Aurora,Nuke,13 - 5,W
3,BIG,03/12/23,CCT 2023 Online Finals 5,Guild Eagles,Ancient,13 - 9,W
4,BIG,20/11/23,BetBoom Dacha 2023 Closed Qualifier,MIBR,Ancient,13 - 16,L
5,BIG,18/11/23,CCT 2023 Online Finals 4,Into the Breach,Vertigo,13 - 9,W
6,BIG,17/11/23,CCT 2023 Online Finals 4,Preasy,Ancient,5 - 13,L
7,BIG,14/11/23,BetBoom Dacha 2023 Closed Qualifier,Eternal Fire,Vertigo,13 - 9,W
8,BIG,12/11/23,BetBoom Dacha 2023 Closed Qualifier,Apeks,Overpass,8 - 13,L
9,BIG,31/10/23,Thunderpick World Championship 2023,FURIA,Vertigo,13 - 5,W
10,BIG,30/10/23,Thunderpick World Championship 2023,FURIA,Ancient,13 - 6,W
11,BIG,28/10/23,Roobet Cup 2023,9INE,Ancient,13 - 0,W
12,BIG,25/10/23,CCT North Europe Series 8,Spirit,Overpass,13 - 6,W
13,BIG,24/10/23,CCT North Europe Series 8,Sprout,Ancient,13 - 10,W
14,BIG,22/10/23,CCT North Europe Series 8,Aurora Young Blud,Ancient,13 - 5,W
15,BIG,09/10/23,ESL Challenger Jönköping 2023 Europe Closed Qualifier,The Chosen Few,Anubis,9 - 13,L
16,BIG,06/10/23,BLAST Premier Fall Showdown 2023 Europe,ENCE,Anubis,16 - 10,W
17,BIG,27/09/23,ESL Pro League Season 18,Eternal Fire,Anubis,10 - 16,L
18,BIG,07/09/23,ESL Pro League Season 18,HEROIC,Inferno,16 - 13,W
19,BIG,27/08/23,CCT North Europe Series 7,Monte,Anubis,16 - 11,W
20,BIG,26/08/23,CCT North Europe Series 7,SAW,Anubis,19 - 16,W
21,BIG,19/08/23,CCT East Europe Series 1,Space,Mirage,10 - 16,L
22,BIG,13/08/23,Thunderpick World Championship 2023 Europe Series 1,MOUZ,Ancient,17 - 19,L
23,BIG,10/08/23,IEM Sydney 2023 Europe Open Qualifier 1,Victory Zigzag,Ancient,14 - 16,L
24,BIG,10/08/23,Thunderpick World Championship 2023 Europe Series 1,ALTERNATE aTTaX,Overpass,16 - 12,W
25,BIG,27/07/23,IEM Cologne 2023 Play-in,Liquid,Overpass,9 - 16,L
26,BIG,23/07/23,BLAST Premier Fall Groups 2023,Vitality,Inferno,8 - 16,L
