,team,data,match,opponent,map_map,result,w_l
0,BLEED,09/04/24,YaLLa Compass Spring 2024,Alliance,Mirage,13 - 8,W
1,BLEED,05/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,BetBoom,Mirage,9 - 13,L
2,BLEED,04/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Benched Heroes,Anubis,13 - 10,W
3,BLEED,02/04/24,Thunderpick World Championship 2024 EU Closed Qualifier 1,Passion UA,Mirage,13 - 7,W
4,BLEED,13/03/24,Elisa Invitational Spring 2024 Contenders,Espionage,Vertigo,13 - 10,W
5,BLEED,06/03/24,RES Regional Series 1 Europe,fnatic,Anubis,10 - 13,L
6,BLEED,04/03/24,RES Regional Series 1 Europe,Rebels,Ancient,13 - 3,W
7,BLEED,01/03/24,RES Regional Series 1 Europe,Young Ninjas,Nuke,13 - 11,W
8,BLEED,28/02/24,RES Regional Series 1 Europe,BIG,Vertigo,19 - 16,W
9,BLEED,08/02/24,YaLLa Compass Spring 2024 Contenders,Passion UA,Anubis,13 - 11,W
10,BLEED,31/01/24,YaLLa Compass Spring 2024 Contenders,9INE,Mirage,13 - 6,W
11,BLEED,25/01/24,European Pro League Season 13,Into the Breach,Vertigo,13 - 7,W
12,BLEED,09/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1,IKLA,Inferno,13 - 4,W
13,BLEED,09/04/24,YaLLa Compass Spring 2024,Alliance,Mirage,13 - 8,W
14,BLEED,09/04/24,YaLLa Compass Spring 2024,Alliance,Anubis,13 - 4,W
15,BLEED,09/04/24,YaLLa Compass Spring 2024,Alliance,Inferno,14 - 16,L
16,BLEED,05/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,BetBoom,Mirage,9 - 13,L
17,BLEED,05/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,BetBoom,Anubis,4 - 13,L
18,BLEED,04/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Benched Heroes,Anubis,13 - 10,W
19,BLEED,04/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Benched Heroes,Mirage,13 - 4,W
20,BLEED,02/04/24,Thunderpick World Championship 2024 EU Closed Qualifier 1,Passion UA,Mirage,13 - 7,W
21,BLEED,02/04/24,Thunderpick World Championship 2024 EU Closed Qualifier 1,Passion UA,Inferno,16 - 14,W
22,BLEED,02/04/24,Thunderpick World Championship 2024 EU Closed Qualifier 1,Passion UA,Anubis,11 - 13,L
