,team,data,match,opponent,map_map,result,w_l
0,BOSS,13/12/23,Mythic Cup Winter 2023,M80,Vertigo,4 - 13,L
1,BOSS,11/12/23,ESL Challenger League Season 46 North America,M80,Anubis,16 - 19,L
2,BOSS,08/12/23,ESL Challenger League Season 46 North America,M80,Overpass,14 - 16,L
3,BOSS,03/12/23,Fragicago 2023,Badass,Ancient,14 - 16,L
4,BOSS,23/11/23,ESL Challenger League Season 46 North America,Party Astronauts,Mirage,13 - 16,L
5,BOSS,21/11/23,ESL Challenger League Season 46 North America,Rocket,Anubis,13 - 1,W
6,BOSS,18/11/23,ESL Challenger League Season 46 North America,Take Flyte,Ancient,13 - 10,W
7,BOSS,13/12/23,Mythic Cup Winter 2023,M80,Vertigo,4 - 13,L
8,BOSS,13/12/23,Mythic Cup Winter 2023,M80,Anubis,2 - 13,L
9,BOSS,11/12/23,ESL Challenger League Season 46 North America,M80,Anubis,16 - 19,L
10,BOSS,11/12/23,ESL Challenger League Season 46 North America,M80,Vertigo,9 - 13,L
11,BOSS,08/12/23,ESL Challenger League Season 46 North America,M80,Overpass,14 - 16,L
12,BOSS,08/12/23,ESL Challenger League Season 46 North America,M80,Anubis,11 - 13,L
13,BOSS,03/12/23,Fragicago 2023,Badass,Ancient,14 - 16,L
14,BOSS,03/12/23,Fragicago 2023,Badass,Nuke,13 - 6,W
15,BOSS,03/12/23,Fragicago 2023,Badass,Mirage,10 - 13,L
16,BOSS,23/11/23,ESL Challenger League Season 46 North America,Party Astronauts,Mirage,13 - 16,L
17,BOSS,23/11/23,ESL Challenger League Season 46 North America,Party Astronauts,Nuke,7 - 13,L
18,BOSS,21/11/23,ESL Challenger League Season 46 North America,Rocket,Anubis,13 - 1,W
19,BOSS,21/11/23,ESL Challenger League Season 46 North America,Rocket,Ancient,13 - 3,W
20,BOSS,18/11/23,ESL Challenger League Season 46 North America,Take Flyte,Ancient,13 - 10,W
21,BOSS,18/11/23,ESL Challenger League Season 46 North America,Take Flyte,Nuke,13 - 10,W
22,BOSS,18/11/23,ESL Challenger League Season 46 North America,Take Flyte,Anubis,10 - 13,L
23,BOSS,12/12/23,Mythic Cup Winter 2023,Party Astronauts,Mirage,13 - 7,W
24,BOSS,10/12/23,ESL Challenger League Season 46 North America,Party Astronauts,Vertigo,13 - 2,W
25,BOSS,07/12/23,ESL Challenger League Season 46 North America,Nouns,Ancient,16 - 13,W
26,BOSS,03/12/23,Fragicago 2023,Supernova,Anubis,13 - 10,W
27,BOSS,22/11/23,ESL Challenger League Season 46 North America,Evil Geniuses,Ancient,13 - 7,W
28,BOSS,20/11/23,ESL Challenger League Season 46 North America,M80,Ancient,9 - 13,L
29,BOSS,12/12/23,Mythic Cup Winter 2023,Party Astronauts,Mirage,13 - 7,W
30,BOSS,12/12/23,Mythic Cup Winter 2023,Party Astronauts,Nuke,16 - 13,W
31,BOSS,12/12/23,Mythic Cup Winter 2023,Party Astronauts,Ancient,6 - 13,L
32,BOSS,10/12/23,ESL Challenger League Season 46 North America,Party Astronauts,Vertigo,13 - 2,W
33,BOSS,10/12/23,ESL Challenger League Season 46 North America,Party Astronauts,Ancient,13 - 6,W
34,BOSS,10/12/23,ESL Challenger League Season 46 North America,Party Astronauts,Nuke,7 - 13,L
35,BOSS,07/12/23,ESL Challenger League Season 46 North America,Nouns,Ancient,16 - 13,W
36,BOSS,07/12/23,ESL Challenger League Season 46 North America,Nouns,Vertigo,13 - 6,W
37,BOSS,03/12/23,Fragicago 2023,Supernova,Anubis,13 - 10,W
38,BOSS,03/12/23,Fragicago 2023,Supernova,Vertigo,13 - 3,W
39,BOSS,22/11/23,ESL Challenger League Season 46 North America,Evil Geniuses,Ancient,13 - 7,W
40,BOSS,22/11/23,ESL Challenger League Season 46 North America,Evil Geniuses,Mirage,13 - 8,W
41,BOSS,22/11/23,ESL Challenger League Season 46 North America,Evil Geniuses,Nuke,11 - 13,L
42,BOSS,20/11/23,ESL Challenger League Season 46 North America,M80,Ancient,9 - 13,L
43,BOSS,20/11/23,ESL Challenger League Season 46 North America,M80,Vertigo,7 - 13,L
44,BOSS,20/11/23,ESL Challenger League Season 46 North America,M80,Anubis,13 - 7,W
