,team,data,match,opponent,map_map,result,w_l
0,Case,10/12/22,ESL Masters Spain Season 12 Finals,SAW,Nuke,12 - 16,L
1,Case,26/11/22,OMEN WGR Retake Season 5,GTZ,Inferno,16 - 13,W
2,Case,24/11/22,ESL Masters Spain Season 12,FTW,Overpass,16 - 12,W
3,Case,22/08/22,IEM Road to Rio 2022 South America Open Qualifier 2,9z,Mirage,7 - 16,L
4,Case,22/08/22,IEM Road to Rio 2022 South America Open Qualifier 2,SWS,Inferno,19 - 15,W
5,Case,26/05/22,REPUBLEAGUE Season 3 Closed Qualifier,Into the Breach,Ancient,20 - 22,L
6,Case,25/04/22,Pinnacle Cup IV,Savage,Mirage,11 - 16,L
7,Case,20/04/22,Esport Tour 2022 Series 1,Nexus,Mirage,9 - 16,L
8,Case,13/04/22,PGL Major Antwerp 2022 Americas RMR,Isurus,Overpass,16 - 9,W
9,Case,11/04/22,PGL Major Antwerp 2022 Americas RMR,Imperial,Dust2,6 - 16,L
10,Case,23/03/22,Aorus League 2022 Season 1 Regional Finals,Boca Juniors,Inferno,16 - 7,W
11,Case,17/03/22,Aorus League 2022 Season 1 Brazil,Sharks,Inferno,16 - 6,W
12,Case,15/03/22,Aorus League 2022 Season 1 Brazil,Black Dragons,Overpass,16 - 14,W
13,Case,05/03/22,PGL Major Antwerp 2022 Americas RMR SA Open Qualifier 1,00NATION,Mirage,16 - 13,W
14,Case,04/03/22,PGL Major Antwerp 2022 Americas RMR SA Open Qualifier 1,Cruzeiro,Inferno,16 - 14,W
15,Case,09/02/22,Malta Vibes Knockout Series 6,Finest,Overpass,12 - 16,L
16,Case,10/12/22,ESL Masters Spain Season 12 Finals,SAW,Nuke,12 - 16,L
17,Case,10/12/22,ESL Masters Spain Season 12 Finals,SAW,Overpass,16 - 7,W
18,Case,10/12/22,ESL Masters Spain Season 12 Finals,SAW,Ancient,11 - 16,L
19,Case,26/11/22,OMEN WGR Retake Season 5,GTZ,Inferno,16 - 13,W
20,Case,26/11/22,OMEN WGR Retake Season 5,GTZ,Vertigo,16 - 13,W
21,Case,26/11/22,OMEN WGR Retake Season 5,GTZ,Overpass,13 - 16,L
22,Case,24/11/22,ESL Masters Spain Season 12,FTW,Overpass,16 - 12,W
23,Case,24/11/22,ESL Masters Spain Season 12,FTW,Inferno,16 - 9,W
24,Case,24/11/22,ESL Masters Spain Season 12,FTW,Nuke,14 - 16,L
25,Case,22/08/22,IEM Road to Rio 2022 South America Open Qualifier 2,9z,Mirage,7 - 16,L
26,Case,22/08/22,IEM Road to Rio 2022 South America Open Qualifier 2,9z,Nuke,10 - 16,L
27,Case,22/08/22,IEM Road to Rio 2022 South America Open Qualifier 2,9z,Inferno,16 - 14,W
28,Case,22/08/22,IEM Road to Rio 2022 South America Open Qualifier 2,SWS,Inferno,19 - 15,W
29,Case,26/05/22,REPUBLEAGUE Season 3 Closed Qualifier,Into the Breach,Ancient,20 - 22,L
30,Case,26/05/22,REPUBLEAGUE Season 3 Closed Qualifier,Into the Breach,Inferno,4 - 16,L
31,Case,25/04/22,Pinnacle Cup IV,Savage,Mirage,11 - 16,L
32,Case,20/04/22,Esport Tour 2022 Series 1,Nexus,Mirage,9 - 16,L
33,Case,20/04/22,Esport Tour 2022 Series 1,Nexus,Inferno,13 - 16,L
34,Case,13/04/22,PGL Major Antwerp 2022 Americas RMR,Isurus,Overpass,16 - 9,W
35,Case,13/04/22,PGL Major Antwerp 2022 Americas RMR,Isurus,Mirage,16 - 8,W
36,Case,11/04/22,PGL Major Antwerp 2022 Americas RMR,Imperial,Dust2,6 - 16,L
37,Case,23/03/22,Aorus League 2022 Season 1 Regional Finals,Boca Juniors,Inferno,16 - 7,W
38,Case,23/03/22,Aorus League 2022 Season 1 Regional Finals,Boca Juniors,Vertigo,16 - 12,W
39,Case,17/03/22,Aorus League 2022 Season 1 Brazil,Sharks,Inferno,16 - 6,W
40,Case,17/03/22,Aorus League 2022 Season 1 Brazil,Sharks,Nuke,16 - 13,W
41,Case,15/03/22,Aorus League 2022 Season 1 Brazil,Black Dragons,Overpass,16 - 14,W
42,Case,05/03/22,PGL Major Antwerp 2022 Americas RMR SA Open Qualifier 1,00NATION,Mirage,16 - 13,W
43,Case,04/03/22,PGL Major Antwerp 2022 Americas RMR SA Open Qualifier 1,Cruzeiro,Inferno,16 - 14,W
44,Case,09/02/22,Malta Vibes Knockout Series 6,Finest,Overpass,12 - 16,L
45,Case,09/02/22,Malta Vibes Knockout Series 6,Finest,Ancient,16 - 14,W
46,Case,09/02/22,Malta Vibes Knockout Series 6,Finest,Inferno,8 - 16,L
47,Case,27/11/22,OMEN WGR Retake Season 5,FTW,Nuke,14 - 16,L
48,Case,26/11/22,OMEN WGR Retake Season 5,FTW,Vertigo,13 - 16,L
49,Case,26/08/22,IEM Road to Rio 2022 South America Open Qualifier 3,Sharks,Mirage,12 - 16,L
50,Case,22/08/22,IEM Road to Rio 2022 South America Open Qualifier 2,ODDIK,Overpass,16 - 14,W
51,Case,30/05/22,REPUBLEAGUE Season 3 Closed Qualifier,Budapest Five,Inferno,13 - 16,L
52,Case,19/05/22,ESL Challenger Valencia 2022 Europe Open Qualifier 1,Atlantic,Inferno,12 - 16,L
53,Case,21/04/22,Esport Tour 2022 Series 1,Illuminar,Inferno,5 - 16,L
54,Case,14/04/22,PGL Major Antwerp 2022 Americas RMR,paiN,Nuke,6 - 16,L
55,Case,12/04/22,PGL Major Antwerp 2022 Americas RMR,Party Astronauts,Inferno,6 - 16,L
56,Case,11/04/22,PGL Major Antwerp 2022 Americas RMR,Bad News Bears,Dust2,16 - 10,W
57,Case,18/03/22,Aorus League 2022 Season 1 Brazil,Isurus,Inferno,16 - 11,W
58,Case,16/03/22,Aorus League 2022 Season 1 Brazil,Isurus,Mirage,16 - 10,W
59,Case,05/03/22,PGL Major Antwerp 2022 Americas RMR SA Open Qualifier 1,Imperial,Inferno,16 - 7,W
60,Case,04/03/22,PGL Major Antwerp 2022 Americas RMR SA Open Qualifier 1,Sharks,Mirage,16 - 14,W
61,Case,02/03/22, FiReLEAGUE Latin Power Spring 2022 Open Qualifier 1,Stars Horizon,Ancient,11 - 16,L
62,Case,27/11/22,OMEN WGR Retake Season 5,FTW,Nuke,14 - 16,L
63,Case,27/11/22,OMEN WGR Retake Season 5,FTW,Inferno,13 - 16,L
64,Case,26/11/22,OMEN WGR Retake Season 5,FTW,Vertigo,13 - 16,L
65,Case,26/08/22,IEM Road to Rio 2022 South America Open Qualifier 3,Sharks,Mirage,12 - 16,L
66,Case,22/08/22,IEM Road to Rio 2022 South America Open Qualifier 2,ODDIK,Overpass,16 - 14,W
67,Case,30/05/22,REPUBLEAGUE Season 3 Closed Qualifier,Budapest Five,Inferno,13 - 16,L
68,Case,30/05/22,REPUBLEAGUE Season 3 Closed Qualifier,Budapest Five,Overpass,16 - 13,W
69,Case,30/05/22,REPUBLEAGUE Season 3 Closed Qualifier,Budapest Five,Mirage,12 - 16,L
70,Case,19/05/22,ESL Challenger Valencia 2022 Europe Open Qualifier 1,Atlantic,Inferno,12 - 16,L
71,Case,21/04/22,Esport Tour 2022 Series 1,Illuminar,Inferno,5 - 16,L
72,Case,21/04/22,Esport Tour 2022 Series 1,Illuminar,Vertigo,14 - 16,L
73,Case,14/04/22,PGL Major Antwerp 2022 Americas RMR,paiN,Nuke,6 - 16,L
74,Case,14/04/22,PGL Major Antwerp 2022 Americas RMR,paiN,Mirage,14 - 16,L
75,Case,12/04/22,PGL Major Antwerp 2022 Americas RMR,Party Astronauts,Inferno,6 - 16,L
76,Case,11/04/22,PGL Major Antwerp 2022 Americas RMR,Bad News Bears,Dust2,16 - 10,W
77,Case,18/03/22,Aorus League 2022 Season 1 Brazil,Isurus,Inferno,16 - 11,W
78,Case,18/03/22,Aorus League 2022 Season 1 Brazil,Isurus,Overpass,16 - 13,W
79,Case,16/03/22,Aorus League 2022 Season 1 Brazil,Isurus,Mirage,16 - 10,W
80,Case,05/03/22,PGL Major Antwerp 2022 Americas RMR SA Open Qualifier 1,Imperial,Inferno,16 - 7,W
81,Case,04/03/22,PGL Major Antwerp 2022 Americas RMR SA Open Qualifier 1,Sharks,Mirage,16 - 14,W
