,team,data,match,opponent,map_map,result,w_l
0,Cloud9,10/04/24,IEM Chengdu 2024,FaZe,Nuke,11 - 13,L
1,Cloud9,08/04/24,IEM Chengdu 2024,FlyQuest,Ancient,6 - 13,L
2,Cloud9,23/03/24,PGL CS2 Major Copenhagen 2024,Natus Vincere,Overpass,13 - 2,W
3,Cloud9,21/03/24,PGL CS2 Major Copenhagen 2024,ECSTATIC,Overpass,13 - 3,W
4,Cloud9,18/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,SAW,Anubis,13 - 9,W
5,Cloud9,17/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,ECSTATIC,Ancient,13 - 10,W
6,Cloud9,06/03/24,BLAST Premier Spring Showdown 2024,Rare Atom,Anubis,13 - 11,W
7,Cloud9,19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Apeks,Mirage,13 - 10,W
8,Cloud9,05/02/24,IEM Katowice 2024,Monte,Mirage,11 - 13,L
9,Cloud9,02/02/24,IEM Katowice 2024 Play-in,Virtus.pro,Ancient,13 - 4,W
10,Cloud9,31/01/24,IEM Katowice 2024 Play-in,Rebels,Mirage,10 - 13,L
11,Cloud9,25/01/24,BLAST Premier Spring Groups 2024,Virtus.pro,Inferno,9 - 13,L
12,Cloud9,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,BetBoom,Anubis,13 - 5,W
13,Cloud9,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,OG,Inferno,13 - 5,W
14,Cloud9,10/04/24,IEM Chengdu 2024,FaZe,Nuke,11 - 13,L
15,Cloud9,10/04/24,IEM Chengdu 2024,FaZe,Overpass,4 - 13,L
16,Cloud9,08/04/24,IEM Chengdu 2024,FlyQuest,Ancient,6 - 13,L
17,Cloud9,23/03/24,PGL CS2 Major Copenhagen 2024,Natus Vincere,Overpass,13 - 2,W
18,Cloud9,23/03/24,PGL CS2 Major Copenhagen 2024,Natus Vincere,Ancient,13 - 6,W
19,Cloud9,23/03/24,PGL CS2 Major Copenhagen 2024,Natus Vincere,Mirage,14 - 16,L
20,Cloud9,21/03/24,PGL CS2 Major Copenhagen 2024,ECSTATIC,Overpass,13 - 3,W
21,Cloud9,18/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,SAW,Anubis,13 - 9,W
22,Cloud9,18/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,SAW,Nuke,19 - 17,W
23,Cloud9,17/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,ECSTATIC,Ancient,13 - 10,W
24,Cloud9,06/03/24,BLAST Premier Spring Showdown 2024,Rare Atom,Anubis,13 - 11,W
25,Cloud9,06/03/24,BLAST Premier Spring Showdown 2024,Rare Atom,Mirage,13 - 5,W
26,Cloud9,19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Apeks,Mirage,13 - 10,W
27,Cloud9,05/02/24,IEM Katowice 2024,Monte,Mirage,11 - 13,L
28,Cloud9,05/02/24,IEM Katowice 2024,Monte,Overpass,11 - 13,L
29,Cloud9,02/02/24,IEM Katowice 2024 Play-in,Virtus.pro,Ancient,13 - 4,W
30,Cloud9,02/02/24,IEM Katowice 2024 Play-in,Virtus.pro,Anubis,6 - 13,L
31,Cloud9,02/02/24,IEM Katowice 2024 Play-in,Virtus.pro,Overpass,13 - 5,W
32,Cloud9,31/01/24,IEM Katowice 2024 Play-in,Rebels,Mirage,10 - 13,L
33,Cloud9,25/01/24,BLAST Premier Spring Groups 2024,Virtus.pro,Inferno,9 - 13,L
34,Cloud9,25/01/24,BLAST Premier Spring Groups 2024,Virtus.pro,Anubis,13 - 10,W
35,Cloud9,25/01/24,BLAST Premier Spring Groups 2024,Virtus.pro,Overpass,4 - 13,L
36,Cloud9,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,BetBoom,Anubis,13 - 5,W
37,Cloud9,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,BetBoom,Nuke,13 - 3,W
38,Cloud9,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,OG,Inferno,13 - 5,W
39,Cloud9,09/04/24,IEM Chengdu 2024,Wildcard,Overpass,13 - 5,W
40,Cloud9,28/03/24,PGL CS2 Major Copenhagen 2024,Vitality,Anubis,2 - 13,L
41,Cloud9,22/03/24,PGL CS2 Major Copenhagen 2024,G2,Anubis,13 - 9,W
42,Cloud9,21/03/24,PGL CS2 Major Copenhagen 2024,Spirit,Ancient,7 - 13,L
43,Cloud9,17/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,Legacy,Overpass,13 - 10,W
