,team,data,match,opponent,map_map,result,w_l
0,Complexity,18/10/21,IEM Winter 2021 Europe Closed Qualifier,ENCE,Mirage,5 - 16,L
1,Complexity,15/10/21,BLAST Premier Fall Showdown 2021,OG,Dust2,12 - 16,L
2,Complexity,03/10/21,IEM Fall 2021 Europe,HEROIC,Vertigo,5 - 16,L
3,Complexity,01/10/21,IEM Fall 2021 Europe,Movistar Riders,Nuke,14 - 16,L
4,Complexity,29/09/21,IEM Fall 2021 Europe,SINNERS,Nuke,13 - 16,L
5,Complexity,25/09/21,BLAST Premier Fall Groups 2021,Natus Vincere,Nuke,9 - 16,L
6,Complexity,07/09/21,ESL Pro League Season 14,Vitality,Mirage,12 - 16,L
7,Complexity,25/08/21,ESL Pro League Season 14,Virtus.pro,Overpass,16 - 14,W
8,Complexity,22/08/21,ESL Pro League Season 14,SINNERS,Nuke,16 - 14,W
9,Complexity,09/07/21,IEM Cologne 2021,Virtus.pro,Overpass,13 - 16,L
10,Complexity,07/07/21,IEM Cologne 2021 Play-in,LDLC,Mirage,16 - 6,W
11,Complexity,06/07/21,IEM Cologne 2021 Play-in,ViCi,Mirage,16 - 10,W
12,Complexity,30/06/21,Spring Sweet Spring 3,1WIN,Overpass,16 - 13,W
13,Complexity,18/06/21,BLAST Premier Spring Final 2021,G2,Mirage,11 - 16,L
14,Complexity,15/06/21,BLAST Premier Spring Final 2021,Ninjas in Pyjamas,Ancient,16 - 9,W
15,Complexity,04/06/21,IEM Summer 2021,FunPlus Phoenix,Nuke,16 - 10,W
16,Complexity,03/06/21,IEM Summer 2021,Vitality,Vertigo,8 - 16,L
17,Complexity,26/05/21,Flashpoint 3,Anonymo,Nuke,16 - 8,W
18,Complexity,21/05/21,Flashpoint 3,HEROIC,Nuke,8 - 16,L
19,Complexity,11/05/21,Flashpoint 3,BIG,Dust2,8 - 16,L
20,Complexity,30/04/21,Flashpoint 3 Closed Qualifier,MOUZ,Overpass,8 - 16,L
21,Complexity,29/04/21,DreamHack Masters Spring 2021,Vitality,Nuke,16 - 10,W
22,Complexity,28/04/21,Flashpoint 3 Closed Qualifier,Anonymo,Nuke,16 - 11,W
23,Complexity,27/04/21,Flashpoint 3 Closed Qualifier,GameAgents,Vertigo,16 - 10,W
24,Complexity,21/04/21,Funspark ULTI 2020 Europe Final,FORZE,Dust2,14 - 16,L
25,Complexity,09/04/21,ESL Pro League Season 13,Ninjas in Pyjamas,Inferno,9 - 16,L
26,Complexity,03/04/21,ESL Pro League Season 13,Natus Vincere,Mirage,16 - 11,W
27,Complexity,11/03/21,ESL Pro League Season 13,Renegades,Mirage,16 - 11,W
28,Complexity,09/03/21,ESL Pro League Season 13,OG,Mirage,16 - 10,W
29,Complexity,06/03/21,DreamHack Masters Spring 2021 Europe Closed Qualifier,OG,Mirage,16 - 5,W
30,Complexity,17/02/21,IEM Katowice 2021 Play-in,MOUZ,Nuke,3 - 16,L
31,Complexity,16/02/21,IEM Katowice 2021 Play-in,Ninjas in Pyjamas,Nuke,7 - 16,L
32,Complexity,09/02/21,BLAST Premier Spring Groups 2021,G2,Dust2,16 - 12,W
33,Complexity,27/01/21,cs_summit 7,Dignitas,Train,16 - 19,L
34,Complexity,21/01/21,BLAST Premier Global Final 2020,Natus Vincere,Inferno,11 - 16,L
35,Complexity,18/10/21,IEM Winter 2021 Europe Closed Qualifier,ENCE,Mirage,5 - 16,L
36,Complexity,18/10/21,IEM Winter 2021 Europe Closed Qualifier,ENCE,Overpass,11 - 16,L
37,Complexity,15/10/21,BLAST Premier Fall Showdown 2021,OG,Dust2,12 - 16,L
38,Complexity,15/10/21,BLAST Premier Fall Showdown 2021,OG,Mirage,0 - 16,L
