,team,data,match,opponent,map_map,result,w_l
0,Corinthians,04/04/24,ESL Challenger League Season 47 South America,Fluxo,Ancient,8 - 13,L
1,Corinthians,28/03/24,ESL Challenger League Season 47 South America,2GAME,Anubis,2 - 13,L
2,Corinthians,13/03/24,EPL World Series Americas Season 7,MIBR Academy,Ancient,11 - 13,L
3,Corinthians,09/03/24,RES Regional Series 2 LATAM,Fluxo,Ancient,13 - 16,L
4,Corinthians,25/02/24,ESL Challenger League Season 47 South America,W7M,Mirage,7 - 13,L
5,Corinthians,23/02/24,ESL Challenger League Season 47 South America,Galorys,Mirage,13 - 6,W
6,Corinthians,22/02/24,ESL Challenger League Season 47 South America,Sharks,Anubis,8 - 13,L
7,Corinthians,15/02/24,ESL Challenger League Season 47 South America,adalYamigos,Nuke,11 - 13,L
8,Corinthians,14/02/24,EPL World Series Americas Season 6,Solid,Ancient,6 - 13,L
9,Corinthians,12/02/24,EPL World Series Americas Season 6,W7M,Mirage,7 - 13,L
10,Corinthians,04/04/24,ESL Challenger League Season 47 South America,Fluxo,Ancient,8 - 13,L
11,Corinthians,28/03/24,ESL Challenger League Season 47 South America,2GAME,Anubis,2 - 13,L
12,Corinthians,13/03/24,EPL World Series Americas Season 7,MIBR Academy,Ancient,11 - 13,L
13,Corinthians,13/03/24,EPL World Series Americas Season 7,MIBR Academy,Anubis,10 - 13,L
14,Corinthians,13/03/24,EPL World Series Americas Season 7,MIBR Academy,Nuke,13 - 5,W
15,Corinthians,09/03/24,RES Regional Series 2 LATAM,Fluxo,Ancient,13 - 16,L
16,Corinthians,09/03/24,RES Regional Series 2 LATAM,Fluxo,Mirage,9 - 13,L
17,Corinthians,25/02/24,ESL Challenger League Season 47 South America,W7M,Mirage,7 - 13,L
18,Corinthians,23/02/24,ESL Challenger League Season 47 South America,Galorys,Mirage,13 - 6,W
19,Corinthians,22/02/24,ESL Challenger League Season 47 South America,Sharks,Anubis,8 - 13,L
20,Corinthians,15/02/24,ESL Challenger League Season 47 South America,adalYamigos,Nuke,11 - 13,L
21,Corinthians,14/02/24,EPL World Series Americas Season 6,Solid,Ancient,6 - 13,L
22,Corinthians,14/02/24,EPL World Series Americas Season 6,Solid,Anubis,9 - 13,L
23,Corinthians,14/02/24,EPL World Series Americas Season 6,Solid,Inferno,13 - 5,W
24,Corinthians,12/02/24,EPL World Series Americas Season 6,W7M,Mirage,7 - 13,L
25,Corinthians,12/02/24,EPL World Series Americas Season 6,W7M,Anubis,13 - 11,W
26,Corinthians,12/02/24,EPL World Series Americas Season 6,W7M,Nuke,8 - 13,L
27,Corinthians,04/04/24,ESL Challenger League Season 47 South America,Fluxo,Mirage,8 - 13,L
28,Corinthians,27/03/24,ESL Challenger League Season 47 South America,2GAME,Ancient,13 - 5,W
29,Corinthians,11/03/24,EPL World Series Americas Season 7,RED Canids,Ancient,6 - 13,L
30,Corinthians,07/03/24,RES Regional Series 2 LATAM,Sharks,Vertigo,7 - 13,L
31,Corinthians,24/02/24,ESL Challenger League Season 47 South America,W7M,Anubis,1 - 13,L
32,Corinthians,23/02/24,ESL Challenger League Season 47 South America,Galorys,Anubis,12 - 16,L
33,Corinthians,17/02/24,RES Regional Series 1 LATAM,Galorys,Mirage,2 - 13,L
34,Corinthians,14/02/24,ESL Challenger League Season 47 South America,adalYamigos,Anubis,9 - 13,L
35,Corinthians,13/02/24,RES Regional Series 1 LATAM,W7M,Ancient,6 - 13,L
36,Corinthians,04/04/24,ESL Challenger League Season 47 South America,Fluxo,Mirage,8 - 13,L
37,Corinthians,27/03/24,ESL Challenger League Season 47 South America,2GAME,Ancient,13 - 5,W
38,Corinthians,11/03/24,EPL World Series Americas Season 7,RED Canids,Ancient,6 - 13,L
39,Corinthians,11/03/24,EPL World Series Americas Season 7,RED Canids,Nuke,11 - 13,L
40,Corinthians,07/03/24,RES Regional Series 2 LATAM,Sharks,Vertigo,7 - 13,L
41,Corinthians,07/03/24,RES Regional Series 2 LATAM,Sharks,Ancient,12 - 16,L
42,Corinthians,07/03/24,RES Regional Series 2 LATAM,Sharks,Mirage,13 - 4,W
43,Corinthians,24/02/24,ESL Challenger League Season 47 South America,W7M,Anubis,1 - 13,L
44,Corinthians,23/02/24,ESL Challenger League Season 47 South America,Galorys,Anubis,12 - 16,L
45,Corinthians,17/02/24,RES Regional Series 1 LATAM,Galorys,Mirage,2 - 13,L
46,Corinthians,17/02/24,RES Regional Series 1 LATAM,Galorys,Vertigo,12 - 16,L
47,Corinthians,14/02/24,ESL Challenger League Season 47 South America,adalYamigos,Anubis,9 - 13,L
48,Corinthians,13/02/24,RES Regional Series 1 LATAM,W7M,Ancient,6 - 13,L
49,Corinthians,13/02/24,RES Regional Series 1 LATAM,W7M,Nuke,1 - 13,L
