,team,data,match,opponent,map_map,result,w_l
0,ECLOT,17/12/22,CCT Central Europe Series 4,Copenhagen Flames,Vertigo,9 - 16,L
1,ECLOT,12/12/22,Thunderpick Bitcoin Series 2,ex-Into the Breach,Overpass,11 - 16,L
2,ECLOT,08/12/22,CCT Central Europe Series 4,HONORIS,Inferno,14 - 16,L
3,ECLOT,07/12/22,ESEA Advanced Season 43 Europe,Into the Breach,Inferno,17 - 19,L
4,ECLOT,06/12/22,CCT Central Europe Series 4,Apeks,Vertigo,16 - 10,W
5,ECLOT,04/12/22,CCT North Europe Series 2,Sprout,Mirage,19 - 16,W
6,ECLOT,03/12/22,Thunderpick Bitcoin Series 2,ALTERNATE aTTaX,Ancient,16 - 2,W
7,ECLOT,02/12/22,CCT North Europe Series 2,Illuminar,Vertigo,16 - 9,W
8,ECLOT,30/11/22,CCT North Europe Series 2,ECSTATIC,Vertigo,16 - 12,W
9,ECLOT,28/11/22,CCT North Europe Series 2,AGO,Mirage,10 - 16,L
10,ECLOT,24/11/22,CCT North Europe Series 2,Falcons,Overpass,16 - 9,W
11,ECLOT,22/11/22,Sazka eCUP Fall 2022,eSuba,Mirage,16 - 9,W
12,ECLOT,08/11/22,European Development Championship 6,Copenhagen Flames,Overpass,22 - 20,W
13,ECLOT,06/11/22,Tipsport Czech Championship 2022,Enterprise,Ancient,16 - 13,W
14,ECLOT,28/10/22,CCT Central Europe Series 3,HONORIS,Overpass,13 - 16,L
15,ECLOT,24/10/22,CCT Central Europe Series 3,FTW,Ancient,19 - 17,W
16,ECLOT,23/10/22,CCT Central Europe Series 3,Tricked,Ancient,7 - 16,L
17,ECLOT,16/10/22,Slovak National Championship 2022,eSuba,Ancient,16 - 2,W
18,ECLOT,13/10/22,ESL Challenger League Season 42 Europe Relegation,UNGENTIUM,Mirage,11 - 16,L
19,ECLOT,12/10/22,Slovak National Championship 2022,GLORE,Mirage,16 - 13,W
20,ECLOT,12/10/22,Elisa Invitational Fall 2022,SAW,Inferno,14 - 16,L
21,ECLOT,02/10/22,ESEA Advanced Season 42 Europe,Iron Branch,Dust2,11 - 16,L
22,ECLOT,30/09/22,ESEA Advanced Season 42 Europe,Sangal,Inferno,13 - 16,L
23,ECLOT,26/09/22,ESEA Advanced Season 42 Europe,fnatic Rising,Ancient,16 - 13,W
24,ECLOT,20/09/22,ESEA Advanced Season 42 Europe,X,Inferno,16 - 6,W
25,ECLOT,18/09/22,Tipsport Prague Cup 2022 Finals,Bad News Eagles,Ancient,10 - 16,L
26,ECLOT,15/09/22,CCT Central Europe Series 2 Closed Qualifier,HONORIS,Ancient,11 - 16,L
27,ECLOT,13/09/22,CCT Central Europe Series 2 Closed Qualifier,9INE,Overpass,16 - 10,W
28,ECLOT,08/09/22,SteelSeries Nova Cup Western Europe Fall 2022,SC,Vertigo,14 - 16,L
29,ECLOT,08/09/22,Elisa Invitational Fall 2022 Contenders,PROSPECTS,Mirage,16 - 14,W
30,ECLOT,05/09/22,SteelSeries Nova Cup Western Europe Fall 2022,TITANS,Inferno,16 - 6,W
31,ECLOT,05/09/22,Tipsport Prague Cup 2022,TITANS,Dust2,16 - 7,W
32,ECLOT,04/09/22,Tipsport Prague Cup 2022,Cryptova,Inferno,16 - 10,W
33,ECLOT,03/09/22, CCT Central Europe Series 1,Falcons,Dust2,7 - 16,L
34,ECLOT,30/08/22,Elisa Invitational Fall 2022 Contenders,Hotspurs,Dust2,11 - 16,L
35,ECLOT,25/08/22, CCT Central Europe Series 1,Illuminar,Mirage,16 - 4,W
36,ECLOT,23/08/22, CCT Central Europe Series 1,SC,Ancient,16 - 5,W
37,ECLOT,17/07/22,ESL Challenger League Season 41 Europe Relegation,Bad News Eagles,Dust2,10 - 16,L
38,ECLOT,15/07/22,ESEA Advanced Season 41 Europe,Apeks,Inferno,16 - 12,W
39,ECLOT,08/07/22,Y-Games Pro Series 2022,BIG Academy,Vertigo,11 - 16,L
40,ECLOT,04/07/22,ESEA Advanced Season 41 Europe,UNGENTIUM,Mirage,7 - 16,L
41,ECLOT,27/06/22,Y-Games Pro Series 2022,eSuba,Vertigo,16 - 13,W
42,ECLOT,22/06/22,Y-Games Pro Series 2022,Budapest Five,Mirage,16 - 1,W
43,ECLOT,20/06/22,ESEA Advanced Season 41 Europe,UNGENTIUM,Mirage,16 - 7,W
44,ECLOT,12/06/22,Tipsport Cup 2022,Sampi,Inferno,16 - 5,W
45,ECLOT,05/06/22,ASUS ROG Masters EMEA 2022,los kogutos,Mirage,7 - 16,L
46,ECLOT,04/06/22,ASUS ROG Masters EMEA 2022,UNGENTIUM,Ancient,16 - 11,W
47,ECLOT,02/05/22,Pinnacle Cup IV,Bad News Bears,Overpass,16 - 7,W
48,ECLOT,28/04/22,Pinnacle Cup IV,K23,Mirage,8 - 16,L
49,ECLOT,25/04/22,Pinnacle Cup IV,Falcons,Inferno,16 - 12,W
50,ECLOT,30/03/22,Tipsport Bratislava Cup 2022,Entropiq Prague,Mirage,16 - 4,W
51,ECLOT,29/03/22,ESEA Advanced Season 40 Europe,FAMBIT,Ancient,13 - 16,L
52,ECLOT,24/03/22,ESEA Advanced Season 40 Europe,4glory,Ancient,16 - 8,W
53,ECLOT,11/03/22,Pinnacle Winter Series 3,GamerLegion,Inferno,8 - 16,L
54,ECLOT,09/03/22,Pinnacle Winter Series 3,Wisla Krakow,Mirage,16 - 19,L
55,ECLOT,07/03/22,Pinnacle Winter Series 3,Endpoint,Vertigo,8 - 16,L
56,ECLOT,02/03/22,Pinnacle Winter Series 3 Regionals,Ambush,Dust2,16 - 12,W
57,ECLOT,28/02/22,Pinnacle Winter Series 3 Regionals,Nexus,Inferno,16 - 4,W
58,ECLOT,07/02/22,REPUBLEAGUE Season 3 V4 Open Qualifier 1,Sampi,Vertigo,13 - 16,L
59,ECLOT,17/12/22,CCT Central Europe Series 4,Copenhagen Flames,Vertigo,9 - 16,L
60,ECLOT,17/12/22,CCT Central Europe Series 4,Copenhagen Flames,Inferno,13 - 16,L
61,ECLOT,12/12/22,Thunderpick Bitcoin Series 2,ex-Into the Breach,Overpass,11 - 16,L
62,ECLOT,12/12/22,Thunderpick Bitcoin Series 2,ex-Into the Breach,Inferno,11 - 16,L
63,ECLOT,08/12/22,CCT Central Europe Series 4,HONORIS,Inferno,14 - 16,L
64,ECLOT,08/12/22,CCT Central Europe Series 4,HONORIS,Ancient,9 - 16,L
65,ECLOT,08/12/22,CCT Central Europe Series 4,HONORIS,Vertigo,16 - 10,W
66,ECLOT,07/12/22,ESEA Advanced Season 43 Europe,Into the Breach,Inferno,17 - 19,L
67,ECLOT,07/12/22,ESEA Advanced Season 43 Europe,Into the Breach,Overpass,3 - 16,L
68,ECLOT,06/12/22,CCT Central Europe Series 4,Apeks,Vertigo,16 - 10,W
69,ECLOT,06/12/22,CCT Central Europe Series 4,Apeks,Mirage,5 - 16,L
70,ECLOT,06/12/22,CCT Central Europe Series 4,Apeks,Inferno,16 - 9,W
