,team,data,match,opponent,map_map,result,w_l
0,ECSTATIC,15/12/22,CCT Central Europe Series 4,Astralis,Ancient,9 - 16,L
1,ECSTATIC,07/12/22,CCT Central Europe Series 4,eSuba,Vertigo,22 - 20,W
2,ECSTATIC,05/12/22,CCT Central Europe Series 4,Into the Breach,Ancient,9 - 16,L
3,ECSTATIC,03/12/22,Energive Cup 2022,Prosapia,Vertigo,19 - 16,W
4,ECSTATIC,30/11/22,CCT North Europe Series 2,ECLOT,Vertigo,12 - 16,L
5,ECSTATIC,26/11/22,CCT North Europe Series 2,eSuba,Vertigo,16 - 19,L
6,ECSTATIC,02/11/22,ESL Challenger League Season 43 Europe,Entropiq,Ancient,3 - 16,L
7,ECSTATIC,27/10/22,Epic GOCL Season 1,Nemiga,Nuke,12 - 16,L
8,ECSTATIC,20/10/22,BLAST Premier Fall Showdown 2022 Europe,HEROIC,Inferno,9 - 16,L
9,ECSTATIC,18/10/22,CCT North Europe Series 1,9INE,Ancient,16 - 13,W
10,ECSTATIC,13/10/22,CCT North Europe Series 1,Sangal,Ancient,7 - 16,L
11,ECSTATIC,11/10/22,Elisa Invitational Fall 2022,EYEBALLERS,Vertigo,14 - 16,L
12,ECSTATIC,05/10/22,IEM Road to Rio 2022 Europe RMR A,B8,Nuke,16 - 19,L
13,ECSTATIC,29/09/22,Elisa Invitational Fall 2022,SAW,Vertigo,6 - 16,L
14,ECSTATIC,25/09/22,Pelaajat Nordic Masters Fall 2022 - BLAST Premier Qualifier,ENCE,Overpass,16 - 12,W
15,ECSTATIC,23/09/22,Pelaajat Nordic Masters Fall 2022 - BLAST Premier Qualifier,DUSTY,Dust2,16 - 13,W
16,ECSTATIC,14/09/22,ESL Challenger League Season 42 Europe,Falcons,Dust2,10 - 16,L
17,ECSTATIC,13/09/22,ESL Challenger League Season 42 Europe,UNGENTIUM,Vertigo,16 - 14,W
18,ECSTATIC,10/09/22,ESL Challenger Rotterdam 2022 Europe Open Qualifier 2,B8,Inferno,19 - 17,W
19,ECSTATIC,24/08/22,IEM Road to Rio 2022 Europe Open Qualifier 3,HEET,Dust2,16 - 11,W
20,ECSTATIC,23/08/22,IEM Road to Rio 2022 Europe Open Qualifier 3,Eternal Fire,Nuke,3 - 16,L
21,ECSTATIC,23/08/22,IEM Road to Rio 2022 Europe Open Qualifier 3,OneTap,Overpass,16 - 9,W
22,ECSTATIC,17/08/22,IEM Road to Rio 2022 Europe Open Qualifier 1,Portuguese Family,Ancient,9 - 16,L
23,ECSTATIC,16/08/22,IEM Road to Rio 2022 Europe Open Qualifier 1,Sampi,Overpass,16 - 11,W
24,ECSTATIC,29/06/22,REPUBLEAGUE Season 3,Bad News Eagles,Dust2,13 - 16,L
25,ECSTATIC,28/06/22,Elisa Invitational Spring 2022,SINNERS,Vertigo,14 - 16,L
26,ECSTATIC,10/06/22,REPUBLEAGUE Season 3,Entropiq,Ancient,22 - 20,W
27,ECSTATIC,07/06/22,REPUBLEAGUE Season 3,1WIN,Ancient,16 - 13,W
28,ECSTATIC,28/05/22,REPUBLEAGUE Season 3 Closed Qualifier,Hellslayers,Overpass,16 - 11,W
29,ECSTATIC,26/05/22,Pinnacle Cup IV,Bad News Eagles,Ancient,16 - 12,W
30,ECSTATIC,24/05/22,REPUBLEAGUE Season 3 Closed Qualifier,Enterprise,Dust2,16 - 14,W
31,ECSTATIC,11/05/22, ESL Challenger League Season 41 Europe,SINNERS,Overpass,7 - 16,L
32,ECSTATIC,06/05/22,Pinnacle Cup IV,MASONIC,Ancient,16 - 10,W
33,ECSTATIC,04/05/22,Pinnacle Cup IV,ECLOT,Inferno,16 - 6,W
