,team,data,match,opponent,map_map,result,w_l
0,ENCE,03/12/21,IEM Winter 2021,fnatic,Nuke,13 - 16,L
1,ENCE,12/11/21,DreamHack Open November 2021,FORZE,Mirage,10 - 16,L
2,ENCE,10/11/21,DreamHack Open November 2021,FORZE,Nuke,16 - 10,W
3,ENCE,30/10/21,PGL Major Stockholm 2021,Liquid,Dust2,8 - 16,L
4,ENCE,28/10/21,PGL Major Stockholm 2021 Challengers Stage,BIG,Nuke,16 - 10,W
5,ENCE,26/10/21,PGL Major Stockholm 2021 Challengers Stage,FaZe,Dust2,12 - 16,L
6,ENCE,19/10/21,IEM Winter 2021 Europe Closed Qualifier,FunPlus Phoenix,Dust2,19 - 16,W
7,ENCE,18/10/21,IEM Winter 2021 Europe Closed Qualifier,Complexity,Mirage,16 - 5,W
8,ENCE,14/10/21,Elisa Invitational Fall 2021,Lyngby Vikings,Ancient,1 - 16,L
9,ENCE,09/10/21,IEM Fall 2021 Europe,Astralis,Ancient,16 - 7,W
10,ENCE,03/10/21,IEM Fall 2021 Europe,Sprout,Ancient,16 - 10,W
11,ENCE,01/10/21,IEM Fall 2021 Europe,MAD Lions,Mirage,16 - 11,W
12,ENCE,29/09/21,IEM Fall 2021 Europe,Dignitas,Overpass,16 - 14,W
13,ENCE,10/09/21,ESL Pro League Season 14,Natus Vincere,Nuke,5 - 16,L
14,ENCE,03/09/21,Nordic Masters Fall 2021 - BLAST Premier Qualifier,HAVU,Nuke,8 - 16,L
15,ENCE,26/08/21,Malta Vibes Knockout Series 1,Entropiq,Vertigo,8 - 16,L
16,ENCE,24/08/21,Malta Vibes Knockout Series 1,Apeks,Nuke,16 - 8,W
17,ENCE,22/08/21,Malta Vibes Knockout Series 1,Spirit Academy,Nuke,16 - 13,W
18,ENCE,19/08/21,ESL Pro League Season 14,HEROIC,Nuke,14 - 16,L
19,ENCE,17/08/21,ESL Pro League Season 14,Astralis,Nuke,16 - 11,W
20,ENCE,14/07/21,Pinnacle Cup II,HAVU,Overpass,13 - 16,L
21,ENCE,08/07/21,Pinnacle Cup II,SINNERS,Mirage,13 - 16,L
22,ENCE,03/07/21,Elisa Invitational Summer 2021,Endpoint,Vertigo,12 - 16,L
23,ENCE,26/06/21,Gamers Without Borders 2021,FURIA,Vertigo,11 - 16,L
24,ENCE,22/06/21,Gamers Without Borders 2021,MOUZ,Overpass,16 - 12,W
25,ENCE,20/06/21,Funspark ULTI 2021 Europe Playoffs 1,HYENAS,Vertigo,19 - 15,W
26,ENCE,17/06/21,Funspark ULTI 2021 Europe Playoffs 1,HYENAS,Mirage,16 - 14,W
27,ENCE,13/06/21,Elisa Invitational Summer 2021,Sangal,Nuke,16 - 13,W
28,ENCE,03/06/21,Elisa Invitational Summer 2021,AGF,Nuke,16 - 4,W
29,ENCE,29/05/21,Funspark ULTI 2021 Europe Regional Series 2,Fiend,Vertigo,16 - 8,W
30,ENCE,13/05/21,LOOT.BET Season 9,Dignitas,Train,16 - 11,W
31,ENCE,04/05/21,Spring Sweet Spring 1,EPG Family,Overpass,4 - 16,L
32,ENCE,02/05/21,European Development Championship 3,Endpoint,Train,16 - 5,W
33,ENCE,27/04/21,Flashpoint 3 Closed Qualifier,DBL PONEY,Nuke,14 - 16,L
34,ENCE,26/04/21,IEM Summer 2021 Closed Qualifier,Movistar Riders,Train,8 - 16,L
35,ENCE,18/04/21,Elisa Invitational Spring 2021,Nordavind,Inferno,9 - 16,L
36,ENCE,16/04/21,Elisa Invitational Spring 2021,Tricked,Train,16 - 6,W
37,ENCE,14/04/21,European Development Championship 3,SKADE,Overpass,12 - 16,L
38,ENCE,03/04/21,ESL Pro League Season 13,Virtus.pro,Dust2,17 - 19,L
39,ENCE,27/03/21,Nordic Masters Spring 2021 - BLAST Premier Qualifier,MAD Lions,Train,22 - 19,W
40,ENCE,27/03/21,Nordic Masters Spring 2021 - BLAST Premier Qualifier,MAD Lions,Train,7 - 16,L
41,ENCE,17/03/21,ESL Pro League Season 13,Vitality,Dust2,16 - 9,W
42,ENCE,14/03/21,ESL Pro League Season 13,Ninjas in Pyjamas,Inferno,7 - 16,L
43,ENCE,12/03/21,Pelaajat Series Spring Showoff 2021,HAVU,Inferno,19 - 17,W
44,ENCE,08/02/21,Snow Sweet Snow 1,Sprout,Train,16 - 9,W
45,ENCE,02/02/21,Snow Sweet Snow 1,Lyngby Vikings,Nuke,16 - 12,W
46,ENCE,03/12/21,IEM Winter 2021,fnatic,Nuke,13 - 16,L
47,ENCE,03/12/21,IEM Winter 2021,fnatic,Overpass,11 - 16,L
48,ENCE,12/11/21,DreamHack Open November 2021,FORZE,Mirage,10 - 16,L
49,ENCE,12/11/21,DreamHack Open November 2021,FORZE,Nuke,8 - 16,L
50,ENCE,12/11/21,DreamHack Open November 2021,FORZE,Ancient,16 - 7,W
51,ENCE,10/11/21,DreamHack Open November 2021,FORZE,Nuke,16 - 10,W
52,ENCE,10/11/21,DreamHack Open November 2021,FORZE,Ancient,16 - 13,W
53,ENCE,30/10/21,PGL Major Stockholm 2021,Liquid,Dust2,8 - 16,L
54,ENCE,28/10/21,PGL Major Stockholm 2021 Challengers Stage,BIG,Nuke,16 - 10,W
55,ENCE,28/10/21,PGL Major Stockholm 2021 Challengers Stage,BIG,Mirage,16 - 8,W
56,ENCE,28/10/21,PGL Major Stockholm 2021 Challengers Stage,BIG,Dust2,10 - 16,L
57,ENCE,26/10/21,PGL Major Stockholm 2021 Challengers Stage,FaZe,Dust2,12 - 16,L
58,ENCE,19/10/21,IEM Winter 2021 Europe Closed Qualifier,FunPlus Phoenix,Dust2,19 - 16,W
59,ENCE,19/10/21,IEM Winter 2021 Europe Closed Qualifier,FunPlus Phoenix,Vertigo,16 - 12,W
60,ENCE,18/10/21,IEM Winter 2021 Europe Closed Qualifier,Complexity,Mirage,16 - 5,W
61,ENCE,18/10/21,IEM Winter 2021 Europe Closed Qualifier,Complexity,Overpass,16 - 11,W
62,ENCE,14/10/21,Elisa Invitational Fall 2021,Lyngby Vikings,Ancient,1 - 16,L
63,ENCE,14/10/21,Elisa Invitational Fall 2021,Lyngby Vikings,Dust2,16 - 14,W
64,ENCE,14/10/21,Elisa Invitational Fall 2021,Lyngby Vikings,Vertigo,11 - 16,L
65,ENCE,09/10/21,IEM Fall 2021 Europe,Astralis,Ancient,16 - 7,W
66,ENCE,09/10/21,IEM Fall 2021 Europe,Astralis,Nuke,16 - 4,W
67,ENCE,03/10/21,IEM Fall 2021 Europe,Sprout,Ancient,16 - 10,W
68,ENCE,01/10/21,IEM Fall 2021 Europe,MAD Lions,Mirage,16 - 11,W
69,ENCE,29/09/21,IEM Fall 2021 Europe,Dignitas,Overpass,16 - 14,W
