,team,data,match,opponent,map_map,result,w_l
0,Endpoint,02/12/21,Exeedme Revolution 2021,Tricked,Inferno,14 - 16,L
1,Endpoint,01/12/21,ESL Challenger Anaheim 2022 Europe Open Qualifier 2,D13,Inferno,16 - 6,W
2,Endpoint,24/11/21,ESL Pro League Season 15 Conference,GODSENT,Ancient,13 - 16,L
3,Endpoint,16/10/21,ESEA Premier Season 38 Europe Relegation,Copenhagen Flames,Vertigo,14 - 16,L
4,Endpoint,13/10/21,Pinnacle Fall Series 2,INDE IRAE,Ancient,7 - 16,L
5,Endpoint,11/10/21,Pinnacle Fall Series 2,Unique,Ancient,8 - 16,L
6,Endpoint,09/10/21,ESL Premiership Autumn 2021,Coalesce,Ancient,16 - 10,W
7,Endpoint,02/10/21,IEM Fall 2021 Europe,HEROIC,Ancient,12 - 16,L
8,Endpoint,30/09/21,IEM Fall 2021 Europe,Complexity,Mirage,7 - 16,L
9,Endpoint,26/09/21,ESEA Premier Season 38 Europe,Movistar Riders,Vertigo,16 - 10,W
10,Endpoint,22/09/21,ESEA Premier Season 38 Europe,LDLC,Inferno,5 - 16,L
11,Endpoint,19/09/21,Malta Vibes Knockout Series 2,Lyngby Vikings,Inferno,10 - 16,L
12,Endpoint,07/09/21,ESEA Premier Season 38 Europe,Anonymo,Mirage,16 - 11,W
13,Endpoint,05/09/21,IEM Fall 2021 Europe Open Qualifier 3,AVEZ,Inferno,16 - 7,W
14,Endpoint,04/09/21,IEM Fall 2021 Europe Open Qualifier 3,AGF,Overpass,16 - 7,W
15,Endpoint,31/08/21,Pinnacle Fall Series 1,Copenhagen Flames,Inferno,16 - 9,W
16,Endpoint,28/08/21,Gjirafa50 Masters League Season 2,AIRLYA,Inferno,16 - 7,W
17,Endpoint,24/08/21,ESEA Premier Season 38 Europe,AGO,Ancient,11 - 16,L
18,Endpoint,17/08/21,ESEA Premier Season 38 Europe,SKADE,Inferno,19 - 17,W
19,Endpoint,16/07/21,Pinnacle Cup II,SINNERS,Ancient,16 - 9,W
20,Endpoint,08/07/21,Pinnacle Cup II,SKADE,Overpass,16 - 7,W
21,Endpoint,04/07/21,Elisa Invitational Summer 2021,FURIA,Mirage,10 - 16,L
22,Endpoint,01/07/21,Pinnacle Cup II,Copenhagen Flames,Inferno,16 - 5,W
23,Endpoint,28/06/21,Spring Sweet Spring 3,AGO,Ancient,16 - 19,L
24,Endpoint,26/06/21,Elisa Invitational Summer 2021,SAW,Dust2,12 - 16,L
25,Endpoint,22/06/21,Spring Sweet Spring 3,Sharks,Ancient,16 - 11,W
26,Endpoint,16/06/21,ESEA Premier Season 37 Europe,Sangal,Inferno,16 - 7,W
27,Endpoint,13/06/21,Elisa Invitational Summer 2021,Young Ninjas,Overpass,16 - 5,W
28,Endpoint,05/06/21,Elisa Invitational Summer 2021,DBL PONEY,Vertigo,16 - 5,W
29,Endpoint,03/06/21,REPUBLEAGUE TIPOS Season 1,Entropiq,Overpass,17 - 19,L
