,team,data,match,opponent,map_map,result,w_l
0,Entropiq,02/11/22,ESL Challenger League Season 43 Europe,ECSTATIC,Ancient,16 - 3,W
1,Entropiq,24/10/22,CCT North Europe Series 1,IKLA,Mirage,16 - 12,W
2,Entropiq,21/10/22,CCT North Europe Series 1,BLUEJAYS,Dust2,16 - 12,W
3,Entropiq,20/10/22,CCT South Europe Series 1,Copenhagen Flames,Ancient,14 - 16,L
4,Entropiq,18/10/22,ESL Challenger League Season 42 Europe,Falcons,Overpass,16 - 6,W
5,Entropiq,30/09/22, CCT Central Europe Series 2,Into the Breach,Overpass,14 - 16,L
6,Entropiq,28/09/22, CCT Central Europe Series 2,eSuba,Mirage,16 - 1,W
7,Entropiq,17/09/22,ESL Challenger Rotterdam 2022 Europe Closed Qualifier,Iron Branch,Overpass,16 - 4,W
8,Entropiq,16/09/22,ESL Challenger Rotterdam 2022 Europe Closed Qualifier,fnatic Rising,Nuke,16 - 6,W
9,Entropiq,02/09/22,ESL Challenger Melbourne 2022,OG,Mirage,16 - 13,W
10,Entropiq,27/08/22,IEM Road to Rio 2022 Europe Open Qualifier 4,TAG,Mirage,23 - 25,L
11,Entropiq,23/08/22,IEM Road to Rio 2022 Europe Open Qualifier 3,Sangal,Mirage,17 - 19,L
12,Entropiq,23/08/22,IEM Road to Rio 2022 Europe Open Qualifier 3,TAG,Mirage,16 - 7,W
13,Entropiq,16/08/22,IEM Road to Rio 2022 Europe Open Qualifier 1,1PIN,Overpass,16 - 10,W
14,Entropiq,14/07/22,ESL Challenger Melbourne 2022 Europe Closed Qualifier,HEET,Dust2,16 - 14,W
15,Entropiq,12/07/22,ESL Challenger Melbourne 2022 Europe Closed Qualifier,HEET,Dust2,11 - 16,L
16,Entropiq,25/06/22,Roobet Cup 2022,OG,Dust2,12 - 16,L
17,Entropiq,23/06/22, ESL Challenger League Season 41 Europe,HEET,Vertigo,16 - 7,W
18,Entropiq,22/06/22,Roobet Cup 2022,BIG,Mirage,13 - 16,L
19,Entropiq,10/06/22,REPUBLEAGUE Season 3,ECSTATIC,Ancient,20 - 22,L
20,Entropiq,25/05/22,ESL Challenger Valencia 2022 Europe Closed Qualifier,K23,Dust2,13 - 16,L
21,Entropiq,10/05/22, ESL Challenger League Season 41 Europe,SINNERS,Ancient,16 - 7,W
22,Entropiq,04/05/22,IEM Dallas 2022 Europe Closed Qualifier,BIG,Nuke,16 - 9,W
23,Entropiq,02/05/22,IEM Dallas 2022 Europe Closed Qualifier,fnatic,Nuke,16 - 6,W
24,Entropiq,22/04/22,PGL Major Antwerp 2022 Europe RMR B,Anonymo,Ancient,14 - 16,L
25,Entropiq,21/04/22,PGL Major Antwerp 2022 Europe RMR B,Bad News Eagles,Dust2,17 - 19,L
