,team,data,match,opponent,map_map,result,w_l
0,Espionage,20/12/23,European Pro League 2nd Division Season 8,NOM,Vertigo,7 - 13,L
1,Espionage,17/12/23,European Pro League 2nd Division Season 8,PGE Turow,Ancient,13 - 4,W
2,Espionage,29/11/23,YaLLa Compass Fall 2023,Alliance,Mirage,6 - 13,L
3,Espionage,25/11/23,European Pro League Season 12,Preasy,Nuke,9 - 13,L
4,Espionage,20/11/23,LEON TEAMPLAY Season 2,PERA,Overpass,10 - 13,L
5,Espionage,18/11/23,LEON TEAMPLAY Season 2,MOUZ NXT,Anubis,13 - 8,W
6,Espionage,16/11/23,LEON TEAMPLAY Season 2,Alliance,Inferno,8 - 13,L
7,Espionage,11/11/23,A1 Gaming League Season 7,B8,Nuke,11 - 13,L
8,Espionage,26/10/23,YaLLa Compass Fall 2023 Contenders,ECLOT,Mirage,13 - 8,W
9,Espionage,22/10/23,A1 Gaming League Season 7,Zero Tenacity,Inferno,13 - 9,W
10,Espionage,19/10/23,YaLLa Compass Fall 2023 Contenders,JANO,Nuke,13 - 9,W
11,Espionage,07/10/23,A1 Gaming League Season 7,ENCE Academy,Vertigo,13 - 8,W
12,Espionage,15/09/23,European Pro League Season 10,Preasy,Ancient,16 - 10,W
13,Espionage,11/09/23,European Pro League Season 10,PGE Turow,Ancient,16 - 12,W
14,Espionage,08/09/23,European Pro League Season 10,Sashi,Nuke,16 - 5,W
15,Espionage,01/09/23,Pelaajat Nordic Masters Fall 2023 Open Qualifier 1,416Olsk,Mirage,3 - 16,L
16,Espionage,24/08/23,Pinnacle Cup V,FURIA,Vertigo,10 - 16,L
17,Espionage,17/08/23,CCT Central Europe Series 7,ALTERNATE aTTaX,Mirage,6 - 16,L
18,Espionage,14/08/23,CCT Central Europe Series 7,Sprout,Mirage,22 - 18,W
19,Espionage,10/08/23,Pinnacle Cup V,Aurora,Mirage,16 - 7,W
20,Espionage,03/08/23,CCT Central Europe Series 7,Sangal,Ancient,19 - 16,W
21,Espionage,29/07/23,CCT North Europe Series 6,Eternal Fire,Anubis,5 - 16,L
22,Espionage,25/07/23,European Pro League Season 9,Illuminar,Mirage,7 - 16,L
23,Espionage,23/07/23,European Pro League Season 9,ECLOT,Ancient,10 - 16,L
24,Espionage,21/07/23,CCT North Europe Series 6,ThunderFlash,Ancient,13 - 16,L
25,Espionage,18/07/23,CCT North Europe Series 6,Nexus,Ancient,16 - 5,W
26,Espionage,15/07/23,European Pro League Season 9,los kogutos,Mirage,16 - 12,W
27,Espionage,14/07/23,CCT North Europe Series 6 Closed Qualifier,Zero Tenacity,Nuke,16 - 11,W
28,Espionage,11/07/23,Gamers8 2023 Europe Open Qualifier 2,Monte,Nuke,16 - 12,W
29,Espionage,28/05/23,Gamebox Festival 2023,sYnck,Inferno,12 - 16,L
30,Espionage,27/05/23,Gamebox Festival 2023,CEPTER,Nuke,16 - 13,W
31,Espionage,20/12/23,European Pro League 2nd Division Season 8,NOM,Vertigo,7 - 13,L
32,Espionage,20/12/23,European Pro League 2nd Division Season 8,NOM,Anubis,13 - 5,W
33,Espionage,20/12/23,European Pro League 2nd Division Season 8,NOM,Ancient,9 - 13,L
34,Espionage,17/12/23,European Pro League 2nd Division Season 8,PGE Turow,Ancient,13 - 4,W
35,Espionage,17/12/23,European Pro League 2nd Division Season 8,PGE Turow,Nuke,13 - 9,W
36,Espionage,17/12/23,European Pro League 2nd Division Season 8,PGE Turow,Vertigo,7 - 13,L
37,Espionage,29/11/23,YaLLa Compass Fall 2023,Alliance,Mirage,6 - 13,L
38,Espionage,29/11/23,YaLLa Compass Fall 2023,Alliance,Inferno,1 - 13,L
39,Espionage,25/11/23,European Pro League Season 12,Preasy,Nuke,9 - 13,L
40,Espionage,25/11/23,European Pro League Season 12,Preasy,Vertigo,4 - 13,L
41,Espionage,20/11/23,LEON TEAMPLAY Season 2,PERA,Overpass,10 - 13,L
42,Espionage,20/11/23,LEON TEAMPLAY Season 2,PERA,Nuke,13 - 11,W
43,Espionage,20/11/23,LEON TEAMPLAY Season 2,PERA,Mirage,10 - 13,L
44,Espionage,18/11/23,LEON TEAMPLAY Season 2,MOUZ NXT,Anubis,13 - 8,W
45,Espionage,18/11/23,LEON TEAMPLAY Season 2,MOUZ NXT,Nuke,13 - 4,W
46,Espionage,18/11/23,LEON TEAMPLAY Season 2,MOUZ NXT,Inferno,14 - 16,L
47,Espionage,16/11/23,LEON TEAMPLAY Season 2,Alliance,Inferno,8 - 13,L
48,Espionage,11/11/23,A1 Gaming League Season 7,B8,Nuke,11 - 13,L
49,Espionage,11/11/23,A1 Gaming League Season 7,B8,Anubis,8 - 13,L
50,Espionage,26/10/23,YaLLa Compass Fall 2023 Contenders,ECLOT,Mirage,13 - 8,W
51,Espionage,26/10/23,YaLLa Compass Fall 2023 Contenders,ECLOT,Inferno,13 - 10,W
52,Espionage,22/10/23,A1 Gaming League Season 7,Zero Tenacity,Inferno,13 - 9,W
53,Espionage,22/10/23,A1 Gaming League Season 7,Zero Tenacity,Nuke,13 - 5,W
54,Espionage,19/10/23,YaLLa Compass Fall 2023 Contenders,JANO,Nuke,13 - 9,W
55,Espionage,19/10/23,YaLLa Compass Fall 2023 Contenders,JANO,Mirage,16 - 13,W
56,Espionage,07/10/23,A1 Gaming League Season 7,ENCE Academy,Vertigo,13 - 8,W
57,Espionage,07/10/23,A1 Gaming League Season 7,ENCE Academy,Mirage,13 - 1,W
58,Espionage,15/09/23,European Pro League Season 10,Preasy,Ancient,16 - 10,W
59,Espionage,15/09/23,European Pro League Season 10,Preasy,Mirage,16 - 7,W
60,Espionage,11/09/23,European Pro League Season 10,PGE Turow,Ancient,16 - 12,W
61,Espionage,11/09/23,European Pro League Season 10,PGE Turow,Nuke,16 - 6,W
62,Espionage,08/09/23,European Pro League Season 10,Sashi,Nuke,16 - 5,W
63,Espionage,08/09/23,European Pro League Season 10,Sashi,Overpass,22 - 20,W
64,Espionage,01/09/23,Pelaajat Nordic Masters Fall 2023 Open Qualifier 1,416Olsk,Mirage,3 - 16,L
65,Espionage,01/09/23,Pelaajat Nordic Masters Fall 2023 Open Qualifier 1,416Olsk,Overpass,16 - 14,W
66,Espionage,01/09/23,Pelaajat Nordic Masters Fall 2023 Open Qualifier 1,416Olsk,Ancient,16 - 19,L
67,Espionage,24/08/23,Pinnacle Cup V,FURIA,Vertigo,10 - 16,L
68,Espionage,24/08/23,Pinnacle Cup V,FURIA,Mirage,11 - 16,L
69,Espionage,17/08/23,CCT Central Europe Series 7,ALTERNATE aTTaX,Mirage,6 - 16,L
70,Espionage,17/08/23,CCT Central Europe Series 7,ALTERNATE aTTaX,Overpass,4 - 16,L
71,Espionage,14/08/23,CCT Central Europe Series 7,Sprout,Mirage,22 - 18,W
72,Espionage,14/08/23,CCT Central Europe Series 7,Sprout,Ancient,13 - 16,L
73,Espionage,14/08/23,CCT Central Europe Series 7,Sprout,Overpass,16 - 12,W
74,Espionage,10/08/23,Pinnacle Cup V,Aurora,Mirage,16 - 7,W
75,Espionage,10/08/23,Pinnacle Cup V,Aurora,Overpass,16 - 10,W
76,Espionage,03/08/23,CCT Central Europe Series 7,Sangal,Ancient,19 - 16,W
77,Espionage,03/08/23,CCT Central Europe Series 7,Sangal,Mirage,16 - 6,W
78,Espionage,29/07/23,CCT North Europe Series 6,Eternal Fire,Anubis,5 - 16,L
79,Espionage,29/07/23,CCT North Europe Series 6,Eternal Fire,Nuke,4 - 16,L
80,Espionage,25/07/23,European Pro League Season 9,Illuminar,Mirage,7 - 16,L
81,Espionage,25/07/23,European Pro League Season 9,Illuminar,Nuke,16 - 10,W
82,Espionage,25/07/23,European Pro League Season 9,Illuminar,Vertigo,14 - 16,L
83,Espionage,23/07/23,European Pro League Season 9,ECLOT,Ancient,10 - 16,L
84,Espionage,23/07/23,European Pro League Season 9,ECLOT,Mirage,19 - 22,L
85,Espionage,23/07/23,European Pro League Season 9,ECLOT,Anubis,16 - 11,W
86,Espionage,21/07/23,CCT North Europe Series 6,ThunderFlash,Ancient,13 - 16,L
87,Espionage,21/07/23,CCT North Europe Series 6,ThunderFlash,Nuke,16 - 10,W
88,Espionage,21/07/23,CCT North Europe Series 6,ThunderFlash,Vertigo,10 - 16,L
89,Espionage,18/07/23,CCT North Europe Series 6,Nexus,Ancient,16 - 5,W
90,Espionage,18/07/23,CCT North Europe Series 6,Nexus,Mirage,16 - 7,W
91,Espionage,15/07/23,European Pro League Season 9,los kogutos,Mirage,16 - 12,W
92,Espionage,15/07/23,European Pro League Season 9,los kogutos,Ancient,16 - 3,W
93,Espionage,14/07/23,CCT North Europe Series 6 Closed Qualifier,Zero Tenacity,Nuke,16 - 11,W
94,Espionage,14/07/23,CCT North Europe Series 6 Closed Qualifier,Zero Tenacity,Vertigo,16 - 12,W
95,Espionage,14/07/23,CCT North Europe Series 6 Closed Qualifier,Zero Tenacity,Anubis,13 - 16,L
96,Espionage,11/07/23,Gamers8 2023 Europe Open Qualifier 2,Monte,Nuke,16 - 12,W
97,Espionage,28/05/23,Gamebox Festival 2023,sYnck,Inferno,12 - 16,L
98,Espionage,28/05/23,Gamebox Festival 2023,sYnck,Nuke,11 - 16,L
99,Espionage,28/05/23,Gamebox Festival 2023,sYnck,Mirage,19 - 17,W
100,Espionage,27/05/23,Gamebox Festival 2023,CEPTER,Nuke,16 - 13,W
101,Espionage,19/12/23,European Pro League 2nd Division Season 8,Anonymo,Nuke,6 - 13,L
102,Espionage,05/12/23,YaLLa Compass Fall 2023,EYEBALLERS,Ancient,11 - 13,L
103,Espionage,29/11/23,European Pro League Season 12,paiN,Mirage,5 - 13,L
104,Espionage,23/11/23,YaLLa Compass Fall 2023,SAW,Nuke,8 - 13,L
105,Espionage,19/11/23,LEON TEAMPLAY Season 2,ARCRED,Anubis,13 - 11,W
106,Espionage,17/11/23,LEON TEAMPLAY Season 2,GenOne,Nuke,13 - 3,W
107,Espionage,14/11/23,YaLLa Compass Fall 2023,Sprout,Vertigo,13 - 3,W
108,Espionage,02/11/23,YaLLa Compass Fall 2023 Contenders,IKLA,Nuke,13 - 9,W
109,Espionage,24/10/23,European Pro League Season 11,HAVU,Ancient,5 - 13,L
110,Espionage,20/10/23,European Pro League Season 11,Nexus,Vertigo,8 - 13,L
111,Espionage,14/10/23,A1 Gaming League Season 7,IKLA,Nuke,13 - 1,W
112,Espionage,16/09/23,European Pro League Season 10,Entropiq,Anubis,10 - 16,L
113,Espionage,14/09/23,European Pro League Season 10,Sprout,Mirage,12 - 16,L
114,Espionage,09/09/23,European Pro League Season 10,EYEBALLERS,Inferno,16 - 11,W
115,Espionage,04/09/23,European Pro League Season 10,Singularity,Ancient,11 - 16,L
116,Espionage,01/09/23,Pelaajat Nordic Masters Fall 2023 Open Qualifier 1,MASONIC,Inferno,19 - 15,W
117,Espionage,21/08/23,Pinnacle Cup V,los kogutos,Nuke,16 - 9,W
118,Espionage,16/08/23,CCT Central Europe Series 7,Into the Breach,Mirage,16 - 12,W
119,Espionage,13/08/23,Pinnacle Cup V,los kogutos,Ancient,16 - 12,W
120,Espionage,09/08/23,Pinnacle Cup V,Sampi,Mirage,16 - 8,W
121,Espionage,31/07/23,CCT Central Europe Series 7,B8,Vertigo,16 - 8,W
122,Espionage,25/07/23,CCT North Europe Series 6,los kogutos,Ancient,16 - 10,W
123,Espionage,24/07/23,European Pro League Season 9,ThunderFlash,Inferno,16 - 12,W
124,Espionage,22/07/23,CCT North Europe Series 6,Let us cook,Ancient,16 - 12,W
125,Espionage,20/07/23,European Pro League Season 9,Zero Tenacity,Overpass,16 - 7,W
126,Espionage,16/07/23,CCT North Europe Series 6 Closed Qualifier,SQUAD,Vertigo,16 - 5,W
127,Espionage,14/07/23,CCT North Europe Series 6 Closed Qualifier,Aurora Young Blud,Overpass,16 - 11,W
128,Espionage,11/07/23,Gamers8 2023 Europe Open Qualifier 2,Looking4Org,Vertigo,12 - 16,L
129,Espionage,11/07/23,European Pro League Season 9,Singularity,Ancient,16 - 7,W
130,Espionage,27/05/23,Gamebox Festival 2023,Astralis Talent,Ancient,16 - 1,W
131,Espionage,19/12/23,European Pro League 2nd Division Season 8,Anonymo,Nuke,6 - 13,L
132,Espionage,19/12/23,European Pro League 2nd Division Season 8,Anonymo,Overpass,13 - 8,W
133,Espionage,19/12/23,European Pro League 2nd Division Season 8,Anonymo,Mirage,3 - 13,L
134,Espionage,05/12/23,YaLLa Compass Fall 2023,EYEBALLERS,Ancient,11 - 13,L
135,Espionage,05/12/23,YaLLa Compass Fall 2023,EYEBALLERS,Mirage,9 - 13,L
136,Espionage,05/12/23,YaLLa Compass Fall 2023,EYEBALLERS,Nuke,19 - 16,W
137,Espionage,29/11/23,European Pro League Season 12,paiN,Mirage,5 - 13,L
138,Espionage,29/11/23,European Pro League Season 12,paiN,Vertigo,8 - 13,L
139,Espionage,29/11/23,European Pro League Season 12,paiN,Nuke,13 - 7,W
140,Espionage,23/11/23,YaLLa Compass Fall 2023,SAW,Nuke,8 - 13,L
141,Espionage,23/11/23,YaLLa Compass Fall 2023,SAW,Vertigo,13 - 6,W
142,Espionage,23/11/23,YaLLa Compass Fall 2023,SAW,Anubis,5 - 13,L
143,Espionage,19/11/23,LEON TEAMPLAY Season 2,ARCRED,Anubis,13 - 11,W
144,Espionage,19/11/23,LEON TEAMPLAY Season 2,ARCRED,Overpass,13 - 4,W
145,Espionage,17/11/23,LEON TEAMPLAY Season 2,GenOne,Nuke,13 - 3,W
146,Espionage,17/11/23,LEON TEAMPLAY Season 2,GenOne,Anubis,13 - 8,W
147,Espionage,14/11/23,YaLLa Compass Fall 2023,Sprout,Vertigo,13 - 3,W
148,Espionage,14/11/23,YaLLa Compass Fall 2023,Sprout,Anubis,13 - 11,W
149,Espionage,02/11/23,YaLLa Compass Fall 2023 Contenders,IKLA,Nuke,13 - 9,W
150,Espionage,02/11/23,YaLLa Compass Fall 2023 Contenders,IKLA,Overpass,13 - 5,W
151,Espionage,24/10/23,European Pro League Season 11,HAVU,Ancient,5 - 13,L
152,Espionage,24/10/23,European Pro League Season 11,HAVU,Nuke,11 - 13,L
153,Espionage,20/10/23,European Pro League Season 11,Nexus,Vertigo,8 - 13,L
154,Espionage,20/10/23,European Pro League Season 11,Nexus,Nuke,13 - 9,W
