,team,data,match,opponent,map_map,result,w_l
0,Eternal Fire,03/12/22, ESL Turkey Championship Season 11,The Chosen Few,Dust2,16 - 4,W
1,Eternal Fire,16/11/22,CCT Central Europe Series 3,HONORIS,Inferno,13 - 16,L
2,Eternal Fire,22/10/22,CCT North Europe Series 1,IKLA,Dust2,7 - 16,L
3,Eternal Fire,19/10/22,BLAST Premier Fall Showdown 2022 Europe,Astralis,Nuke,20 - 22,L
4,Eternal Fire,15/10/22,ESL Challenger Rotterdam 2022,Movistar Riders,Inferno,16 - 12,W
5,Eternal Fire,14/10/22,ESL Challenger Rotterdam 2022,Movistar Riders,Overpass,9 - 16,L
6,Eternal Fire,06/10/22,IEM Road to Rio 2022 Europe RMR A,Aurora,Nuke,16 - 8,W
7,Eternal Fire,04/10/22,IEM Road to Rio 2022 Europe RMR A,Bad News Eagles,Dust2,14 - 16,L
8,Eternal Fire,25/09/22,ESL Pro League Season 16,Movistar Riders,Overpass,16 - 5,W
9,Eternal Fire,24/09/22,TWR Eastern European Masters Fall 2022 - BLAST Premier Qualifier,0to100,Dust2,16 - 5,W
10,Eternal Fire,24/09/22,TWR Eastern European Masters Fall 2022 - BLAST Premier Qualifier,ex-SKADE,Inferno,11 - 16,L
11,Eternal Fire,23/09/22,ESL Pro League Season 16,Evil Geniuses,Dust2,4 - 16,L
12,Eternal Fire,21/09/22,ESL Pro League Season 16,FURIA,Inferno,5 - 16,L
13,Eternal Fire,18/09/22,ESL Challenger Rotterdam 2022 Europe Closed Qualifier,Iron Branch,Ancient,16 - 11,W
14,Eternal Fire,17/09/22,ESL Challenger Rotterdam 2022 Europe Closed Qualifier,Sprout,Inferno,16 - 12,W
15,Eternal Fire,16/09/22,ESL Challenger Rotterdam 2022 Europe Closed Qualifier,1WIN,Vertigo,13 - 16,L
16,Eternal Fire,02/09/22,ESA Supremes Fall 2022,gothboiclique,Overpass,16 - 8,W
17,Eternal Fire,01/09/22, CCT Central Europe Series 1,Enterprise,Overpass,18 - 22,L
18,Eternal Fire,23/08/22,IEM Road to Rio 2022 Europe Open Qualifier 3,ECSTATIC,Nuke,16 - 3,W
19,Eternal Fire,23/08/22,IEM Road to Rio 2022 Europe Open Qualifier 3,EYEBALLERS,Vertigo,16 - 6,W
20,Eternal Fire,16/08/22,IEM Road to Rio 2022 Europe Open Qualifier 1,9INE,Overpass,4 - 16,L
21,Eternal Fire,27/06/22,Roobet Cup 2022,BIG,Nuke,7 - 16,L
22,Eternal Fire,25/06/22,Roobet Cup 2022,Imperial,Vertigo,16 - 13,W
23,Eternal Fire,18/06/22,ESL Pro League Season 16 Conference,HUMMER,Overpass,19 - 16,W
24,Eternal Fire,12/06/22,REPUBLEAGUE Season 3,ex-MAD Lions,Inferno,12 - 16,L
25,Eternal Fire,09/06/22,REPUBLEAGUE Season 3,Sprout,Nuke,16 - 12,W
26,Eternal Fire,27/05/22,Pinnacle Cup IV,Finest,Dust2,14 - 16,L
27,Eternal Fire,26/05/22,Pinnacle Cup IV,SKADE,Inferno,16 - 14,W
28,Eternal Fire,11/05/22,PGL Major Antwerp 2022 Challengers Stage,MIBR,Nuke,11 - 16,L
29,Eternal Fire,09/05/22,PGL Major Antwerp 2022 Challengers Stage,Renegades,Vertigo,16 - 2,W
30,Eternal Fire,08/05/22,ESL Turkey Championship Winter 2022,SMOAD,Vertigo,16 - 4,W
31,Eternal Fire,20/04/22,PGL Major Antwerp 2022 Europe RMR A,OG,Dust2,16 - 14,W
32,Eternal Fire,18/04/22,PGL Major Antwerp 2022 Europe RMR A,Vitality,Dust2,11 - 16,L
33,Eternal Fire,17/04/22,PGL Major Antwerp 2022 Europe RMR A,FaZe,Overpass,4 - 16,L
34,Eternal Fire,13/04/22,IEM Dallas 2022 Europe Open Qualifier 2,SKADE,Overpass,16 - 2,W
35,Eternal Fire,20/03/22,TWR Eastern European Masters Spring 2022 - BLAST Premier Qualifier,SKADE,Dust2,10 - 16,L
36,Eternal Fire,18/03/22,TWR Eastern European Masters Spring 2022 - BLAST Premier Qualifier,SINNERS,Mirage,25 - 28,L
37,Eternal Fire,14/03/22,Pinnacle Winter Series 3,Apeks,Inferno,12 - 16,L
38,Eternal Fire,12/03/22,BtcTurk ESA Supremes Spring 2022,RWC,Dust2,16 - 5,W
39,Eternal Fire,10/03/22,Pinnacle Winter Series 3,Astralis Talent,Nuke,16 - 8,W
40,Eternal Fire,08/03/22,Pinnacle Winter Series 3,GamerLegion,Vertigo,16 - 7,W
41,Eternal Fire,06/03/22,PGL Major Antwerp 2022 Europe RMR Open Qualifier 4,Sangal,Vertigo,16 - 9,W
42,Eternal Fire,06/03/22,PGL Major Antwerp 2022 Europe RMR Open Qualifier 4,Anonymo,Dust2,16 - 10,W
43,Eternal Fire,04/03/22,Elisa Invitational Winter 2021,SKADE,Inferno,8 - 16,L
44,Eternal Fire,24/02/22,Elisa Invitational Winter 2021,ex-AGF,Nuke,16 - 12,W
45,Eternal Fire,18/02/22,Pinnacle Winter Series 2,Apeks,Overpass,16 - 12,W
46,Eternal Fire,16/02/22,Pinnacle Winter Series 2,Enterprise,Inferno,16 - 10,W
47,Eternal Fire,14/02/22,Pinnacle Winter Series 2,AVANGAR,Nuke,16 - 11,W
48,Eternal Fire,01/02/22,Pinnacle Winter Series 1,Copenhagen Flames,Inferno,9 - 16,L
49,Eternal Fire,28/01/22,Pinnacle Winter Series 1,Tricked,Dust2,16 - 4,W
50,Eternal Fire,26/01/22,Elisa Invitational Winter 2021,Looking For Org,Vertigo,16 - 3,W
51,Eternal Fire,25/01/22,Pinnacle Winter Series 1,GamerLegion,Overpass,12 - 16,L
52,Eternal Fire,19/01/22,Elisa Invitational Winter 2021,Lynn Vision,Dust2,16 - 9,W
53,Eternal Fire,03/12/22, ESL Turkey Championship Season 11,The Chosen Few,Dust2,16 - 4,W
54,Eternal Fire,03/12/22, ESL Turkey Championship Season 11,The Chosen Few,Nuke,16 - 12,W
55,Eternal Fire,16/11/22,CCT Central Europe Series 3,HONORIS,Inferno,13 - 16,L
56,Eternal Fire,16/11/22,CCT Central Europe Series 3,HONORIS,Dust2,16 - 1,W
57,Eternal Fire,16/11/22,CCT Central Europe Series 3,HONORIS,Nuke,8 - 16,L
58,Eternal Fire,22/10/22,CCT North Europe Series 1,IKLA,Dust2,7 - 16,L
59,Eternal Fire,22/10/22,CCT North Europe Series 1,IKLA,Vertigo,16 - 12,W
60,Eternal Fire,22/10/22,CCT North Europe Series 1,IKLA,Mirage,8 - 16,L
61,Eternal Fire,19/10/22,BLAST Premier Fall Showdown 2022 Europe,Astralis,Nuke,20 - 22,L
62,Eternal Fire,19/10/22,BLAST Premier Fall Showdown 2022 Europe,Astralis,Overpass,16 - 11,W
63,Eternal Fire,19/10/22,BLAST Premier Fall Showdown 2022 Europe,Astralis,Dust2,14 - 16,L
64,Eternal Fire,15/10/22,ESL Challenger Rotterdam 2022,Movistar Riders,Inferno,16 - 12,W
65,Eternal Fire,15/10/22,ESL Challenger Rotterdam 2022,Movistar Riders,Vertigo,16 - 10,W
66,Eternal Fire,14/10/22,ESL Challenger Rotterdam 2022,Movistar Riders,Overpass,9 - 16,L
67,Eternal Fire,06/10/22,IEM Road to Rio 2022 Europe RMR A,Aurora,Nuke,16 - 8,W
68,Eternal Fire,06/10/22,IEM Road to Rio 2022 Europe RMR A,Aurora,Mirage,15 - 19,L
69,Eternal Fire,06/10/22,IEM Road to Rio 2022 Europe RMR A,Aurora,Vertigo,16 - 9,W
70,Eternal Fire,04/10/22,IEM Road to Rio 2022 Europe RMR A,Bad News Eagles,Dust2,14 - 16,L
71,Eternal Fire,25/09/22,ESL Pro League Season 16,Movistar Riders,Overpass,16 - 5,W
72,Eternal Fire,25/09/22,ESL Pro League Season 16,Movistar Riders,Vertigo,16 - 9,W
73,Eternal Fire,24/09/22,TWR Eastern European Masters Fall 2022 - BLAST Premier Qualifier,0to100,Dust2,16 - 5,W
74,Eternal Fire,24/09/22,TWR Eastern European Masters Fall 2022 - BLAST Premier Qualifier,ex-SKADE,Inferno,11 - 16,L
75,Eternal Fire,23/09/22,ESL Pro League Season 16,Evil Geniuses,Dust2,4 - 16,L
76,Eternal Fire,23/09/22,ESL Pro League Season 16,Evil Geniuses,Overpass,9 - 16,L
77,Eternal Fire,21/09/22,ESL Pro League Season 16,FURIA,Inferno,5 - 16,L
