,team,data,match,opponent,map_map,result,w_l
0,Evil Geniuses,31/10/21,PGL Major Stockholm 2021,Vitality,Dust2,12 - 16,L
1,Evil Geniuses,30/10/21,PGL Major Stockholm 2021,FaZe,Dust2,6 - 16,L
2,Evil Geniuses,09/10/21,IEM Fall 2021 North America,EXTREMUM,Inferno,16 - 7,W
3,Evil Geniuses,07/10/21,IEM Fall 2021 North America,GODSENT,Nuke,11 - 16,L
4,Evil Geniuses,05/10/21,IEM Fall 2021 North America,00NATION,Mirage,16 - 5,W
5,Evil Geniuses,16/09/21,BLAST Premier Fall Groups 2021,Astralis,Nuke,10 - 16,L
6,Evil Geniuses,30/08/21,ESL Pro League Season 14,Natus Vincere,Nuke,7 - 16,L
7,Evil Geniuses,28/08/21,ESL Pro League Season 14,FaZe,Dust2,13 - 16,L
8,Evil Geniuses,07/07/21,IEM Cologne 2021 Play-in,MOUZ,Inferno,8 - 16,L
9,Evil Geniuses,06/07/21,IEM Cologne 2021 Play-in,FaZe,Mirage,12 - 16,L
10,Evil Geniuses,15/06/21,BLAST Premier Spring Final 2021,Gambit,Dust2,11 - 16,L
11,Evil Geniuses,06/06/21,IEM Summer 2021,OG,Inferno,5 - 16,L
12,Evil Geniuses,03/06/21,IEM Summer 2021,Spirit,Overpass,16 - 9,W
13,Evil Geniuses,20/05/21,cs_summit 8,paiN,Inferno,11 - 16,L
14,Evil Geniuses,20/04/21,Funspark ULTI 2020 Europe Final,Dignitas,Vertigo,4 - 16,L
15,Evil Geniuses,06/04/21,Snow Sweet Snow 3,Dignitas,Train,22 - 19,W
16,Evil Geniuses,28/03/21,ESL Pro League Season 13,Liquid,Overpass,10 - 16,L
17,Evil Geniuses,26/03/21,ESL Pro League Season 13,Virtus.pro,Inferno,17 - 19,L
18,Evil Geniuses,20/02/21,IEM Katowice 2021,G2,Dust2,14 - 16,L
19,Evil Geniuses,18/02/21,IEM Katowice 2021,Gambit,Inferno,16 - 10,W
20,Evil Geniuses,10/02/21,BLAST Premier Spring Groups 2021,G2,Nuke,16 - 5,W
21,Evil Geniuses,08/02/21,BLAST Premier Spring Groups 2021,G2,Vertigo,12 - 16,L
22,Evil Geniuses,28/01/21,DreamHack Open January 2021 Europe,BIG,Nuke,7 - 16,L
23,Evil Geniuses,22/01/21,BLAST Premier Global Final 2020,Liquid,Dust2,8 - 16,L
24,Evil Geniuses,19/01/21,BLAST Premier Global Final 2020,Astralis,Vertigo,6 - 16,L
25,Evil Geniuses,31/10/21,PGL Major Stockholm 2021,Vitality,Dust2,12 - 16,L
26,Evil Geniuses,31/10/21,PGL Major Stockholm 2021,Vitality,Vertigo,5 - 16,L
27,Evil Geniuses,31/10/21,PGL Major Stockholm 2021,Vitality,Inferno,16 - 13,W
28,Evil Geniuses,30/10/21,PGL Major Stockholm 2021,FaZe,Dust2,6 - 16,L
29,Evil Geniuses,09/10/21,IEM Fall 2021 North America,EXTREMUM,Inferno,16 - 7,W
30,Evil Geniuses,09/10/21,IEM Fall 2021 North America,EXTREMUM,Mirage,13 - 16,L
31,Evil Geniuses,09/10/21,IEM Fall 2021 North America,EXTREMUM,Nuke,16 - 6,W
32,Evil Geniuses,07/10/21,IEM Fall 2021 North America,GODSENT,Nuke,11 - 16,L
33,Evil Geniuses,05/10/21,IEM Fall 2021 North America,00NATION,Mirage,16 - 5,W
34,Evil Geniuses,16/09/21,BLAST Premier Fall Groups 2021,Astralis,Nuke,10 - 16,L
35,Evil Geniuses,16/09/21,BLAST Premier Fall Groups 2021,Astralis,Dust2,11 - 16,L
36,Evil Geniuses,30/08/21,ESL Pro League Season 14,Natus Vincere,Nuke,7 - 16,L
37,Evil Geniuses,30/08/21,ESL Pro League Season 14,Natus Vincere,Inferno,12 - 16,L
38,Evil Geniuses,28/08/21,ESL Pro League Season 14,FaZe,Dust2,13 - 16,L
39,Evil Geniuses,28/08/21,ESL Pro League Season 14,FaZe,Mirage,9 - 16,L
40,Evil Geniuses,28/08/21,ESL Pro League Season 14,FaZe,Inferno,16 - 13,W
41,Evil Geniuses,07/07/21,IEM Cologne 2021 Play-in,MOUZ,Inferno,8 - 16,L
42,Evil Geniuses,07/07/21,IEM Cologne 2021 Play-in,MOUZ,Nuke,12 - 16,L
43,Evil Geniuses,06/07/21,IEM Cologne 2021 Play-in,FaZe,Mirage,12 - 16,L
44,Evil Geniuses,15/06/21,BLAST Premier Spring Final 2021,Gambit,Dust2,11 - 16,L
45,Evil Geniuses,15/06/21,BLAST Premier Spring Final 2021,Gambit,Inferno,20 - 22,L
46,Evil Geniuses,06/06/21,IEM Summer 2021,OG,Inferno,5 - 16,L
47,Evil Geniuses,06/06/21,IEM Summer 2021,OG,Overpass,6 - 16,L
48,Evil Geniuses,06/06/21,IEM Summer 2021,OG,Dust2,16 - 14,W
49,Evil Geniuses,03/06/21,IEM Summer 2021,Spirit,Overpass,16 - 9,W
50,Evil Geniuses,20/05/21,cs_summit 8,paiN,Inferno,11 - 16,L
51,Evil Geniuses,20/05/21,cs_summit 8,paiN,Vertigo,16 - 12,W
52,Evil Geniuses,20/05/21,cs_summit 8,paiN,Nuke,11 - 16,L
53,Evil Geniuses,20/04/21,Funspark ULTI 2020 Europe Final,Dignitas,Vertigo,4 - 16,L
54,Evil Geniuses,20/04/21,Funspark ULTI 2020 Europe Final,Dignitas,Inferno,9 - 16,L
55,Evil Geniuses,06/04/21,Snow Sweet Snow 3,Dignitas,Train,22 - 19,W
56,Evil Geniuses,06/04/21,Snow Sweet Snow 3,Dignitas,Nuke,9 - 16,L
