,team,data,match,opponent,map_map,result,w_l
0,EYEBALLERS,10/04/24,Elisa Invitational Spring 2024,Permitta,Overpass,3 - 13,L
1,EYEBALLERS,07/04/24,LuckyCasino Cup 2024,Alliance,Overpass,13 - 6,W
2,EYEBALLERS,04/04/24,ESL Challenger League Season 47 Europe,Sangal,Overpass,9 - 13,L
3,EYEBALLERS,03/04/24,Thunderpick World Championship 2024 EU Closed Qualifier 1,BIG,Overpass,6 - 13,L
4,EYEBALLERS,14/03/24,ESL Challenger League Season 47 Europe,TSM,Ancient,12 - 16,L
5,EYEBALLERS,09/03/24,ESL Challenger Jönköping 2024 Sweden Open Qualifier,Metizport,Mirage,16 - 13,W
6,EYEBALLERS,06/03/24,ESL Challenger League Season 47 Europe,9INE,Anubis,13 - 10,W
7,EYEBALLERS,02/02/24,Pelaajat Series Spring 2024 Nordics Open Qualifier 1,Espionage,Ancient,13 - 4,W
8,EYEBALLERS,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,PERA,Mirage,7 - 13,L
9,EYEBALLERS,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,The Witchers,Mirage,13 - 7,W
10,EYEBALLERS,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,PARIVISION,Overpass,13 - 4,W
11,EYEBALLERS,10/04/24,Elisa Invitational Spring 2024,Permitta,Overpass,3 - 13,L
12,EYEBALLERS,10/04/24,Elisa Invitational Spring 2024,Permitta,Ancient,6 - 13,L
13,EYEBALLERS,07/04/24,LuckyCasino Cup 2024,Alliance,Overpass,13 - 6,W
14,EYEBALLERS,07/04/24,LuckyCasino Cup 2024,Alliance,Ancient,13 - 4,W
15,EYEBALLERS,07/04/24,LuckyCasino Cup 2024,Alliance,Inferno,10 - 13,L
16,EYEBALLERS,04/04/24,ESL Challenger League Season 47 Europe,Sangal,Overpass,9 - 13,L
17,EYEBALLERS,04/04/24,ESL Challenger League Season 47 Europe,Sangal,Vertigo,5 - 13,L
18,EYEBALLERS,03/04/24,Thunderpick World Championship 2024 EU Closed Qualifier 1,BIG,Overpass,6 - 13,L
19,EYEBALLERS,03/04/24,Thunderpick World Championship 2024 EU Closed Qualifier 1,BIG,Anubis,8 - 13,L
20,EYEBALLERS,14/03/24,ESL Challenger League Season 47 Europe,TSM,Ancient,12 - 16,L
21,EYEBALLERS,14/03/24,ESL Challenger League Season 47 Europe,TSM,Overpass,16 - 12,W
22,EYEBALLERS,14/03/24,ESL Challenger League Season 47 Europe,TSM,Mirage,19 - 22,L
23,EYEBALLERS,09/03/24,ESL Challenger Jönköping 2024 Sweden Open Qualifier,Metizport,Mirage,16 - 13,W
24,EYEBALLERS,06/03/24,ESL Challenger League Season 47 Europe,9INE,Anubis,13 - 10,W
25,EYEBALLERS,06/03/24,ESL Challenger League Season 47 Europe,9INE,Vertigo,9 - 13,L
26,EYEBALLERS,06/03/24,ESL Challenger League Season 47 Europe,9INE,Overpass,13 - 10,W
27,EYEBALLERS,02/02/24,Pelaajat Series Spring 2024 Nordics Open Qualifier 1,Espionage,Ancient,13 - 4,W
28,EYEBALLERS,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,PERA,Mirage,7 - 13,L
29,EYEBALLERS,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,The Witchers,Mirage,13 - 7,W
30,EYEBALLERS,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,The Witchers,Inferno,13 - 9,W
31,EYEBALLERS,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,The Witchers,Vertigo,14 - 16,L
32,EYEBALLERS,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,PARIVISION,Overpass,13 - 4,W
33,EYEBALLERS,07/04/24,LuckyCasino Cup 2024,Metizport,Mirage,11 - 13,L
34,EYEBALLERS,06/04/24,LuckyCasino Cup 2024,Onliners5,Inferno,13 - 5,W
35,EYEBALLERS,03/04/24,ESL Challenger League Season 47 Europe,9 Pandas,Anubis,10 - 13,L
36,EYEBALLERS,28/03/24,ESL Challenger League Season 47 Europe,KOI,Vertigo,13 - 8,W
37,EYEBALLERS,10/03/24,ESL Challenger Jönköping 2024 Sweden Open Qualifier,Alliance,Overpass,7 - 13,L
38,EYEBALLERS,09/03/24,ESL Challenger Jönköping 2024 Sweden Open Qualifier,Onliners5,Overpass,13 - 7,W
39,EYEBALLERS,02/02/24,Pelaajat Series Spring 2024 Nordics Open Qualifier 1,Metizport,Inferno,9 - 13,L
40,EYEBALLERS,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Entropiq,Inferno,8 - 13,L
41,EYEBALLERS,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,MOUZ,Mirage,8 - 13,L
42,EYEBALLERS,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,Espionage,Overpass,13 - 6,W
43,EYEBALLERS,12/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,Insilio,Ancient,14 - 16,L
44,EYEBALLERS,07/04/24,LuckyCasino Cup 2024,Metizport,Mirage,11 - 13,L
45,EYEBALLERS,07/04/24,LuckyCasino Cup 2024,Metizport,Inferno,5 - 13,L
46,EYEBALLERS,06/04/24,LuckyCasino Cup 2024,Onliners5,Inferno,13 - 5,W
47,EYEBALLERS,06/04/24,LuckyCasino Cup 2024,Onliners5,Mirage,16 - 13,W
48,EYEBALLERS,03/04/24,ESL Challenger League Season 47 Europe,9 Pandas,Anubis,10 - 13,L
49,EYEBALLERS,03/04/24,ESL Challenger League Season 47 Europe,9 Pandas,Inferno,11 - 13,L
50,EYEBALLERS,28/03/24,ESL Challenger League Season 47 Europe,KOI,Vertigo,13 - 8,W
51,EYEBALLERS,28/03/24,ESL Challenger League Season 47 Europe,KOI,Overpass,13 - 9,W
52,EYEBALLERS,10/03/24,ESL Challenger Jönköping 2024 Sweden Open Qualifier,Alliance,Overpass,7 - 13,L
53,EYEBALLERS,10/03/24,ESL Challenger Jönköping 2024 Sweden Open Qualifier,Alliance,Mirage,8 - 13,L
54,EYEBALLERS,10/03/24,ESL Challenger Jönköping 2024 Sweden Open Qualifier,Alliance,Anubis,13 - 10,W
55,EYEBALLERS,09/03/24,ESL Challenger Jönköping 2024 Sweden Open Qualifier,Onliners5,Overpass,13 - 7,W
56,EYEBALLERS,02/02/24,Pelaajat Series Spring 2024 Nordics Open Qualifier 1,Metizport,Inferno,9 - 13,L
57,EYEBALLERS,02/02/24,Pelaajat Series Spring 2024 Nordics Open Qualifier 1,Metizport,Mirage,5 - 13,L
58,EYEBALLERS,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Entropiq,Inferno,8 - 13,L
59,EYEBALLERS,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Entropiq,Ancient,2 - 13,L
60,EYEBALLERS,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,MOUZ,Mirage,8 - 13,L
61,EYEBALLERS,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,Espionage,Overpass,13 - 6,W
62,EYEBALLERS,12/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,Insilio,Ancient,14 - 16,L
