,team,data,match,opponent,map_map,result,w_l
0,FaZe,10/04/24,IEM Chengdu 2024,FlyQuest,Nuke,13 - 10,W
1,FaZe,09/04/24,IEM Chengdu 2024,Astralis,Nuke,4 - 13,L
2,FaZe,31/03/24,PGL CS2 Major Copenhagen 2024,Natus Vincere,Inferno,3 - 13,L
3,FaZe,28/03/24,PGL CS2 Major Copenhagen 2024,Spirit,Vertigo,16 - 14,W
4,FaZe,23/03/24,PGL CS2 Major Copenhagen 2024,Imperial,Mirage,13 - 8,W
5,FaZe,21/03/24,PGL CS2 Major Copenhagen 2024,FURIA,Ancient,13 - 7,W
6,FaZe,16/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Eternal Fire,Nuke,13 - 5,W
7,FaZe,14/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Falcons,Nuke,13 - 7,W
8,FaZe,11/02/24,IEM Katowice 2024,Spirit,Overpass,3 - 13,L
9,FaZe,09/02/24,IEM Katowice 2024,G2,Ancient,13 - 6,W
10,FaZe,04/02/24,IEM Katowice 2024,Eternal Fire,Nuke,13 - 5,W
11,FaZe,27/01/24,BLAST Premier Spring Groups 2024,Liquid,Mirage,13 - 9,W
12,FaZe,25/01/24,BLAST Premier Spring Groups 2024,Spirit,Nuke,13 - 4,W
13,FaZe,10/04/24,IEM Chengdu 2024,FlyQuest,Nuke,13 - 10,W
14,FaZe,10/04/24,IEM Chengdu 2024,FlyQuest,Ancient,13 - 4,W
15,FaZe,09/04/24,IEM Chengdu 2024,Astralis,Nuke,4 - 13,L
16,FaZe,09/04/24,IEM Chengdu 2024,Astralis,Ancient,7 - 13,L
17,FaZe,31/03/24,PGL CS2 Major Copenhagen 2024,Natus Vincere,Inferno,3 - 13,L
18,FaZe,31/03/24,PGL CS2 Major Copenhagen 2024,Natus Vincere,Mirage,13 - 2,W
19,FaZe,31/03/24,PGL CS2 Major Copenhagen 2024,Natus Vincere,Ancient,9 - 13,L
20,FaZe,28/03/24,PGL CS2 Major Copenhagen 2024,Spirit,Vertigo,16 - 14,W
21,FaZe,28/03/24,PGL CS2 Major Copenhagen 2024,Spirit,Nuke,16 - 19,L
22,FaZe,28/03/24,PGL CS2 Major Copenhagen 2024,Spirit,Mirage,13 - 7,W
23,FaZe,23/03/24,PGL CS2 Major Copenhagen 2024,Imperial,Mirage,13 - 8,W
24,FaZe,23/03/24,PGL CS2 Major Copenhagen 2024,Imperial,Anubis,8 - 13,L
25,FaZe,23/03/24,PGL CS2 Major Copenhagen 2024,Imperial,Nuke,13 - 8,W
26,FaZe,21/03/24,PGL CS2 Major Copenhagen 2024,FURIA,Ancient,13 - 7,W
27,FaZe,16/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Eternal Fire,Nuke,13 - 5,W
28,FaZe,16/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Eternal Fire,Overpass,19 - 17,W
29,FaZe,14/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Falcons,Nuke,13 - 7,W
30,FaZe,11/02/24,IEM Katowice 2024,Spirit,Overpass,3 - 13,L
31,FaZe,11/02/24,IEM Katowice 2024,Spirit,Mirage,11 - 13,L
32,FaZe,11/02/24,IEM Katowice 2024,Spirit,Nuke,9 - 13,L
33,FaZe,09/02/24,IEM Katowice 2024,G2,Ancient,13 - 6,W
34,FaZe,09/02/24,IEM Katowice 2024,G2,Inferno,13 - 9,W
35,FaZe,04/02/24,IEM Katowice 2024,Eternal Fire,Nuke,13 - 5,W
36,FaZe,04/02/24,IEM Katowice 2024,Eternal Fire,Anubis,13 - 16,L
