,team,data,match,opponent,map_map,result,w_l
0,Fluxo,08/12/22,ESL Brazil Premier League Season 13,9z,Ancient,17 - 19,L
1,Fluxo,07/12/22,CCT South America Series 3,FUSION,Ancient,16 - 6,W
2,Fluxo,05/12/22,CCT South America Series 3,Paquetá,Dust2,16 - 13,W
3,Fluxo,23/11/22,BLAST Premier Fall Final 2022,Natus Vincere,Mirage,7 - 16,L
4,Fluxo,22/10/22,BLAST Premier Fall Showdown 2022 Americas,00NATION,Mirage,16 - 10,W
5,Fluxo,15/10/22,ESL Challenger Rotterdam 2022,Outsiders,Inferno,8 - 16,L
6,Fluxo,14/10/22,ESL Challenger Rotterdam 2022,Outsiders,Dust2,18 - 22,L
7,Fluxo,25/09/22,KaBuM! Challenge Cup 2,ODDIK,Mirage,16 - 11,W
8,Fluxo,24/09/22,CCT South America Series 2,Corinthians,Nuke,16 - 9,W
9,Fluxo,21/09/22,KaBuM! Challenge Cup 2,Daotsu,Mirage,16 - 4,W
10,Fluxo,17/09/22,FiReLEAGUE Latin Power Fall 2022 - BLAST Premier Qualifier,ODDIK,Ancient,16 - 6,W
11,Fluxo,16/09/22,ESL Challenger Rotterdam 2022 South America Closed Qualifier,Paquetá,Inferno,16 - 13,W
12,Fluxo,15/09/22,FiReLEAGUE Latin Power Fall 2022 - BLAST Premier Qualifier,WINDINGO,Nuke,19 - 16,W
13,Fluxo,14/09/22,ESL Challenger Rotterdam 2022 South America Closed Qualifier,O PLANO,Overpass,19 - 16,W
14,Fluxo,09/09/22,ESL Challenger Rotterdam 2022 South America Open Qualifier 1,O PLANO,Dust2,16 - 13,W
15,Fluxo,08/09/22,ESL Challenger Rotterdam 2022 South America Open Qualifier 1,SWS,Mirage,16 - 7,W
16,Fluxo,28/08/22,CCT South America Series 1,ODDIK,Mirage,16 - 12,W
17,Fluxo,25/08/22,CCT South America Series 1,The Union,Ancient,16 - 12,W
18,Fluxo,22/08/22,IEM Road to Rio 2022 South America Open Qualifier 2,ARCTIC,Dust2,16 - 9,W
19,Fluxo,18/08/22,IEM Road to Rio 2022 South America Open Qualifier 1,00NATION,Nuke,13 - 16,L
20,Fluxo,17/08/22,IEM Road to Rio 2022 South America Open Qualifier 1,Paquetá,Nuke,16 - 5,W
21,Fluxo,13/08/22,Flow FiReLEAGUE 2022 Brazil Qualifier,Meta,Nuke,16 - 14,W
22,Fluxo,11/08/22,Flow FiReLEAGUE 2022 Brazil Qualifier,ARCTIC,Dust2,16 - 11,W
