,team,data,match,opponent,map_map,result,w_l
0,fnatic,09/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Apeks,Ancient,6 - 13,L
1,fnatic,08/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,KOI,Vertigo,13 - 3,W
2,fnatic,21/03/24,Skyesports Masters 2024 Europe Closed Qualifier,3DMAX,Vertigo,13 - 9,W
3,fnatic,05/03/24,RES Regional Series 1 Europe,Young Ninjas,Overpass,13 - 11,W
4,fnatic,03/03/24,IEM Dallas 2024 Europe Open Qualifier 1,ECSTATIC,Anubis,14 - 16,L
5,fnatic,03/03/24,RES Regional Series 1 Europe,Preasy,Vertigo,13 - 4,W
6,fnatic,28/02/24,RES Regional Series 1 Europe,Preasy,Vertigo,16 - 19,L
7,fnatic,17/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,SAW,Overpass,4 - 13,L
8,fnatic,15/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,AMKAL,Overpass,13 - 11,W
9,fnatic,14/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,BetBoom,Anubis,13 - 6,W
10,fnatic,09/02/24,RES Western European Masters Spring 2024 - BLAST Premier Qualifier,Sprout,Anubis,10 - 13,L
11,fnatic,30/01/24,IEM Chengdu 2024 Europe Open Qualifier 2,Insilio,Nuke,3 - 13,L
12,fnatic,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,ECSTATIC,Overpass,13 - 10,W
13,fnatic,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,BIG,Ancient,13 - 8,W
14,fnatic,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,SAW,Anubis,13 - 16,L
15,fnatic,09/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1,ex-ThunderFlash,Ancient,11 - 13,L
16,fnatic,09/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1,HAVU,Ancient,13 - 8,W
17,fnatic,09/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Apeks,Ancient,6 - 13,L
18,fnatic,09/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Apeks,Inferno,11 - 13,L
19,fnatic,08/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,KOI,Vertigo,13 - 3,W
20,fnatic,21/03/24,Skyesports Masters 2024 Europe Closed Qualifier,3DMAX,Vertigo,13 - 9,W
21,fnatic,21/03/24,Skyesports Masters 2024 Europe Closed Qualifier,3DMAX,Ancient,13 - 3,W
22,fnatic,21/03/24,Skyesports Masters 2024 Europe Closed Qualifier,3DMAX,Inferno,14 - 16,L
23,fnatic,05/03/24,RES Regional Series 1 Europe,Young Ninjas,Overpass,13 - 11,W
24,fnatic,05/03/24,RES Regional Series 1 Europe,Young Ninjas,Vertigo,14 - 16,L
25,fnatic,05/03/24,RES Regional Series 1 Europe,Young Ninjas,Ancient,13 - 6,W
26,fnatic,03/03/24,IEM Dallas 2024 Europe Open Qualifier 1,ECSTATIC,Anubis,14 - 16,L
27,fnatic,03/03/24,RES Regional Series 1 Europe,Preasy,Vertigo,13 - 4,W
28,fnatic,03/03/24,RES Regional Series 1 Europe,Preasy,Ancient,13 - 9,W
29,fnatic,03/03/24,RES Regional Series 1 Europe,Preasy,Inferno,9 - 13,L
30,fnatic,28/02/24,RES Regional Series 1 Europe,Preasy,Vertigo,16 - 19,L
31,fnatic,28/02/24,RES Regional Series 1 Europe,Preasy,Overpass,13 - 6,W
32,fnatic,28/02/24,RES Regional Series 1 Europe,Preasy,Inferno,8 - 13,L
33,fnatic,17/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,SAW,Overpass,4 - 13,L
34,fnatic,17/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,SAW,Vertigo,5 - 13,L
35,fnatic,15/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,AMKAL,Overpass,13 - 11,W
36,fnatic,14/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,BetBoom,Anubis,13 - 6,W
37,fnatic,09/02/24,RES Western European Masters Spring 2024 - BLAST Premier Qualifier,Sprout,Anubis,10 - 13,L
38,fnatic,30/01/24,IEM Chengdu 2024 Europe Open Qualifier 2,Insilio,Nuke,3 - 13,L
39,fnatic,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,ECSTATIC,Overpass,13 - 10,W
40,fnatic,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,ECSTATIC,Ancient,13 - 8,W
41,fnatic,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,BIG,Ancient,13 - 8,W
42,fnatic,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,SAW,Anubis,13 - 16,L
43,fnatic,09/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1,ex-ThunderFlash,Ancient,11 - 13,L
44,fnatic,09/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1,HAVU,Ancient,13 - 8,W
45,fnatic,08/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Apeks,Ancient,16 - 14,W
46,fnatic,23/03/24,Skyesports Masters 2024 Europe Closed Qualifier,BetBoom,Overpass,8 - 13,L
47,fnatic,06/03/24,RES Regional Series 1 Europe,BLEED,Anubis,13 - 10,W
48,fnatic,04/03/24,RES Regional Series 1 Europe,3DMAX,Mirage,13 - 4,W
49,fnatic,03/03/24,IEM Dallas 2024 Europe Open Qualifier 1,GODSENT,Ancient,13 - 5,W
50,fnatic,01/03/24,RES Regional Series 1 Europe,ALTERNATE aTTaX,Ancient,13 - 3,W
51,fnatic,23/02/24,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,GamerLegion,Ancient,7 - 13,L
52,fnatic,16/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,KOI,Ancient,7 - 13,L
53,fnatic,14/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,Virtus.pro,Ancient,3 - 13,L
54,fnatic,09/02/24,RES Western European Masters Spring 2024 - BLAST Premier Qualifier,3DMAX,Vertigo,9 - 13,L
55,fnatic,09/02/24,RES Western European Masters Spring 2024 - BLAST Premier Qualifier,Endpoint,Overpass,13 - 2,W
56,fnatic,30/01/24,IEM Chengdu 2024 Europe Open Qualifier 2,500,Ancient,13 - 11,W
57,fnatic,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,Virtus.pro,Overpass,9 - 13,L
58,fnatic,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,SINNERS,Ancient,13 - 7,W
59,fnatic,10/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1,Entropiq,Anubis,16 - 13,W
60,fnatic,09/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1,ECSTATIC,Ancient,13 - 2,W
61,fnatic,09/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1,PGE Turow,Nuke,13 - 2,W
62,fnatic,08/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Apeks,Ancient,16 - 14,W
63,fnatic,08/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Apeks,Mirage,13 - 11,W
64,fnatic,08/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Apeks,Overpass,7 - 13,L
65,fnatic,23/03/24,Skyesports Masters 2024 Europe Closed Qualifier,BetBoom,Overpass,8 - 13,L
66,fnatic,23/03/24,Skyesports Masters 2024 Europe Closed Qualifier,BetBoom,Nuke,4 - 13,L
67,fnatic,23/03/24,Skyesports Masters 2024 Europe Closed Qualifier,BetBoom,Ancient,13 - 4,W
