,team,data,match,opponent,map_map,result,w_l
0,FORZE,12/12/21,ESL Challenger Anaheim 2022 Europe Closed Qualifier,Eternal Fire,Dust2,11 - 16,L
1,FORZE,11/12/21,ESL Challenger Anaheim 2022 Europe Closed Qualifier,Sprout,Inferno,6 - 16,L
2,FORZE,08/12/21,ESEA Premier Season 39 Europe,Entropiq,Overpass,5 - 16,L
3,FORZE,05/12/21,Exeedme Revolution 2021,AVE,Ancient,22 - 19,W
4,FORZE,02/12/21,Exeedme Revolution 2021,eSuba,Mirage,28 - 26,W
5,FORZE,01/12/21,ESEA Premier Season 39 Europe,AGO,Inferno,9 - 16,L
6,FORZE,28/11/21,KeyDrop Cup 1,hREDS,Mirage,16 - 8,W
7,FORZE,27/11/21,KeyDrop Cup 1,hREDS,Inferno,16 - 12,W
8,FORZE,25/11/21,Pinnacle Fall Series 3,ECSTATIC,Inferno,19 - 17,W
9,FORZE,24/11/21,Pinnacle Fall Series 3,HAVU,Inferno,16 - 9,W
10,FORZE,23/11/21,Pinnacle Fall Series 3,BLINK,Mirage,14 - 16,L
11,FORZE,19/11/21,ESEA Premier Season 39 Europe,Anonymo,Nuke,1 - 16,L
12,FORZE,16/11/21,ESEA Premier Season 39 Europe,DBL PONEY,Dust2,16 - 8,W
13,FORZE,14/11/21,DreamHack Open November 2021,MAD Lions,Vertigo,13 - 16,L
14,FORZE,12/11/21,DreamHack Open November 2021,ENCE,Mirage,16 - 10,W
15,FORZE,10/11/21,DreamHack Open November 2021,ENCE,Nuke,10 - 16,L
16,FORZE,21/10/21,DreamHack Open November 2021 Closed Qualifier,GamerLegion,Mirage,26 - 28,L
17,FORZE,20/10/21,DreamHack Open November 2021 Closed Qualifier,Eternal Fire,Mirage,16 - 13,W
18,FORZE,10/10/21,Gjirafa50 Masters League Season 2 Finals,BLINK,Dust2,16 - 14,W
19,FORZE,09/10/21,Gjirafa50 Masters League Season 2 Finals,Trasko,Overpass,16 - 14,W
20,FORZE,01/10/21,IEM Fall 2021 CIS,Virtus.pro,Inferno,5 - 16,L
21,FORZE,30/09/21,IEM Fall 2021 CIS,K23,Vertigo,16 - 13,W
22,FORZE,29/09/21,IEM Fall 2021 CIS,Unique,Ancient,12 - 16,L
23,FORZE,13/09/21,Gjirafa50 Masters League Season 2,NAVI Junior,Dust2,16 - 13,W
24,FORZE,05/09/21,Gjirafa50 Masters League Season 2,BLINK,Inferno,28 - 25,W
25,FORZE,26/08/21,ESL Pro League Season 14,SINNERS,Ancient,19 - 17,W
26,FORZE,24/08/21,ESL Pro League Season 14,OG,Overpass,8 - 16,L
27,FORZE,21/08/21,ESL Pro League Season 14,Complexity,Ancient,16 - 9,W
28,FORZE,15/07/21,Domination League Season 2,GamerLegion,Nuke,16 - 12,W
29,FORZE,15/07/21,Pinnacle Cup II,SKADE,Mirage,16 - 3,W
30,FORZE,09/07/21,Domination League Season 2,GamerLegion,Overpass,16 - 11,W
31,FORZE,06/07/21,Domination League Season 2,Young Ninjas,Mirage,16 - 5,W
32,FORZE,01/07/21,StarLadder CIS RMR 2021,Nemiga,Inferno,16 - 10,W
33,FORZE,29/06/21,StarLadder CIS RMR 2021,Gambit,Dust2,6 - 16,L
34,FORZE,26/06/21,ESEA Premier Season 37 Europe,AGO,Ancient,15 - 19,L
35,FORZE,24/06/21,ESEA Premier Season 37 Europe,BLINK,Dust2,16 - 5,W
36,FORZE,22/06/21,ESEA Premier Season 37 Europe,GamerLegion,Mirage,16 - 7,W
37,FORZE,18/06/21,StarLadder CIS RMR 2021 Closed Qualifier,EC Kyiv,Inferno,16 - 9,W
38,FORZE,15/06/21,ESEA Premier Season 37 Europe,Nemiga,Mirage,16 - 13,W
39,FORZE,13/06/21,REPUBLEAGUE TIPOS Season 1,SAW,Overpass,4 - 16,L
40,FORZE,10/06/21,REPUBLEAGUE TIPOS Season 1,Young Ninjas,Mirage,16 - 3,W
41,FORZE,07/06/21,ESEA Premier Season 37 Europe,LDLC,Mirage,16 - 12,W
42,FORZE,02/06/21,ESEA Premier Season 37 Europe,SAW,Dust2,16 - 8,W
43,FORZE,26/05/21,EPIC League CIS 2021,Natus Vincere,Mirage,4 - 16,L
44,FORZE,24/05/21,REPUBLEAGUE TIPOS Season 1,Movistar Riders,Overpass,16 - 4,W
45,FORZE,19/05/21,EPIC League CIS 2021,Virtus.pro,Inferno,16 - 11,W
46,FORZE,13/05/21,EPIC League CIS 2021,IN.GAME,Dust2,16 - 7,W
47,FORZE,11/05/21,LOOT.BET Season 9,Fiend,Overpass,13 - 16,L
48,FORZE,05/05/21,Spring Sweet Spring 1,EPG Family,Dust2,16 - 14,W
49,FORZE,04/05/21,Spring Sweet Spring 1,Spirit,Nuke,16 - 8,W
50,FORZE,30/04/21,REPUBLEAGUE TIPOS Season 1,SINNERS,Inferno,5 - 16,L
51,FORZE,29/04/21,Spring Sweet Spring 1,K23,Inferno,14 - 16,L
52,FORZE,27/04/21,Spring Sweet Spring 1,MAD Lions,Nuke,16 - 14,W
53,FORZE,25/04/21,Funspark ULTI 2020 Europe Final,BIG,Nuke,12 - 16,L
54,FORZE,24/04/21,Funspark ULTI 2020 Europe Final,Extra Salt,Nuke,17 - 19,L
55,FORZE,21/04/21,Funspark ULTI 2020 Europe Final,Complexity,Dust2,16 - 14,W
