,team,data,match,opponent,map_map,result,w_l
0,FTW,15/12/22,ESL Challenger League Season 43 Europe,FORZE,Nuke,7 - 16,L
1,FTW,04/12/22,Master League Portugal X Finals,SAW,Vertigo,9 - 16,L
2,FTW,03/12/22,Master League Portugal X Finals,SAW,Inferno,12 - 16,L
3,FTW,29/11/22,ESL Challenger League Season 43 Europe,Endpoint,Ancient,16 - 12,W
4,FTW,27/11/22,OMEN WGR Retake Season 5,Case,Nuke,16 - 14,W
5,FTW,26/11/22,OMEN WGR Retake Season 5,Case,Vertigo,16 - 13,W
6,FTW,08/11/22,ESL Challenger League Season 43 Europe,AGO,Vertigo,16 - 9,W
7,FTW,26/10/22,CCT Central Europe Series 3,Enterprise,Dust2,28 - 26,W
8,FTW,22/10/22,CCT Central Europe Series 3,SC,Dust2,19 - 17,W
9,FTW,23/09/22, CCT Central Europe Series 2,BIG Academy,Overpass,3 - 16,L
10,FTW,19/09/22, CCT Central Europe Series 2,Enterprise,Dust2,16 - 14,W
11,FTW,11/09/22,ESL Pro League Season 16,MIBR,Nuke,17 - 19,L
12,FTW,09/09/22,ESL Pro League Season 16,G2,Ancient,6 - 16,L
13,FTW,07/09/22,ESL Pro League Season 16,FaZe,Overpass,4 - 16,L
14,FTW,10/07/22,OMEN WGR Retake Season 4,SAW,Nuke,7 - 16,L
15,FTW,09/07/22,OMEN WGR Retake Season 4,SAW,Vertigo,10 - 16,L
16,FTW,23/06/22,ESEA Advanced Season 41 Europe,1PIN,Inferno,9 - 16,L
17,FTW,20/06/22,ESL Pro League Season 16 Conference,Illuminar,Vertigo,16 - 12,W
18,FTW,17/06/22,ESL Pro League Season 16 Conference,Sprout,Vertigo,22 - 20,W
19,FTW,15/06/22,ESEA Advanced Season 41 Europe,Iron Branch,Nuke,16 - 10,W
20,FTW,29/05/22,Master League Portugal IX Finals,OFFSET,Inferno,16 - 10,W
21,FTW,28/05/22,Master League Portugal IX Finals,SAW,Vertigo,9 - 16,L
22,FTW,26/04/22,Pinnacle Cup IV,iNation,Inferno,22 - 19,W
23,FTW,14/04/22,ESL Masters Spain Season 11,Fourteen,Inferno,16 - 4,W
24,FTW,12/04/22,IEM Dallas 2022 Europe Open Qualifier 1,HAVU,Nuke,22 - 20,W
25,FTW,26/03/22,NumberOne Season 3 Cup 1,Ambush,Nuke,19 - 22,L
26,FTW,24/03/22,OMEN WGR European Challenge 2022,Falcons,Nuke,7 - 16,L
27,FTW,18/03/22,RTP Arena Spring Cup 2022 - BLAST Premier Qualifier,Rhyno,Ancient,20 - 22,L
28,FTW,02/03/22,PGL Major Antwerp 2022 Europe RMR Open Qualifier 2,SINNERS,Inferno,9 - 16,L
29,FTW,09/02/22,REPUBLEAGUE Season 3 Europe Open Qualifier 1,ARCRED,Inferno,11 - 16,L
30,FTW,09/01/22,NumberOne Season 2 Finals,Ambush,Inferno,16 - 11,W
31,FTW,08/01/22,NumberOne Season 2 Finals,Exalty,Inferno,16 - 8,W
32,FTW,07/01/22,NumberOne Season 2 Finals,INFINITE,Inferno,16 - 8,W
33,FTW,15/12/22,ESL Challenger League Season 43 Europe,FORZE,Nuke,7 - 16,L
34,FTW,15/12/22,ESL Challenger League Season 43 Europe,FORZE,Overpass,13 - 16,L
35,FTW,04/12/22,Master League Portugal X Finals,SAW,Vertigo,9 - 16,L
36,FTW,04/12/22,Master League Portugal X Finals,SAW,Nuke,16 - 14,W
37,FTW,04/12/22,Master League Portugal X Finals,SAW,Overpass,16 - 14,W
38,FTW,04/12/22,Master League Portugal X Finals,SAW,Dust2,9 - 16,L
39,FTW,03/12/22,Master League Portugal X Finals,SAW,Inferno,12 - 16,L
40,FTW,03/12/22,Master League Portugal X Finals,SAW,Dust2,16 - 9,W
41,FTW,03/12/22,Master League Portugal X Finals,SAW,Overpass,13 - 16,L
42,FTW,29/11/22,ESL Challenger League Season 43 Europe,Endpoint,Ancient,16 - 12,W
43,FTW,29/11/22,ESL Challenger League Season 43 Europe,Endpoint,Nuke,16 - 13,W
44,FTW,27/11/22,OMEN WGR Retake Season 5,Case,Nuke,16 - 14,W
45,FTW,27/11/22,OMEN WGR Retake Season 5,Case,Inferno,16 - 13,W
46,FTW,26/11/22,OMEN WGR Retake Season 5,Case,Vertigo,16 - 13,W
47,FTW,08/11/22,ESL Challenger League Season 43 Europe,AGO,Vertigo,16 - 9,W
48,FTW,08/11/22,ESL Challenger League Season 43 Europe,AGO,Dust2,16 - 11,W
49,FTW,08/11/22,ESL Challenger League Season 43 Europe,AGO,Overpass,13 - 16,L
50,FTW,26/10/22,CCT Central Europe Series 3,Enterprise,Dust2,28 - 26,W
51,FTW,26/10/22,CCT Central Europe Series 3,Enterprise,Inferno,16 - 9,W
52,FTW,22/10/22,CCT Central Europe Series 3,SC,Dust2,19 - 17,W
53,FTW,22/10/22,CCT Central Europe Series 3,SC,Nuke,16 - 12,W
54,FTW,23/09/22, CCT Central Europe Series 2,BIG Academy,Overpass,3 - 16,L
55,FTW,23/09/22, CCT Central Europe Series 2,BIG Academy,Vertigo,6 - 16,L
56,FTW,23/09/22, CCT Central Europe Series 2,BIG Academy,Nuke,16 - 13,W
57,FTW,19/09/22, CCT Central Europe Series 2,Enterprise,Dust2,16 - 14,W
58,FTW,19/09/22, CCT Central Europe Series 2,Enterprise,Inferno,16 - 10,W
