,team,data,match,opponent,map_map,result,w_l
0,FURIA,09/04/24,IEM Chengdu 2024,HEROIC,Overpass,11 - 13,L
1,FURIA,08/04/24,IEM Chengdu 2024,Lynn Vision,Ancient,13 - 9,W
2,FURIA,21/03/24,PGL CS2 Major Copenhagen 2024,FaZe,Ancient,7 - 13,L
3,FURIA,20/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,SAW,Ancient,13 - 7,W
4,FURIA,18/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,KOI,Vertigo,13 - 9,W
5,FURIA,17/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,Legacy,Ancient,13 - 16,L
6,FURIA,02/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,Liquid,Mirage,13 - 10,W
7,FURIA,23/02/24,IEM Dallas 2024 South America Closed Qualifier,9z,Ancient,11 - 13,L
8,FURIA,22/02/24,IEM Dallas 2024 South America Closed Qualifier,Imperial,Vertigo,13 - 6,W
9,FURIA,10/02/24,RES Western European Masters Spring 2024 - BLAST Premier Qualifier,ex-Anonymo,Nuke,13 - 10,W
10,FURIA,01/02/24,IEM Katowice 2024 Play-in,Apeks,Ancient,11 - 13,L
11,FURIA,09/04/24,IEM Chengdu 2024,HEROIC,Overpass,11 - 13,L
12,FURIA,09/04/24,IEM Chengdu 2024,HEROIC,Nuke,6 - 13,L
13,FURIA,09/04/24,IEM Chengdu 2024,HEROIC,Ancient,13 - 6,W
14,FURIA,08/04/24,IEM Chengdu 2024,Lynn Vision,Ancient,13 - 9,W
15,FURIA,21/03/24,PGL CS2 Major Copenhagen 2024,FaZe,Ancient,7 - 13,L
16,FURIA,20/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,SAW,Ancient,13 - 7,W
17,FURIA,20/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,SAW,Vertigo,13 - 7,W
18,FURIA,18/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,KOI,Vertigo,13 - 9,W
19,FURIA,18/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,KOI,Overpass,13 - 6,W
20,FURIA,17/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,Legacy,Ancient,13 - 16,L
21,FURIA,02/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,Liquid,Mirage,13 - 10,W
22,FURIA,23/02/24,IEM Dallas 2024 South America Closed Qualifier,9z,Ancient,11 - 13,L
23,FURIA,23/02/24,IEM Dallas 2024 South America Closed Qualifier,9z,Mirage,8 - 13,L
24,FURIA,23/02/24,IEM Dallas 2024 South America Closed Qualifier,9z,Nuke,13 - 8,W
25,FURIA,22/02/24,IEM Dallas 2024 South America Closed Qualifier,Imperial,Vertigo,13 - 6,W
26,FURIA,22/02/24,IEM Dallas 2024 South America Closed Qualifier,Imperial,Nuke,13 - 7,W
27,FURIA,10/02/24,RES Western European Masters Spring 2024 - BLAST Premier Qualifier,ex-Anonymo,Nuke,13 - 10,W
28,FURIA,01/02/24,IEM Katowice 2024 Play-in,Apeks,Ancient,11 - 13,L
29,FURIA,01/02/24,IEM Katowice 2024 Play-in,Apeks,Mirage,13 - 10,W
30,FURIA,01/02/24,IEM Katowice 2024 Play-in,Apeks,Inferno,9 - 13,L
31,FURIA,08/04/24,IEM Chengdu 2024,MOUZ,Mirage,9 - 13,L
32,FURIA,22/03/24,PGL CS2 Major Copenhagen 2024,ECSTATIC,Ancient,7 - 13,L
33,FURIA,21/03/24,PGL CS2 Major Copenhagen 2024,G2,Inferno,3 - 13,L
