,team,data,match,opponent,map_map,result,w_l
0,G2,17/12/21,BLAST Premier World Final 2021,Natus Vincere,Mirage,4 - 16,L
1,G2,15/12/21,BLAST Premier World Final 2021,Ninjas in Pyjamas,Inferno,16 - 14,W
2,G2,04/12/21,IEM Winter 2021,Vitality,Inferno,16 - 9,W
3,G2,02/12/21,IEM Winter 2021,TYLOO,Mirage,16 - 13,W
4,G2,06/11/21,PGL Major Stockholm 2021,HEROIC,Inferno,19 - 15,W
5,G2,31/10/21,PGL Major Stockholm 2021,Entropiq,Dust2,16 - 8,W
6,G2,30/10/21,PGL Major Stockholm 2021,Copenhagen Flames,Ancient,16 - 11,W
7,G2,13/10/21,BLAST Premier Fall Showdown 2021,Lynn Vision,Nuke,16 - 8,W
8,G2,09/10/21,IEM Fall 2021 Europe,Fiend,Mirage,16 - 2,W
9,G2,03/10/21,IEM Fall 2021 Europe,MOUZ,Mirage,16 - 10,W
10,G2,01/10/21,IEM Fall 2021 Europe,Copenhagen Flames,Nuke,16 - 19,L
11,G2,29/09/21,IEM Fall 2021 Europe,AURA,Mirage,16 - 1,W
12,G2,21/09/21,BLAST Premier Fall Groups 2021,Ninjas in Pyjamas,Inferno,9 - 16,L
13,G2,26/08/21,ESL Pro League Season 14,Virtus.pro,Vertigo,7 - 16,L
14,G2,24/08/21,ESL Pro League Season 14,Complexity,Dust2,13 - 16,L
15,G2,21/08/21,ESL Pro League Season 14,SINNERS,Mirage,9 - 16,L
16,G2,17/07/21,IEM Cologne 2021,Astralis,Inferno,16 - 14,W
17,G2,09/07/21,IEM Cologne 2021,BIG,Inferno,16 - 4,W
18,G2,20/06/21,BLAST Premier Spring Final 2021,Natus Vincere,Nuke,13 - 16,L
19,G2,18/06/21,BLAST Premier Spring Final 2021,Complexity,Mirage,16 - 11,W
20,G2,16/06/21,BLAST Premier Spring Final 2021,BIG,Vertigo,10 - 16,L
21,G2,06/06/21,IEM Summer 2021,Vitality,Inferno,16 - 10,W
22,G2,03/06/21,IEM Summer 2021,Extra Salt,Inferno,16 - 1,W
23,G2,27/05/21,Flashpoint 3,MOUZ,Nuke,13 - 16,L
24,G2,20/05/21,Flashpoint 3,HEROIC,Mirage,16 - 7,W
25,G2,08/05/21,DreamHack Masters Spring 2021,Gambit,Vertigo,9 - 16,L
26,G2,01/05/21,DreamHack Masters Spring 2021,Virtus.pro,Inferno,16 - 8,W
27,G2,29/04/21,DreamHack Masters Spring 2021,Gambit,Dust2,4 - 16,L
28,G2,28/04/21,IEM Summer 2021 Closed Qualifier,MOUZ,Dust2,16 - 10,W
29,G2,27/04/21,IEM Summer 2021 Closed Qualifier,FunPlus Phoenix,Inferno,11 - 16,L
30,G2,18/04/21,BLAST Premier Spring Showdown 2021,Spirit,Nuke,19 - 17,W
31,G2,13/04/21,BLAST Premier Spring Showdown 2021,Endpoint,Dust2,16 - 11,W
32,G2,02/04/21,ESL Pro League Season 13,Liquid,Inferno,16 - 14,W
33,G2,17/03/21,ESL Pro League Season 13,FaZe,Inferno,16 - 13,W
34,G2,14/03/21,ESL Pro League Season 13,Vitality,Vertigo,16 - 6,W
