,team,data,match,opponent,map_map,result,w_l
0,Galorys,09/04/24,ESL Challenger League Season 47 South America,BESTIA,Mirage,13 - 5,W
1,Galorys,07/04/24,RES Regional Series 3 LATAM,paiN,Vertigo,11 - 13,L
2,Galorys,27/03/24,ESL Challenger League Season 47 South America,Fluxo,Ancient,14 - 16,L
3,Galorys,26/03/24,ESL Challenger League Season 47 South America,2GAME,Inferno,16 - 14,W
4,Galorys,14/03/24,ESL Challenger League Season 47 South America,W7M,Ancient,13 - 9,W
5,Galorys,11/03/24,RES Regional Series 2 LATAM,LA RUGONETA,Vertigo,18 - 22,L
6,Galorys,08/03/24,RES Regional Series 2 LATAM,ODDIK,Inferno,13 - 9,W
7,Galorys,24/02/24,ESL Challenger League Season 47 South America,Sharks,Ancient,4 - 13,L
8,Galorys,23/02/24,ESL Challenger League Season 47 South America,Corinthians,Anubis,16 - 12,W
9,Galorys,22/02/24,ESL Challenger League Season 47 South America,adalYamigos,Ancient,7 - 13,L
10,Galorys,21/02/24,EPL World Series Americas Season 6,Sharks,Ancient,11 - 13,L
11,Galorys,18/02/24,EPL World Series Americas Season 6,Case,Inferno,13 - 2,W
12,Galorys,17/02/24,RES Regional Series 1 LATAM,Corinthians,Mirage,13 - 2,W
13,Galorys,16/02/24,ESL Challenger League Season 47 South America,Imperial,Mirage,5 - 13,L
14,Galorys,15/02/24,EPL World Series Americas Season 6,9z Academy,Inferno,13 - 4,W
15,Galorys,14/02/24,RES Regional Series 1 LATAM,Sharks,Vertigo,9 - 13,L
16,Galorys,12/02/24,RedZone PRO League 2024 Season 1,inSanitY,Mirage,13 - 5,W
17,Galorys,20/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,Flamengo,Mirage,10 - 13,L
18,Galorys,19/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,Imperial,Nuke,6 - 13,L
19,Galorys,09/04/24,ESL Challenger League Season 47 South America,BESTIA,Mirage,13 - 5,W
20,Galorys,07/04/24,RES Regional Series 3 LATAM,paiN,Vertigo,11 - 13,L
21,Galorys,07/04/24,RES Regional Series 3 LATAM,paiN,Inferno,7 - 13,L
22,Galorys,27/03/24,ESL Challenger League Season 47 South America,Fluxo,Ancient,14 - 16,L
23,Galorys,26/03/24,ESL Challenger League Season 47 South America,2GAME,Inferno,16 - 14,W
24,Galorys,14/03/24,ESL Challenger League Season 47 South America,W7M,Ancient,13 - 9,W
25,Galorys,11/03/24,RES Regional Series 2 LATAM,LA RUGONETA,Vertigo,18 - 22,L
26,Galorys,11/03/24,RES Regional Series 2 LATAM,LA RUGONETA,Anubis,13 - 4,W
27,Galorys,11/03/24,RES Regional Series 2 LATAM,LA RUGONETA,Ancient,9 - 13,L
28,Galorys,08/03/24,RES Regional Series 2 LATAM,ODDIK,Inferno,13 - 9,W
29,Galorys,08/03/24,RES Regional Series 2 LATAM,ODDIK,Nuke,13 - 7,W
30,Galorys,24/02/24,ESL Challenger League Season 47 South America,Sharks,Ancient,4 - 13,L
31,Galorys,23/02/24,ESL Challenger League Season 47 South America,Corinthians,Anubis,16 - 12,W
32,Galorys,22/02/24,ESL Challenger League Season 47 South America,adalYamigos,Ancient,7 - 13,L
33,Galorys,21/02/24,EPL World Series Americas Season 6,Sharks,Ancient,11 - 13,L
34,Galorys,21/02/24,EPL World Series Americas Season 6,Sharks,Inferno,19 - 16,W
35,Galorys,21/02/24,EPL World Series Americas Season 6,Sharks,Anubis,10 - 13,L
36,Galorys,18/02/24,EPL World Series Americas Season 6,Case,Inferno,13 - 2,W
37,Galorys,18/02/24,EPL World Series Americas Season 6,Case,Mirage,13 - 7,W
38,Galorys,18/02/24,EPL World Series Americas Season 6,Case,Ancient,4 - 13,L
39,Galorys,17/02/24,RES Regional Series 1 LATAM,Corinthians,Mirage,13 - 2,W
40,Galorys,17/02/24,RES Regional Series 1 LATAM,Corinthians,Vertigo,16 - 12,W
41,Galorys,16/02/24,ESL Challenger League Season 47 South America,Imperial,Mirage,5 - 13,L
42,Galorys,15/02/24,EPL World Series Americas Season 6,9z Academy,Inferno,13 - 4,W
43,Galorys,15/02/24,EPL World Series Americas Season 6,9z Academy,Ancient,13 - 11,W
44,Galorys,14/02/24,RES Regional Series 1 LATAM,Sharks,Vertigo,9 - 13,L
45,Galorys,14/02/24,RES Regional Series 1 LATAM,Sharks,Nuke,2 - 13,L
46,Galorys,12/02/24,RedZone PRO League 2024 Season 1,inSanitY,Mirage,13 - 5,W
47,Galorys,12/02/24,RedZone PRO League 2024 Season 1,inSanitY,Anubis,13 - 8,W
