,team,data,match,opponent,map_map,result,w_l
0,GamerLegion,02/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Monte,Vertigo,10 - 13,L
1,GamerLegion,01/04/24,Thunderpick World Championship 2024 EU Closed Qualifier 1,GUN5,Overpass,13 - 10,W
2,GamerLegion,19/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,Eternal Fire,Vertigo,11 - 13,L
3,GamerLegion,17/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,SAW,Vertigo,9 - 13,L
4,GamerLegion,08/03/24,BLAST Premier Spring Showdown 2024,BIG,Ancient,6 - 13,L
5,GamerLegion,24/02/24,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,Guild Eagles,Mirage,13 - 11,W
6,GamerLegion,22/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,HEROIC,Mirage,9 - 13,L
7,GamerLegion,20/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,ENCE,Nuke,14 - 16,L
8,GamerLegion,19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Vitality,Nuke,2 - 13,L
9,GamerLegion,05/02/24,IEM Katowice 2024,MOUZ,Ancient,6 - 13,L
10,GamerLegion,01/02/24,IEM Katowice 2024 Play-in,Virtus.pro,Overpass,13 - 9,W
11,GamerLegion,26/01/24,BLAST Premier Spring Groups 2024,FaZe,Inferno,5 - 13,L
12,GamerLegion,24/01/24,BLAST Premier Spring Groups 2024,FaZe,Ancient,16 - 13,W
13,GamerLegion,02/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Monte,Vertigo,10 - 13,L
14,GamerLegion,02/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Monte,Overpass,11 - 13,L
15,GamerLegion,02/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Monte,Mirage,16 - 12,W
16,GamerLegion,01/04/24,Thunderpick World Championship 2024 EU Closed Qualifier 1,GUN5,Overpass,13 - 10,W
17,GamerLegion,01/04/24,Thunderpick World Championship 2024 EU Closed Qualifier 1,GUN5,Mirage,11 - 13,L
18,GamerLegion,01/04/24,Thunderpick World Championship 2024 EU Closed Qualifier 1,GUN5,Ancient,13 - 10,W
19,GamerLegion,19/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,Eternal Fire,Vertigo,11 - 13,L
20,GamerLegion,19/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,Eternal Fire,Inferno,2 - 13,L
21,GamerLegion,19/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,Eternal Fire,Overpass,13 - 4,W
22,GamerLegion,17/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,SAW,Vertigo,9 - 13,L
23,GamerLegion,08/03/24,BLAST Premier Spring Showdown 2024,BIG,Ancient,6 - 13,L
24,GamerLegion,08/03/24,BLAST Premier Spring Showdown 2024,BIG,Overpass,13 - 7,W
25,GamerLegion,08/03/24,BLAST Premier Spring Showdown 2024,BIG,Vertigo,7 - 13,L
26,GamerLegion,24/02/24,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,Guild Eagles,Mirage,13 - 11,W
27,GamerLegion,24/02/24,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,Guild Eagles,Vertigo,13 - 11,W
28,GamerLegion,22/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,HEROIC,Mirage,9 - 13,L
29,GamerLegion,22/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,HEROIC,Overpass,5 - 13,L
30,GamerLegion,20/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,ENCE,Nuke,14 - 16,L
31,GamerLegion,19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Vitality,Nuke,2 - 13,L
32,GamerLegion,05/02/24,IEM Katowice 2024,MOUZ,Ancient,6 - 13,L
33,GamerLegion,05/02/24,IEM Katowice 2024,MOUZ,Overpass,14 - 16,L
34,GamerLegion,01/02/24,IEM Katowice 2024 Play-in,Virtus.pro,Overpass,13 - 9,W
35,GamerLegion,01/02/24,IEM Katowice 2024 Play-in,Virtus.pro,Inferno,5 - 13,L
36,GamerLegion,01/02/24,IEM Katowice 2024 Play-in,Virtus.pro,Vertigo,13 - 3,W
37,GamerLegion,26/01/24,BLAST Premier Spring Groups 2024,FaZe,Inferno,5 - 13,L
38,GamerLegion,26/01/24,BLAST Premier Spring Groups 2024,FaZe,Overpass,16 - 12,W
39,GamerLegion,26/01/24,BLAST Premier Spring Groups 2024,FaZe,Ancient,5 - 13,L
40,GamerLegion,24/01/24,BLAST Premier Spring Groups 2024,FaZe,Ancient,16 - 13,W
41,GamerLegion,24/01/24,BLAST Premier Spring Groups 2024,FaZe,Overpass,13 - 11,W
42,GamerLegion,02/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Blessed,Anubis,5 - 13,L
43,GamerLegion,20/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,Imperial,Nuke,5 - 13,L
44,GamerLegion,18/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,Legacy,Vertigo,13 - 4,W
45,GamerLegion,17/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,AMKAL,Overpass,13 - 8,W
46,GamerLegion,24/02/24,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,9 Pandas,Nuke,11 - 13,L
47,GamerLegion,23/02/24,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,fnatic,Ancient,13 - 7,W
48,GamerLegion,21/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,OG,Mirage,13 - 9,W
49,GamerLegion,19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,PERA,Nuke,13 - 6,W
50,GamerLegion,06/02/24,IEM Katowice 2024,HEROIC,Nuke,8 - 13,L
51,GamerLegion,04/02/24,IEM Katowice 2024,Monte,Ancient,13 - 5,W
52,GamerLegion,31/01/24,IEM Katowice 2024 Play-in,M80,Nuke,13 - 10,W
53,GamerLegion,25/01/24,BLAST Premier Spring Groups 2024,Liquid,Mirage,7 - 13,L
54,GamerLegion,02/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Blessed,Anubis,5 - 13,L
55,GamerLegion,02/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Blessed,Overpass,16 - 14,W
56,GamerLegion,02/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Blessed,Ancient,14 - 16,L
57,GamerLegion,20/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,Imperial,Nuke,5 - 13,L
58,GamerLegion,20/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,Imperial,Mirage,6 - 13,L
59,GamerLegion,20/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,Imperial,Overpass,16 - 12,W
60,GamerLegion,18/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,Legacy,Vertigo,13 - 4,W
61,GamerLegion,17/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,AMKAL,Overpass,13 - 8,W
62,GamerLegion,24/02/24,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,9 Pandas,Nuke,11 - 13,L
63,GamerLegion,24/02/24,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,9 Pandas,Ancient,8 - 13,L
64,GamerLegion,24/02/24,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,9 Pandas,Overpass,16 - 14,W
65,GamerLegion,23/02/24,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,fnatic,Ancient,13 - 7,W
66,GamerLegion,23/02/24,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,fnatic,Vertigo,16 - 14,W
67,GamerLegion,21/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,OG,Mirage,13 - 9,W
68,GamerLegion,21/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,OG,Overpass,13 - 8,W
69,GamerLegion,19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,PERA,Nuke,13 - 6,W
70,GamerLegion,06/02/24,IEM Katowice 2024,HEROIC,Nuke,8 - 13,L
