,team,data,match,opponent,map_map,result,w_l
0,Gods Reign,17/12/23,Dust2 India 1xBet Masters 5,KingPins,Overpass,13 - 16,L
1,Gods Reign,26/11/23,Dust2 India 1xBet Masters 4,Marcos,Ancient,15 - 19,L
2,Gods Reign,17/09/23,Dust2 India 1xBet Masters 2,C0HESION,Overpass,16 - 11,W
3,Gods Reign,26/08/23,Skyesports Masters 2023 Finals,Marcos,Ancient,16 - 6,W
4,Gods Reign,17/12/23,Dust2 India 1xBet Masters 5,KingPins,Overpass,13 - 16,L
5,Gods Reign,17/12/23,Dust2 India 1xBet Masters 5,KingPins,Ancient,13 - 9,W
6,Gods Reign,17/12/23,Dust2 India 1xBet Masters 5,KingPins,Mirage,10 - 13,L
7,Gods Reign,26/11/23,Dust2 India 1xBet Masters 4,Marcos,Ancient,15 - 19,L
8,Gods Reign,26/11/23,Dust2 India 1xBet Masters 4,Marcos,Vertigo,6 - 13,L
9,Gods Reign,17/09/23,Dust2 India 1xBet Masters 2,C0HESION,Overpass,16 - 11,W
10,Gods Reign,17/09/23,Dust2 India 1xBet Masters 2,C0HESION,Ancient,16 - 7,W
11,Gods Reign,26/08/23,Skyesports Masters 2023 Finals,Marcos,Ancient,16 - 6,W
12,Gods Reign,26/08/23,Skyesports Masters 2023 Finals,Marcos,Overpass,16 - 2,W
13,Gods Reign,17/12/23,Dust2 India 1xBet Masters 5,Ikari,Ancient,13 - 10,W
14,Gods Reign,30/09/23,Skyesports Souvenir 2023,Shush,Inferno,19 - 16,W
15,Gods Reign,27/08/23,Skyesports Masters 2023 Finals,Revenant,Ancient,16 - 8,W
16,Gods Reign,17/12/23,Dust2 India 1xBet Masters 5,Ikari,Ancient,13 - 10,W
17,Gods Reign,17/12/23,Dust2 India 1xBet Masters 5,Ikari,Anubis,13 - 3,W
18,Gods Reign,30/09/23,Skyesports Souvenir 2023,Shush,Inferno,19 - 16,W
19,Gods Reign,30/09/23,Skyesports Souvenir 2023,Shush,Overpass,9 - 16,L
20,Gods Reign,30/09/23,Skyesports Souvenir 2023,Shush,Mirage,16 - 14,W
21,Gods Reign,27/08/23,Skyesports Masters 2023 Finals,Revenant,Ancient,16 - 8,W
22,Gods Reign,27/08/23,Skyesports Masters 2023 Finals,Revenant,Anubis,16 - 11,W
