,team,data,match,opponent,map_map,result,w_l
0,GODSENT,12/03/24,ESEA Advanced Season 48 Europe,MOUZ NXT,Ancient,7 - 13,L
1,GODSENT,09/03/24,ESL Challenger Jönköping 2024 Sweden Open Qualifier,BLUDS,Mirage,13 - 16,L
2,GODSENT,07/03/24,YaLLa Compass Spring 2024 Contenders,Passion UA,Vertigo,8 - 13,L
3,GODSENT,06/03/24,European Pro League Season 14,Sampi,Overpass,9 - 13,L
4,GODSENT,04/03/24,Elisa Invitational Spring 2024 Contenders,BLEED,Vertigo,17 - 19,L
5,GODSENT,02/03/24,European Pro League Season 14,Permitta,Overpass,11 - 13,L
6,GODSENT,27/02/24,ESL Challenger Melbourne 2024 Europe Open Qualifier,Lotus,Ancient,9 - 13,L
7,GODSENT,08/02/24,YaLLa Compass Spring 2024 Contenders,Sangal,Vertigo,13 - 9,W
8,GODSENT,30/01/24,YaLLa Compass Spring 2024 Contenders,500,Inferno,13 - 6,W
9,GODSENT,23/01/24,European Pro League Season 13,TSM,Mirage,13 - 6,W
10,GODSENT,12/03/24,ESEA Advanced Season 48 Europe,MOUZ NXT,Ancient,7 - 13,L
11,GODSENT,12/03/24,ESEA Advanced Season 48 Europe,MOUZ NXT,Vertigo,4 - 13,L
12,GODSENT,12/03/24,ESEA Advanced Season 48 Europe,MOUZ NXT,Overpass,13 - 10,W
13,GODSENT,09/03/24,ESL Challenger Jönköping 2024 Sweden Open Qualifier,BLUDS,Mirage,13 - 16,L
14,GODSENT,07/03/24,YaLLa Compass Spring 2024 Contenders,Passion UA,Vertigo,8 - 13,L
15,GODSENT,07/03/24,YaLLa Compass Spring 2024 Contenders,Passion UA,Ancient,7 - 13,L
16,GODSENT,07/03/24,YaLLa Compass Spring 2024 Contenders,Passion UA,Mirage,13 - 11,W
17,GODSENT,06/03/24,European Pro League Season 14,Sampi,Overpass,9 - 13,L
18,GODSENT,06/03/24,European Pro League Season 14,Sampi,Ancient,10 - 13,L
19,GODSENT,04/03/24,Elisa Invitational Spring 2024 Contenders,BLEED,Vertigo,17 - 19,L
20,GODSENT,04/03/24,Elisa Invitational Spring 2024 Contenders,BLEED,Ancient,16 - 19,L
21,GODSENT,04/03/24,Elisa Invitational Spring 2024 Contenders,BLEED,Inferno,13 - 10,W
22,GODSENT,02/03/24,European Pro League Season 14,Permitta,Overpass,11 - 13,L
23,GODSENT,02/03/24,European Pro League Season 14,Permitta,Anubis,7 - 13,L
24,GODSENT,27/02/24,ESL Challenger Melbourne 2024 Europe Open Qualifier,Lotus,Ancient,9 - 13,L
25,GODSENT,08/02/24,YaLLa Compass Spring 2024 Contenders,Sangal,Vertigo,13 - 9,W
26,GODSENT,08/02/24,YaLLa Compass Spring 2024 Contenders,Sangal,Mirage,13 - 8,W
27,GODSENT,30/01/24,YaLLa Compass Spring 2024 Contenders,500,Inferno,13 - 6,W
28,GODSENT,30/01/24,YaLLa Compass Spring 2024 Contenders,500,Mirage,13 - 9,W
29,GODSENT,23/01/24,European Pro League Season 13,TSM,Mirage,13 - 6,W
30,GODSENT,23/01/24,European Pro League Season 13,TSM,Ancient,16 - 14,W
31,GODSENT,23/01/24,European Pro League Season 13,TSM,Inferno,4 - 13,L
32,GODSENT,10/03/24,ESEA Advanced Season 48 Europe,ESC,Vertigo,13 - 11,W
33,GODSENT,09/03/24,Elisa Invitational Spring 2024 Contenders,Young Ninjas,Mirage,7 - 13,L
34,GODSENT,06/03/24,ESEA Advanced Season 48 Europe,Zero Tenacity,Vertigo,17 - 19,L
35,GODSENT,05/03/24,YaLLa Compass Spring 2024 Contenders,Endpoint,Ancient,6 - 13,L
36,GODSENT,03/03/24,IEM Dallas 2024 Europe Open Qualifier 1,fnatic,Ancient,5 - 13,L
37,GODSENT,29/02/24,YaLLa Compass Spring 2024 Contenders,BLEED,Ancient,5 - 13,L
38,GODSENT,27/02/24,Elisa Invitational Spring 2024 Contenders,ex-ENEIDA,Overpass,9 - 13,L
39,GODSENT,31/01/24,European Pro League Season 13,TSM,Mirage,4 - 13,L
40,GODSENT,27/01/24,European Pro League Season 13,SINNERS,Inferno,10 - 13,L
41,GODSENT,10/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,IKLA,Nuke,14 - 16,L
42,GODSENT,10/03/24,ESEA Advanced Season 48 Europe,ESC,Vertigo,13 - 11,W
43,GODSENT,10/03/24,ESEA Advanced Season 48 Europe,ESC,Nuke,13 - 10,W
44,GODSENT,10/03/24,ESEA Advanced Season 48 Europe,ESC,Mirage,2 - 13,L
45,GODSENT,09/03/24,Elisa Invitational Spring 2024 Contenders,Young Ninjas,Mirage,7 - 13,L
46,GODSENT,09/03/24,Elisa Invitational Spring 2024 Contenders,Young Ninjas,Vertigo,14 - 16,L
47,GODSENT,06/03/24,ESEA Advanced Season 48 Europe,Zero Tenacity,Vertigo,17 - 19,L
