,team,data,match,opponent,map_map,result,w_l
0,Grayhound,04/12/22,ESL Australia & NZ Championship Season 15,Rooster,Mirage,16 - 6,W
1,Grayhound,01/12/22,ESL Australia & NZ Championship Season 15,Encore,Vertigo,16 - 1,W
2,Grayhound,02/11/22,IEM Rio Major 2022 Challengers Stage,Vitality,Mirage,12 - 16,L
3,Grayhound,01/11/22,IEM Rio Major 2022 Challengers Stage,Cloud9,Dust2,19 - 17,W
4,Grayhound,12/10/22,ESL Australia & NZ Championship Season 15,DGG,Ancient,16 - 3,W
5,Grayhound,08/10/22, IEM Road to Rio 2022 Asia RMR,IHC,Mirage,16 - 19,L
6,Grayhound,20/09/22,ESL Australia & NZ Championship Season 15,Encore,Ancient,16 - 8,W
7,Grayhound,17/09/22,Fortress OCE Masters Fall 2022 Finals - BLAST Premier Qualifier,Encore,Inferno,16 - 13,W
8,Grayhound,10/09/22,Fortress OCE Masters Fall 2022 - BLAST Premier Qualifier,DGG,Inferno,16 - 3,W
9,Grayhound,03/09/22,ESL Challenger Melbourne 2022,Imperial,Nuke,12 - 16,L
10,Grayhound,02/09/22,ESL Challenger Melbourne 2022,paiN,Nuke,12 - 16,L
11,Grayhound,02/12/22,ESL Australia & NZ Championship Season 15,VERTEX,Inferno,16 - 8,W
12,Grayhound,02/12/22,ESL Australia & NZ Championship Season 15,VERTEX,Nuke,16 - 8,W
13,Grayhound,30/11/22,ESL Australia & NZ Championship Season 15,God's Work,Inferno,16 - 5,W
14,Grayhound,30/11/22,ESL Australia & NZ Championship Season 15,God's Work,Dust2,16 - 9,W
15,Grayhound,01/11/22,IEM Rio Major 2022 Challengers Stage,BIG,Dust2,6 - 16,L
16,Grayhound,31/10/22,IEM Rio Major 2022 Challengers Stage,OG,Inferno,5 - 16,L
17,Grayhound,09/10/22, IEM Road to Rio 2022 Asia RMR,JiJieHao International,Inferno,16 - 12,W
18,Grayhound,09/10/22, IEM Road to Rio 2022 Asia RMR,JiJieHao International,Ancient,16 - 11,W
19,Grayhound,07/10/22, IEM Road to Rio 2022 Asia RMR,Rare Atom,Vertigo,19 - 17,W
20,Grayhound,07/10/22, IEM Road to Rio 2022 Asia RMR,Rare Atom,Ancient,2 - 16,L
21,Grayhound,07/10/22, IEM Road to Rio 2022 Asia RMR,Rare Atom,Inferno,16 - 9,W
22,Grayhound,18/09/22,Fortress OCE Masters Fall 2022 Finals - BLAST Premier Qualifier,VERTEX,Nuke,14 - 16,L
23,Grayhound,18/09/22,Fortress OCE Masters Fall 2022 Finals - BLAST Premier Qualifier,VERTEX,Mirage,5 - 16,L
24,Grayhound,18/09/22,Fortress OCE Masters Fall 2022 Finals - BLAST Premier Qualifier,VERTEX,Dust2,16 - 11,W
25,Grayhound,15/09/22,ESL Australia & NZ Championship Season 15,Meat Grinders,Inferno,16 - 2,W
26,Grayhound,15/09/22,ESL Australia & NZ Championship Season 15,Meat Grinders,Mirage,16 - 1,W
27,Grayhound,10/09/22,Fortress OCE Masters Fall 2022 - BLAST Premier Qualifier,yellow,Dust2,16 - 3,W
28,Grayhound,03/09/22,ESL Challenger Melbourne 2022,VERTEX,Inferno,16 - 5,W
29,Grayhound,03/09/22,ESL Challenger Melbourne 2022,VERTEX,Vertigo,16 - 3,W
30,Grayhound,04/12/22,ESL Australia & NZ Championship Season 15,Rooster,Mirage,16 - 6,W
31,Grayhound,04/12/22,ESL Australia & NZ Championship Season 15,Rooster,Inferno,16 - 12,W
32,Grayhound,01/12/22,ESL Australia & NZ Championship Season 15,Encore,Vertigo,16 - 1,W
33,Grayhound,01/12/22,ESL Australia & NZ Championship Season 15,Encore,Dust2,16 - 3,W
34,Grayhound,01/12/22,ESL Australia & NZ Championship Season 15,Encore,Nuke,16 - 19,L
35,Grayhound,02/11/22,IEM Rio Major 2022 Challengers Stage,Vitality,Mirage,12 - 16,L
36,Grayhound,02/11/22,IEM Rio Major 2022 Challengers Stage,Vitality,Inferno,6 - 16,L
37,Grayhound,01/11/22,IEM Rio Major 2022 Challengers Stage,Cloud9,Dust2,19 - 17,W
38,Grayhound,12/10/22,ESL Australia & NZ Championship Season 15,DGG,Ancient,16 - 3,W
39,Grayhound,12/10/22,ESL Australia & NZ Championship Season 15,DGG,Vertigo,16 - 6,W
40,Grayhound,08/10/22, IEM Road to Rio 2022 Asia RMR,IHC,Mirage,16 - 19,L
41,Grayhound,08/10/22, IEM Road to Rio 2022 Asia RMR,IHC,Inferno,12 - 16,L
42,Grayhound,20/09/22,ESL Australia & NZ Championship Season 15,Encore,Ancient,16 - 8,W
43,Grayhound,20/09/22,ESL Australia & NZ Championship Season 15,Encore,Nuke,16 - 12,W
44,Grayhound,17/09/22,Fortress OCE Masters Fall 2022 Finals - BLAST Premier Qualifier,Encore,Inferno,16 - 13,W
