,team,data,match,opponent,map_map,result,w_l
0,Guild Eagles,12/12/23,YaLLa Compass Fall 2023,Aurora,Ancient,8 - 13,L
1,Guild Eagles,07/12/23,CCT 2023 Online Finals 5,Aurora,Ancient,6 - 13,L
2,Guild Eagles,06/12/23,CCT 2023 Online Finals 5,G2,Overpass,13 - 11,W
3,Guild Eagles,04/12/23,CCT 2023 Online Finals 5,ALTERNATE aTTaX,Ancient,16 - 14,W
4,Guild Eagles,01/12/23,CCT 2023 Online Finals 5,VERTEX,Anubis,13 - 6,W
5,Guild Eagles,26/11/23,RES Adriatic League Season 3,Zero Tenacity,Anubis,13 - 10,W
6,Guild Eagles,23/11/23,RES Adriatic League Season 3,The Suspect,Anubis,13 - 9,W
7,Guild Eagles,18/11/23,A1 Gaming League Season 7,Gucci Academy,Anubis,6 - 13,L
8,Guild Eagles,16/11/23,CCT East Europe Series 4,Space,Mirage,13 - 16,L
9,Guild Eagles,12/12/23,YaLLa Compass Fall 2023,Aurora,Ancient,8 - 13,L
10,Guild Eagles,12/12/23,YaLLa Compass Fall 2023,Aurora,Mirage,3 - 13,L
11,Guild Eagles,07/12/23,CCT 2023 Online Finals 5,Aurora,Ancient,6 - 13,L
12,Guild Eagles,07/12/23,CCT 2023 Online Finals 5,Aurora,Mirage,16 - 12,W
13,Guild Eagles,07/12/23,CCT 2023 Online Finals 5,Aurora,Anubis,12 - 16,L
14,Guild Eagles,06/12/23,CCT 2023 Online Finals 5,G2,Overpass,13 - 11,W
15,Guild Eagles,06/12/23,CCT 2023 Online Finals 5,G2,Inferno,4 - 13,L
16,Guild Eagles,06/12/23,CCT 2023 Online Finals 5,G2,Mirage,13 - 3,W
17,Guild Eagles,04/12/23,CCT 2023 Online Finals 5,ALTERNATE aTTaX,Ancient,16 - 14,W
18,Guild Eagles,04/12/23,CCT 2023 Online Finals 5,ALTERNATE aTTaX,Anubis,13 - 9,W
19,Guild Eagles,04/12/23,CCT 2023 Online Finals 5,ALTERNATE aTTaX,Overpass,7 - 13,L
20,Guild Eagles,01/12/23,CCT 2023 Online Finals 5,VERTEX,Anubis,13 - 6,W
21,Guild Eagles,01/12/23,CCT 2023 Online Finals 5,VERTEX,Vertigo,9 - 13,L
22,Guild Eagles,01/12/23,CCT 2023 Online Finals 5,VERTEX,Mirage,13 - 7,W
23,Guild Eagles,26/11/23,RES Adriatic League Season 3,Zero Tenacity,Anubis,13 - 10,W
24,Guild Eagles,26/11/23,RES Adriatic League Season 3,Zero Tenacity,Mirage,13 - 11,W
25,Guild Eagles,23/11/23,RES Adriatic League Season 3,The Suspect,Anubis,13 - 9,W
26,Guild Eagles,23/11/23,RES Adriatic League Season 3,The Suspect,Mirage,13 - 3,W
27,Guild Eagles,18/11/23,A1 Gaming League Season 7,Gucci Academy,Anubis,6 - 13,L
28,Guild Eagles,18/11/23,A1 Gaming League Season 7,Gucci Academy,Ancient,8 - 13,L
29,Guild Eagles,16/11/23,CCT East Europe Series 4,Space,Mirage,13 - 16,L
30,Guild Eagles,16/11/23,CCT East Europe Series 4,Space,Vertigo,13 - 6,W
31,Guild Eagles,16/11/23,CCT East Europe Series 4,Space,Ancient,13 - 16,L
32,Guild Eagles,11/12/23,YaLLa Compass Fall 2023,Anonymo,Mirage,13 - 4,W
33,Guild Eagles,06/12/23,CCT 2023 Online Finals 5,9 Pandas,Anubis,13 - 8,W
34,Guild Eagles,05/12/23,CCT 2023 Online Finals 5,Anonymo,Overpass,13 - 9,W
35,Guild Eagles,03/12/23,CCT 2023 Online Finals 5,BIG,Ancient,9 - 13,L
36,Guild Eagles,30/11/23,YaLLa Compass Fall 2023,ECSTATIC,Overpass,13 - 8,W
37,Guild Eagles,25/11/23,RES Adriatic League Season 3,Zero Tenacity,Vertigo,13 - 8,W
38,Guild Eagles,22/11/23,YaLLa Compass Fall 2023,GODSENT,Ancient,13 - 8,W
