,team,data,match,opponent,map_map,result,w_l
0,HAVU,02/12/23,Elisa Masters Espoo 2023,FURIA,Nuke,1 - 13,L
1,HAVU,29/11/23,Elisa Masters Espoo 2023,ENCE,Nuke,13 - 6,W
2,HAVU,01/11/23,CCT East Europe Series 4 Closed Qualifier,BIG Academy,Mirage,6 - 13,L
3,HAVU,31/10/23,CCT East Europe Series 4 Closed Qualifier,Illuminar,Anubis,3 - 13,L
4,HAVU,24/10/23,European Pro League Season 11,Espionage,Ancient,13 - 5,W
5,HAVU,20/09/23,CCT 2023 Online Finals 3,ALTERNATE aTTaX,Ancient,10 - 16,L
6,HAVU,16/09/23,Pelaajat Nordic Masters Fall 2023 - BLAST Premier Qualifier,ECSTATIC,Nuke,8 - 16,L
7,HAVU,14/09/23,CCT North Europe Series 8 Closed Qualifier,Aurora Young Blud,Mirage,11 - 16,L
8,HAVU,09/09/23,Pelaajat Series Fall 2023,JANO,Ancient,12 - 16,L
9,HAVU,05/08/23,Elisa Esports eSM 2023,ENCE Academy,Inferno,16 - 11,W
10,HAVU,03/08/23,Elisa Esports eSM 2023,Enhanced,Vertigo,16 - 3,W
11,HAVU,26/07/23,CCT North Europe Series 6,los kogutos,Vertigo,6 - 16,L
12,HAVU,22/07/23,CCT North Europe Series 6,ENCE Academy,Vertigo,16 - 8,W
13,HAVU,18/07/23,CCT North Europe Series 6,ThunderFlash,Nuke,7 - 16,L
14,HAVU,08/06/23,CCT West Europe Series 4,Movistar Riders,Vertigo,19 - 17,W
15,HAVU,06/06/23,CCT West Europe Series 4,PORTUGAL,Mirage,16 - 14,W
16,HAVU,01/06/23,Elisa Invitational Spring 2023,PROSPECTS,Inferno,16 - 14,W
17,HAVU,31/05/23,CCT West Europe Series 4,Illuminar,Inferno,25 - 23,W
18,HAVU,28/05/23,Elisa Open Finland Season 5,ENCE Academy,Mirage,5 - 16,L
19,HAVU,26/05/23,Elisa Open Finland Season 5,FcottoNd,Ancient,16 - 10,W
20,HAVU,23/05/23,CCT 2023 Online Finals 1,FORZE,Inferno,11 - 16,L
21,HAVU,03/05/23,CCT West Europe Series 3,EYEBALLERS,Ancient,16 - 11,W
22,HAVU,01/05/23,Elisa Invitational Spring 2023,Apeks,Vertigo,8 - 16,L
23,HAVU,25/04/23,CCT West Europe Series 3,HEET,Inferno,8 - 16,L
24,HAVU,23/04/23,CCT West Europe Series 3,BIG Academy,Inferno,16 - 7,W
25,HAVU,21/03/23,CCT West Europe Series 2,BIG,Mirage,12 - 16,L
26,HAVU,17/03/23,Pelaajat Nordic Masters Spring 2023 - BLAST Premier Qualifier,VISU,Nuke,16 - 11,W
27,HAVU,17/03/23,Pelaajat Nordic Masters Spring 2023 - BLAST Premier Qualifier,VISU,Nuke,16 - 12,W
28,HAVU,14/03/23,CCT West Europe Series 2,Viperio,Overpass,16 - 13,W
29,HAVU,12/03/23,CCT West Europe Series 2,Spirit Academy,Inferno,17 - 19,L
30,HAVU,10/03/23,CCT West Europe Series 2,MOUZ NXT,Ancient,16 - 12,W
31,HAVU,06/03/23,CCT North Europe Series 4,SINNERS,Nuke,16 - 10,W
32,HAVU,01/03/23,CCT North Europe Series 4,Into the Breach,Mirage,16 - 11,W
33,HAVU,23/02/23,Elisa Invitational Winter 2023,Monte,Nuke,16 - 10,W
34,HAVU,20/02/23,BetBoom Playlist Urbanistic 2023,1WIN,Nuke,8 - 16,L
35,HAVU,18/02/23,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,Into the Breach,Mirage,8 - 16,L
36,HAVU,17/02/23,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,Eternal Fire,Inferno,10 - 16,L
37,HAVU,16/02/23,BLAST.tv Paris Major 2023 Europe RMR Closed Qualifier A,B8,Ancient,22 - 19,W
38,HAVU,04/02/23,CCT North Europe Series 3,Copenhagen Flames,Ancient,16 - 19,L
39,HAVU,30/01/23,CCT North Europe Series 3,Aurora,Anubis,13 - 16,L
40,HAVU,28/01/23,CCT North Europe Series 3,SINNERS,Anubis,16 - 4,W
41,HAVU,02/12/23,Elisa Masters Espoo 2023,FURIA,Nuke,1 - 13,L
42,HAVU,02/12/23,Elisa Masters Espoo 2023,FURIA,Mirage,7 - 13,L
43,HAVU,29/11/23,Elisa Masters Espoo 2023,ENCE,Nuke,13 - 6,W
44,HAVU,01/11/23,CCT East Europe Series 4 Closed Qualifier,BIG Academy,Mirage,6 - 13,L
45,HAVU,01/11/23,CCT East Europe Series 4 Closed Qualifier,BIG Academy,Ancient,6 - 13,L
46,HAVU,31/10/23,CCT East Europe Series 4 Closed Qualifier,Illuminar,Anubis,3 - 13,L
47,HAVU,31/10/23,CCT East Europe Series 4 Closed Qualifier,Illuminar,Ancient,8 - 13,L
48,HAVU,24/10/23,European Pro League Season 11,Espionage,Ancient,13 - 5,W
49,HAVU,24/10/23,European Pro League Season 11,Espionage,Nuke,13 - 11,W
50,HAVU,20/09/23,CCT 2023 Online Finals 3,ALTERNATE aTTaX,Ancient,10 - 16,L
51,HAVU,20/09/23,CCT 2023 Online Finals 3,ALTERNATE aTTaX,Overpass,12 - 16,L
52,HAVU,16/09/23,Pelaajat Nordic Masters Fall 2023 - BLAST Premier Qualifier,ECSTATIC,Nuke,8 - 16,L
53,HAVU,14/09/23,CCT North Europe Series 8 Closed Qualifier,Aurora Young Blud,Mirage,11 - 16,L
