,team,data,match,opponent,map_map,result,w_l
0,HEROIC,15/12/21,BLAST Premier World Final 2021,Natus Vincere,Nuke,15 - 19,L
1,HEROIC,03/12/21,IEM Winter 2021,FaZe,Nuke,14 - 16,L
2,HEROIC,27/11/21,BLAST Premier Fall Final 2021,Astralis,Nuke,4 - 16,L
3,HEROIC,25/11/21,BLAST Premier Fall Final 2021,Natus Vincere,Overpass,12 - 16,L
4,HEROIC,06/11/21,PGL Major Stockholm 2021,G2,Inferno,15 - 19,L
5,HEROIC,01/11/21,PGL Major Stockholm 2021,Copenhagen Flames,Overpass,16 - 11,W
6,HEROIC,30/10/21,PGL Major Stockholm 2021,Vitality,Overpass,16 - 12,W
7,HEROIC,29/10/21,PGL Major Stockholm 2021 Challengers Stage,Movistar Riders,Overpass,16 - 14,W
8,HEROIC,27/10/21,PGL Major Stockholm 2021 Challengers Stage,Copenhagen Flames,Overpass,12 - 16,L
9,HEROIC,26/10/21,PGL Major Stockholm 2021 Challengers Stage,TYLOO,Inferno,16 - 12,W
10,HEROIC,15/10/21,BLAST Premier Fall Showdown 2021,Dignitas,Overpass,16 - 13,W
11,HEROIC,06/10/21,IEM Fall 2021 Europe,OG,Inferno,8 - 16,L
12,HEROIC,03/10/21,IEM Fall 2021 Europe,Complexity,Vertigo,16 - 5,W
13,HEROIC,01/10/21,IEM Fall 2021 Europe,Astralis,Nuke,14 - 16,L
14,HEROIC,29/09/21,IEM Fall 2021 Europe,Movistar Riders,Dust2,16 - 10,W
15,HEROIC,10/09/21,ESL Pro League Season 14,Liquid,Inferno,19 - 16,W
16,HEROIC,19/08/21,ESL Pro League Season 14,ENCE,Nuke,16 - 14,W
17,HEROIC,17/08/21,ESL Pro League Season 14,Spirit,Inferno,16 - 9,W
18,HEROIC,11/07/21,IEM Cologne 2021,FaZe,Ancient,10 - 16,L
19,HEROIC,10/07/21,IEM Cologne 2021,Astralis,Overpass,12 - 16,L
20,HEROIC,05/06/21,IEM Summer 2021,Ninjas in Pyjamas,Nuke,7 - 16,L
21,HEROIC,03/06/21,IEM Summer 2021,Imperial,Ancient,16 - 8,W
22,HEROIC,26/05/21,Flashpoint 3,Astralis,Overpass,16 - 14,W
23,HEROIC,21/05/21,Flashpoint 3,Complexity,Nuke,16 - 8,W
24,HEROIC,12/05/21,Flashpoint 3,Sprout,Nuke,16 - 7,W
25,HEROIC,02/05/21,DreamHack Masters Spring 2021,Astralis,Inferno,16 - 6,W
26,HEROIC,29/04/21,DreamHack Masters Spring 2021,paiN,Nuke,16 - 6,W
27,HEROIC,17/04/21,BLAST Premier Spring Showdown 2021,9z,Inferno,16 - 12,W
28,HEROIC,11/04/21,ESL Pro League Season 13,Gambit,Mirage,16 - 6,W
29,HEROIC,08/04/21,ESL Pro League Season 13,Ninjas in Pyjamas,Nuke,16 - 9,W
30,HEROIC,11/03/21,ESL Pro League Season 13,OG,Overpass,16 - 6,W
31,HEROIC,09/03/21,ESL Pro League Season 13,BIG,Vertigo,16 - 10,W
32,HEROIC,06/03/21,DreamHack Masters Spring 2021 Europe Closed Qualifier,Cloud9,Vertigo,16 - 13,W
33,HEROIC,20/02/21,IEM Katowice 2021,Gambit,Mirage,3 - 16,L
34,HEROIC,18/02/21,IEM Katowice 2021,BIG,Nuke,16 - 14,W
35,HEROIC,30/01/21,cs_summit 7,OG,Inferno,16 - 10,W
36,HEROIC,26/01/21,cs_summit 7,MOUZ,Vertigo,14 - 16,L
37,HEROIC,15/12/21,BLAST Premier World Final 2021,Natus Vincere,Nuke,15 - 19,L
38,HEROIC,15/12/21,BLAST Premier World Final 2021,Natus Vincere,Mirage,6 - 16,L
39,HEROIC,03/12/21,IEM Winter 2021,FaZe,Nuke,14 - 16,L
40,HEROIC,03/12/21,IEM Winter 2021,FaZe,Inferno,13 - 16,L
41,HEROIC,27/11/21,BLAST Premier Fall Final 2021,Astralis,Nuke,4 - 16,L
42,HEROIC,27/11/21,BLAST Premier Fall Final 2021,Astralis,Mirage,15 - 19,L
43,HEROIC,25/11/21,BLAST Premier Fall Final 2021,Natus Vincere,Overpass,12 - 16,L
44,HEROIC,25/11/21,BLAST Premier Fall Final 2021,Natus Vincere,Mirage,16 - 14,W
45,HEROIC,25/11/21,BLAST Premier Fall Final 2021,Natus Vincere,Inferno,11 - 16,L
46,HEROIC,06/11/21,PGL Major Stockholm 2021,G2,Inferno,15 - 19,L
47,HEROIC,06/11/21,PGL Major Stockholm 2021,G2,Mirage,10 - 16,L
48,HEROIC,06/11/21,PGL Major Stockholm 2021,G2,Nuke,16 - 12,W
49,HEROIC,01/11/21,PGL Major Stockholm 2021,Copenhagen Flames,Overpass,16 - 11,W
50,HEROIC,01/11/21,PGL Major Stockholm 2021,Copenhagen Flames,Ancient,13 - 16,L
51,HEROIC,01/11/21,PGL Major Stockholm 2021,Copenhagen Flames,Nuke,16 - 4,W
52,HEROIC,30/10/21,PGL Major Stockholm 2021,Vitality,Overpass,16 - 12,W
53,HEROIC,29/10/21,PGL Major Stockholm 2021 Challengers Stage,Movistar Riders,Overpass,16 - 14,W
54,HEROIC,29/10/21,PGL Major Stockholm 2021 Challengers Stage,Movistar Riders,Inferno,16 - 7,W
55,HEROIC,27/10/21,PGL Major Stockholm 2021 Challengers Stage,Copenhagen Flames,Overpass,12 - 16,L
56,HEROIC,27/10/21,PGL Major Stockholm 2021 Challengers Stage,Copenhagen Flames,Nuke,16 - 11,W
57,HEROIC,27/10/21,PGL Major Stockholm 2021 Challengers Stage,Copenhagen Flames,Vertigo,7 - 16,L
58,HEROIC,26/10/21,PGL Major Stockholm 2021 Challengers Stage,TYLOO,Inferno,16 - 12,W
59,HEROIC,15/10/21,BLAST Premier Fall Showdown 2021,Dignitas,Overpass,16 - 13,W
60,HEROIC,15/10/21,BLAST Premier Fall Showdown 2021,Dignitas,Nuke,19 - 16,W
61,HEROIC,06/10/21,IEM Fall 2021 Europe,OG,Inferno,8 - 16,L
62,HEROIC,06/10/21,IEM Fall 2021 Europe,OG,Nuke,11 - 16,L
63,HEROIC,03/10/21,IEM Fall 2021 Europe,Complexity,Vertigo,16 - 5,W
64,HEROIC,01/10/21,IEM Fall 2021 Europe,Astralis,Nuke,14 - 16,L
65,HEROIC,29/09/21,IEM Fall 2021 Europe,Movistar Riders,Dust2,16 - 10,W
66,HEROIC,10/09/21,ESL Pro League Season 14,Liquid,Inferno,19 - 16,W
67,HEROIC,10/09/21,ESL Pro League Season 14,Liquid,Nuke,16 - 12,W
68,HEROIC,10/09/21,ESL Pro League Season 14,Liquid,Overpass,12 - 16,L
