,team,data,match,opponent,map_map,result,w_l
0,IKLA,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,HEROIC,Overpass,3 - 13,L
1,IKLA,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Eternal Fire,Overpass,10 - 13,L
2,IKLA,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,PERA,Ancient,13 - 8,W
3,IKLA,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,Space,Mirage,13 - 8,W
4,IKLA,10/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,GODSENT,Nuke,16 - 14,W
5,IKLA,09/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1,Metizport,Overpass,13 - 5,W
6,IKLA,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,HEROIC,Overpass,3 - 13,L
7,IKLA,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,HEROIC,Nuke,4 - 13,L
8,IKLA,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Eternal Fire,Overpass,10 - 13,L
9,IKLA,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,PERA,Ancient,13 - 8,W
10,IKLA,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,Space,Mirage,13 - 8,W
11,IKLA,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,Space,Overpass,13 - 2,W
12,IKLA,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,Space,Anubis,6 - 13,L
13,IKLA,10/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,GODSENT,Nuke,16 - 14,W
14,IKLA,09/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1,Metizport,Overpass,13 - 5,W
15,IKLA,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,PERA,Anubis,4 - 13,L
16,IKLA,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Aurora,Overpass,13 - 10,W
17,IKLA,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,HEROIC,Overpass,15 - 19,L
18,IKLA,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,00NATION,Ancient,16 - 14,W
19,IKLA,09/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1,BLEED,Inferno,4 - 13,L
20,IKLA,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,PERA,Anubis,4 - 13,L
21,IKLA,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Aurora,Overpass,13 - 10,W
22,IKLA,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,HEROIC,Overpass,15 - 19,L
23,IKLA,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,00NATION,Ancient,16 - 14,W
24,IKLA,09/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1,BLEED,Inferno,4 - 13,L
