,team,data,match,opponent,map_map,result,w_l
0,Illuminar,08/10/21,Pinnacle Fall Series 2 Regionals,EC Kyiv,Dust2,12 - 16,L
1,Illuminar,06/10/21,Pinnacle Fall Series 2 Regionals,hREDS,Mirage,16 - 4,W
2,Illuminar,04/10/21,Pinnacle Fall Series 2 Regionals,Lyngby Vikings,Vertigo,2 - 16,L
3,Illuminar,07/09/21,Fantasyexpo EU Champions Fall 2021 - BLAST Premier Qualifier,MAD Lions,Inferno,5 - 16,L
4,Illuminar,17/08/21,Malta Vibes Knockout Series 1,Wisla Krakow,Overpass,6 - 16,L
5,Illuminar,10/07/21,PGE Polish Esport League Supercup 2021,M1,Nuke,16 - 14,W
6,Illuminar,29/05/21,Polish Esport League Spring 2021 Finals,Izako Boars,Inferno,16 - 7,W
7,Illuminar,26/05/21,Polish Esport League Spring 2021,PGE Turow,Dust2,16 - 11,W
8,Illuminar,24/04/21,Flashpoint 3 Open Qualifier 4,SKADE,Mirage,11 - 16,L
9,Illuminar,21/04/21,Flashpoint 3 Open Qualifier 3,ZJ,Train,16 - 9,W
10,Illuminar,14/04/21,Spring Sweet Spring 1 Regionals,HONORIS,Vertigo,17 - 19,L
11,Illuminar,19/03/21,Snow Sweet Snow 3 Regionals,Wisla Krakow,Overpass,11 - 16,L
12,Illuminar,16/03/21,Snow Sweet Snow 3 Regionals,Izako Boars,Inferno,16 - 7,W
13,Illuminar,14/03/21,Fantasyexpo Spring Cup 2021 Poland Closed Qualifier,Izako Boars,Vertigo,16 - 13,W
14,Illuminar,12/03/21,Fantasyexpo Spring Cup 2021 Poland Closed Qualifier,Pompa,Nuke,16 - 13,W
15,Illuminar,19/02/21,Snow Sweet Snow 2 Regionals,StylDunow,Mirage,8 - 16,L
16,Illuminar,16/02/21,Snow Sweet Snow 2 Regionals,StylDunow,Train,16 - 12,W
17,Illuminar,14/02/21,ESEA Winter 2020 Cash Cup 5 Europe,FATE,Mirage,16 - 12,W
18,Illuminar,08/10/21,Pinnacle Fall Series 2 Regionals,EC Kyiv,Dust2,12 - 16,L
19,Illuminar,08/10/21,Pinnacle Fall Series 2 Regionals,EC Kyiv,Overpass,7 - 16,L
20,Illuminar,06/10/21,Pinnacle Fall Series 2 Regionals,hREDS,Mirage,16 - 4,W
21,Illuminar,06/10/21,Pinnacle Fall Series 2 Regionals,hREDS,Inferno,16 - 13,W
22,Illuminar,06/10/21,Pinnacle Fall Series 2 Regionals,hREDS,Nuke,9 - 16,L
23,Illuminar,04/10/21,Pinnacle Fall Series 2 Regionals,Lyngby Vikings,Vertigo,2 - 16,L
24,Illuminar,04/10/21,Pinnacle Fall Series 2 Regionals,Lyngby Vikings,Nuke,14 - 16,L
25,Illuminar,07/09/21,Fantasyexpo EU Champions Fall 2021 - BLAST Premier Qualifier,MAD Lions,Inferno,5 - 16,L
26,Illuminar,17/08/21,Malta Vibes Knockout Series 1,Wisla Krakow,Overpass,6 - 16,L
27,Illuminar,17/08/21,Malta Vibes Knockout Series 1,Wisla Krakow,Nuke,13 - 16,L
28,Illuminar,10/07/21,PGE Polish Esport League Supercup 2021,M1,Nuke,16 - 14,W
29,Illuminar,10/07/21,PGE Polish Esport League Supercup 2021,M1,Inferno,16 - 14,W
30,Illuminar,29/05/21,Polish Esport League Spring 2021 Finals,Izako Boars,Inferno,16 - 7,W
31,Illuminar,29/05/21,Polish Esport League Spring 2021 Finals,Izako Boars,Nuke,16 - 9,W
32,Illuminar,26/05/21,Polish Esport League Spring 2021,PGE Turow,Dust2,16 - 11,W
33,Illuminar,26/05/21,Polish Esport League Spring 2021,PGE Turow,Mirage,16 - 7,W
34,Illuminar,24/04/21,Flashpoint 3 Open Qualifier 4,SKADE,Mirage,11 - 16,L
35,Illuminar,21/04/21,Flashpoint 3 Open Qualifier 3,ZJ,Train,16 - 9,W
36,Illuminar,14/04/21,Spring Sweet Spring 1 Regionals,HONORIS,Vertigo,17 - 19,L
