,team,data,match,opponent,map_map,result,w_l
0,Imperial,09/12/21,BLAST Rising 2021 Latin America,River Plate,Ancient,11 - 16,L
1,Imperial,04/12/21,BLAST Rising 2021 Latin America,Boca Juniors,Vertigo,10 - 16,L
2,Imperial,02/12/21,ESL Challenger Anaheim 2022 South America Open Qualifier 2,Leviatan,Mirage,9 - 16,L
3,Imperial,30/11/21,Aorus League 2021 Season 4 Regional Finals,River Plate,Dust2,16 - 6,W
4,Imperial,14/11/21,CBCS Masters 2021,Keyd,Nuke,16 - 10,W
5,Imperial,11/11/21,CBCS Masters 2021,DETONA,Nuke,16 - 8,W
6,Imperial,04/11/21,Aorus League 2021 Season 4 Brazil,Isurus,Nuke,16 - 9,W
7,Imperial,02/11/21,Aorus League 2021 Season 4 Brazil,Keyd,Inferno,16 - 12,W
8,Imperial,29/09/21,IEM Fall 2021 South America,Bravos,Nuke,17 - 19,L
9,Imperial,18/09/21,IEM Fall 2021 South America Closed Qualifier,Paquetá,Dust2,16 - 13,W
10,Imperial,12/09/21,IEM Fall 2021 South America Open Qualifier 2,Jaguares,Inferno,16 - 9,W
11,Imperial,11/09/21,IEM Fall 2021 South America Open Qualifier 2,ozbonz,Dust2,16 - 10,W
12,Imperial,10/09/21,IEM Fall 2021 South America Open Qualifier 1,SWS,Mirage,8 - 16,L
13,Imperial,05/09/21,DreamHack Open September 2021 South America Open Qualifier 2,Redragon,Dust2,11 - 16,L
14,Imperial,02/09/21,DreamHack Open September 2021 South America Open Qualifier 1,ozbonz,Inferno,7 - 16,L
15,Imperial,04/06/21,IEM Summer 2021,Spirit,Dust2,3 - 16,L
16,Imperial,09/05/21,cs_summit 8 Open Qualifier 2,Triumph,Nuke,13 - 16,L
17,Imperial,14/03/21,DreamHack Open March 2021 South America,Sharks,Dust2,16 - 7,W
18,Imperial,10/03/21,DreamHack Open March 2021 South America,Liberty,Dust2,16 - 11,W
19,Imperial,27/02/21,WESG 2021 Brazil,Paquetá,Train,17 - 19,L
20,Imperial,05/12/21,BLAST Rising 2021 Latin America,Stars Horizon,Dust2,16 - 12,W
21,Imperial,05/12/21,BLAST Rising 2021 Latin America,Stars Horizon,Vertigo,16 - 10,W
22,Imperial,04/12/21,BLAST Rising 2021 Latin America,Supremacy,Nuke,16 - 1,W
23,Imperial,04/12/21,BLAST Rising 2021 Latin America,Supremacy,Mirage,16 - 8,W
24,Imperial,01/12/21,ESL Challenger Anaheim 2022 South America Open Qualifier 2,Malvinas,Inferno,16 - 10,W
25,Imperial,16/11/21,CBCS Masters 2021,Liberty,Dust2,19 - 16,W
26,Imperial,16/11/21,CBCS Masters 2021,Liberty,Vertigo,16 - 6,W
27,Imperial,12/11/21,CBCS Masters 2021,Stars Horizon,Ancient,16 - 5,W
28,Imperial,06/11/21,Aorus League 2021 Season 4 Brazil,Keyd,Dust2,16 - 10,W
29,Imperial,06/11/21,Aorus League 2021 Season 4 Brazil,Keyd,Inferno,8 - 16,L
30,Imperial,06/11/21,Aorus League 2021 Season 4 Brazil,Keyd,Nuke,19 - 15,W
31,Imperial,03/11/21,Aorus League 2021 Season 4 Brazil,DETONA,Nuke,16 - 14,W
32,Imperial,01/10/21,IEM Fall 2021 South America,MIBR,Mirage,8 - 16,L
33,Imperial,01/10/21,IEM Fall 2021 South America,MIBR,Nuke,6 - 16,L
34,Imperial,19/09/21,IEM Fall 2021 South America Closed Qualifier,Liberty,Ancient,16 - 7,W
35,Imperial,19/09/21,IEM Fall 2021 South America Closed Qualifier,Liberty,Nuke,13 - 16,L
36,Imperial,19/09/21,IEM Fall 2021 South America Closed Qualifier,Liberty,Vertigo,22 - 19,W
37,Imperial,17/09/21,IEM Fall 2021 South America Closed Qualifier,Bravos,Ancient,2 - 16,L
38,Imperial,17/09/21,IEM Fall 2021 South America Closed Qualifier,Bravos,Dust2,9 - 16,L
39,Imperial,12/09/21,IEM Fall 2021 South America Open Qualifier 2,MAXIMA,Nuke,16 - 5,W
40,Imperial,11/09/21,IEM Fall 2021 South America Open Qualifier 2,Leviatan,Nuke,16 - 9,W
41,Imperial,09/09/21,IEM Fall 2021 South America Open Qualifier 1,Jaguares,Ancient,16 - 12,W
42,Imperial,04/09/21,DreamHack Open September 2021 South America Open Qualifier 2,Stone,Nuke,16 - 1,W
43,Imperial,17/08/21,Malta Vibes Knockout Series 1,Copenhagen Flames,Inferno,10 - 16,L
44,Imperial,17/08/21,Malta Vibes Knockout Series 1,Copenhagen Flames,Ancient,8 - 16,L
45,Imperial,03/06/21,IEM Summer 2021,HEROIC,Ancient,8 - 16,L
46,Imperial,09/05/21,cs_summit 8 Open Qualifier 2,Veloz,Mirage,16 - 5,W
47,Imperial,09/05/21,cs_summit 8 Open Qualifier 2,Veloz,Inferno,16 - 9,W
48,Imperial,11/03/21,DreamHack Open March 2021 South America,Sharks,Nuke,19 - 15,W
49,Imperial,11/03/21,DreamHack Open March 2021 South America,Sharks,Mirage,16 - 10,W
50,Imperial,01/03/21,WESG 2021 Brazil,Liberty,Train,16 - 11,W
51,Imperial,01/03/21,WESG 2021 Brazil,Liberty,Inferno,16 - 9,W
52,Imperial,25/02/21,WESG 2021 Brazil,Bravos,Train,16 - 12,W
53,Imperial,25/02/21,WESG 2021 Brazil,Bravos,Nuke,19 - 17,W
54,Imperial,09/12/21,BLAST Rising 2021 Latin America,River Plate,Ancient,11 - 16,L
55,Imperial,09/12/21,BLAST Rising 2021 Latin America,River Plate,Nuke,3 - 16,L
56,Imperial,04/12/21,BLAST Rising 2021 Latin America,Boca Juniors,Vertigo,10 - 16,L
57,Imperial,04/12/21,BLAST Rising 2021 Latin America,Boca Juniors,Nuke,16 - 10,W
58,Imperial,04/12/21,BLAST Rising 2021 Latin America,Boca Juniors,Inferno,10 - 16,L
59,Imperial,02/12/21,ESL Challenger Anaheim 2022 South America Open Qualifier 2,Leviatan,Mirage,9 - 16,L
60,Imperial,30/11/21,Aorus League 2021 Season 4 Regional Finals,River Plate,Dust2,16 - 6,W
61,Imperial,30/11/21,Aorus League 2021 Season 4 Regional Finals,River Plate,Nuke,16 - 12,W
62,Imperial,14/11/21,CBCS Masters 2021,Keyd,Nuke,16 - 10,W
63,Imperial,14/11/21,CBCS Masters 2021,Keyd,Mirage,16 - 6,W
64,Imperial,11/11/21,CBCS Masters 2021,DETONA,Nuke,16 - 8,W
65,Imperial,04/11/21,Aorus League 2021 Season 4 Brazil,Isurus,Nuke,16 - 9,W
66,Imperial,04/11/21,Aorus League 2021 Season 4 Brazil,Isurus,Inferno,13 - 16,L
67,Imperial,04/11/21,Aorus League 2021 Season 4 Brazil,Isurus,Mirage,22 - 20,W
68,Imperial,02/11/21,Aorus League 2021 Season 4 Brazil,Keyd,Inferno,16 - 12,W
69,Imperial,29/09/21,IEM Fall 2021 South America,Bravos,Nuke,17 - 19,L
70,Imperial,29/09/21,IEM Fall 2021 South America,Bravos,Ancient,14 - 16,L
71,Imperial,18/09/21,IEM Fall 2021 South America Closed Qualifier,Paquetá,Dust2,16 - 13,W
72,Imperial,18/09/21,IEM Fall 2021 South America Closed Qualifier,Paquetá,Nuke,16 - 11,W
73,Imperial,18/09/21,IEM Fall 2021 South America Closed Qualifier,Paquetá,Vertigo,4 - 16,L
74,Imperial,12/09/21,IEM Fall 2021 South America Open Qualifier 2,Jaguares,Inferno,16 - 9,W
75,Imperial,12/09/21,IEM Fall 2021 South America Open Qualifier 2,Jaguares,Dust2,19 - 17,W
76,Imperial,11/09/21,IEM Fall 2021 South America Open Qualifier 2,ozbonz,Dust2,16 - 10,W
77,Imperial,10/09/21,IEM Fall 2021 South America Open Qualifier 1,SWS,Mirage,8 - 16,L
78,Imperial,05/09/21,DreamHack Open September 2021 South America Open Qualifier 2,Redragon,Dust2,11 - 16,L
79,Imperial,02/09/21,DreamHack Open September 2021 South America Open Qualifier 1,ozbonz,Inferno,7 - 16,L
80,Imperial,04/06/21,IEM Summer 2021,Spirit,Dust2,3 - 16,L
81,Imperial,04/06/21,IEM Summer 2021,Spirit,Mirage,4 - 16,L
82,Imperial,09/05/21,cs_summit 8 Open Qualifier 2,Triumph,Nuke,13 - 16,L
83,Imperial,09/05/21,cs_summit 8 Open Qualifier 2,Triumph,Train,16 - 10,W
84,Imperial,09/05/21,cs_summit 8 Open Qualifier 2,Triumph,Mirage,7 - 16,L
85,Imperial,14/03/21,DreamHack Open March 2021 South America,Sharks,Dust2,16 - 7,W
86,Imperial,14/03/21,DreamHack Open March 2021 South America,Sharks,Train,12 - 16,L
87,Imperial,14/03/21,DreamHack Open March 2021 South America,Sharks,Mirage,16 - 9,W
88,Imperial,10/03/21,DreamHack Open March 2021 South America,Liberty,Dust2,16 - 11,W
89,Imperial,10/03/21,DreamHack Open March 2021 South America,Liberty,Nuke,16 - 13,W
90,Imperial,10/03/21,DreamHack Open March 2021 South America,Liberty,Overpass,10 - 16,L
91,Imperial,27/02/21,WESG 2021 Brazil,Paquetá,Train,17 - 19,L
92,Imperial,27/02/21,WESG 2021 Brazil,Paquetá,Nuke,14 - 16,L
93,Imperial,05/12/21,BLAST Rising 2021 Latin America,Stars Horizon,Dust2,16 - 12,W
94,Imperial,04/12/21,BLAST Rising 2021 Latin America,Supremacy,Nuke,16 - 1,W
95,Imperial,01/12/21,ESL Challenger Anaheim 2022 South America Open Qualifier 2,Malvinas,Inferno,16 - 10,W
96,Imperial,16/11/21,CBCS Masters 2021,Liberty,Dust2,19 - 16,W
97,Imperial,12/11/21,CBCS Masters 2021,Stars Horizon,Ancient,16 - 5,W
98,Imperial,06/11/21,Aorus League 2021 Season 4 Brazil,Keyd,Dust2,16 - 10,W
99,Imperial,03/11/21,Aorus League 2021 Season 4 Brazil,DETONA,Nuke,16 - 14,W
