,team,data,match,opponent,map_map,result,w_l
0,Insilio,05/11/23,ESEA Autumn 2023 Cash Cup 4 Europe,f4ceit4contract,Nuke,4 - 13,L
1,Insilio,08/10/23,Winline Insight Season 4,GUN5,Ancient,13 - 6,W
2,Insilio,07/10/23,Winline Insight Season 4,Forward,Anubis,13 - 6,W
3,Insilio,05/10/23,Winline Insight Season 4,GUN5,Ancient,5 - 13,L
4,Insilio,14/08/23,CCT East Europe Series 1,500,Nuke,16 - 19,L
5,Insilio,10/08/23,IEM Sydney 2023 Europe Open Qualifier 1,Spirit,Nuke,6 - 16,L
6,Insilio,08/08/23,CCT East Europe Series 1,9 Pandas,Anubis,5 - 16,L
7,Insilio,14/06/23,LEON TEAMPLAY Season 1,The Prodigies,Vertigo,17 - 19,L
8,Insilio,12/06/23,LEON TEAMPLAY Season 1,ex-DomiNation,Ancient,11 - 16,L
9,Insilio,24/05/23,CCT West Europe Series 4 Closed Qualifier,Dripmen,Nuke,16 - 10,W
10,Insilio,12/05/23,BetBoom Playlist Freedom 2023,PROSPECTS,Anubis,14 - 16,L
11,Insilio,01/05/23,BetBoom Playlist Freedom 2023,Copenhagen Flames,Nuke,3 - 16,L
12,Insilio,30/03/23,CCT West Europe Series 3 Closed Qualifier,Into the Bin,Ancient,16 - 13,W
13,Insilio,25/03/23,ESL Challenger League Season 44 Europe Relegation,500,Ancient,8 - 16,L
14,Insilio,23/03/23,ESL Challenger League Season 44 Europe Relegation,PROSPECTS,Vertigo,17 - 19,L
15,Insilio,17/03/23,ESEA Advanced Season 44 Europe,Spirit Academy,Vertigo,16 - 8,W
16,Insilio,13/03/23,ESEA Advanced Season 44 Europe,Budapest Five,Nuke,16 - 12,W
17,Insilio,10/03/23,ESEA Advanced Season 44 Europe,Partizan,Anubis,16 - 11,W
18,Insilio,28/02/23,EasyDrop FASTCUP Elite Cup 2023,INVSN,Ancient,16 - 8,W
19,Insilio,19/02/23,ESEA Winter 2023 Cash Cup 4 Europe,Forward,Overpass,16 - 10,W
20,Insilio,05/11/23,ESEA Autumn 2023 Cash Cup 4 Europe,f4ceit4contract,Nuke,4 - 13,L
