,team,data,match,opponent,map_map,result,w_l
0,Into the Breach,19/12/21,ESEA Premier Season 39 Europe Relegation,SAW,Nuke,10 - 16,L
1,Into the Breach,18/12/21,ESEA Premier Season 39 Europe Relegation,PACT,Ancient,16 - 14,W
2,Into the Breach,16/12/21,ESEA Premier Season 39 Europe Relegation,Linx Legacy,Inferno,16 - 14,W
3,Into the Breach,13/12/21,ESEA Advanced Season 39 Europe,SKADE,Mirage,14 - 16,L
4,Into the Breach,09/12/21,ESEA Advanced Season 39 Europe,HONORIS,Nuke,19 - 17,W
5,Into the Breach,05/12/21,ESEA Autumn 2021 Cash Cup 6 Europe,1shot,Overpass,10 - 16,L
6,Into the Breach,21/11/21,ESEA Autumn 2021 Cash Cup 5 Europe,DBL PONEY,Inferno,16 - 14,W
7,Into the Breach,10/10/21,ESL Premiership Autumn 2021,Endpoint,Inferno,8 - 16,L
8,Into the Breach,07/09/21,Fantasyexpo EU Champions Fall 2021 - BLAST Premier Qualifier,FunPlus Phoenix,Inferno,1 - 16,L
9,Into the Breach,29/08/21,Fantasyexpo EU Champions Fall 2021 UK & Ireland Closed Qualifier,Feenix,Overpass,16 - 7,W
10,Into the Breach,19/12/21,ESEA Premier Season 39 Europe Relegation,SAW,Nuke,10 - 16,L
11,Into the Breach,19/12/21,ESEA Premier Season 39 Europe Relegation,SAW,Dust2,8 - 16,L
12,Into the Breach,19/12/21,ESEA Premier Season 39 Europe Relegation,SAW,Ancient,16 - 12,W
13,Into the Breach,18/12/21,ESEA Premier Season 39 Europe Relegation,PACT,Ancient,16 - 14,W
14,Into the Breach,18/12/21,ESEA Premier Season 39 Europe Relegation,PACT,Dust2,16 - 9,W
15,Into the Breach,16/12/21,ESEA Premier Season 39 Europe Relegation,Linx Legacy,Inferno,16 - 14,W
16,Into the Breach,16/12/21,ESEA Premier Season 39 Europe Relegation,Linx Legacy,Ancient,16 - 11,W
17,Into the Breach,13/12/21,ESEA Advanced Season 39 Europe,SKADE,Mirage,14 - 16,L
18,Into the Breach,13/12/21,ESEA Advanced Season 39 Europe,SKADE,Nuke,8 - 16,L
19,Into the Breach,09/12/21,ESEA Advanced Season 39 Europe,HONORIS,Nuke,19 - 17,W
20,Into the Breach,09/12/21,ESEA Advanced Season 39 Europe,HONORIS,Mirage,16 - 6,W
21,Into the Breach,05/12/21,ESEA Autumn 2021 Cash Cup 6 Europe,1shot,Overpass,10 - 16,L
22,Into the Breach,05/12/21,ESEA Autumn 2021 Cash Cup 6 Europe,1shot,Mirage,7 - 16,L
23,Into the Breach,21/11/21,ESEA Autumn 2021 Cash Cup 5 Europe,DBL PONEY,Inferno,16 - 14,W
24,Into the Breach,21/11/21,ESEA Autumn 2021 Cash Cup 5 Europe,DBL PONEY,Nuke,10 - 16,L
25,Into the Breach,21/11/21,ESEA Autumn 2021 Cash Cup 5 Europe,DBL PONEY,Ancient,16 - 14,W
26,Into the Breach,10/10/21,ESL Premiership Autumn 2021,Endpoint,Inferno,8 - 16,L
27,Into the Breach,10/10/21,ESL Premiership Autumn 2021,Endpoint,Ancient,11 - 16,L
28,Into the Breach,10/10/21,ESL Premiership Autumn 2021,Endpoint,Mirage,4 - 16,L
29,Into the Breach,07/09/21,Fantasyexpo EU Champions Fall 2021 - BLAST Premier Qualifier,FunPlus Phoenix,Inferno,1 - 16,L
30,Into the Breach,29/08/21,Fantasyexpo EU Champions Fall 2021 UK & Ireland Closed Qualifier,Feenix,Overpass,16 - 7,W
31,Into the Breach,29/08/21,Fantasyexpo EU Champions Fall 2021 UK & Ireland Closed Qualifier,Feenix,Nuke,13 - 16,L
32,Into the Breach,29/08/21,Fantasyexpo EU Champions Fall 2021 UK & Ireland Closed Qualifier,Feenix,Inferno,16 - 6,W
33,Into the Breach,19/12/21,ESEA Premier Season 39 Europe Relegation,LDLC,Inferno,16 - 10,W
34,Into the Breach,17/12/21,ESEA Premier Season 39 Europe Relegation,1shot,Inferno,13 - 16,L
35,Into the Breach,14/12/21,ESEA Advanced Season 39 Europe,Linx Legacy,Overpass,12 - 16,L
36,Into the Breach,11/12/21,ESEA Advanced Season 39 Europe,Linx Legacy,Ancient,16 - 12,W
37,Into the Breach,07/12/21,ESEA Advanced Season 39 Europe,Entropiq Prague,Inferno,16 - 10,W
38,Into the Breach,21/11/21,ESEA Autumn 2021 Cash Cup 5 Europe,AGF,Nuke,19 - 17,W
39,Into the Breach,13/10/21,Malta Vibes Knockout Series 3,AURA,Overpass,14 - 16,L
40,Into the Breach,09/10/21,ESL Premiership Autumn 2021,Feenix,Ancient,16 - 13,W
41,Into the Breach,07/09/21,Fantasyexpo EU Champions Fall 2021 - BLAST Premier Qualifier,MAD Lions,Overpass,16 - 19,L
42,Into the Breach,28/08/21,Fantasyexpo EU Champions Fall 2021 UK & Ireland Closed Qualifier,Endpoint,Inferno,16 - 14,W
43,Into the Breach,19/12/21,ESEA Premier Season 39 Europe Relegation,LDLC,Inferno,16 - 10,W
44,Into the Breach,19/12/21,ESEA Premier Season 39 Europe Relegation,LDLC,Ancient,16 - 12,W
45,Into the Breach,17/12/21,ESEA Premier Season 39 Europe Relegation,1shot,Inferno,13 - 16,L
46,Into the Breach,17/12/21,ESEA Premier Season 39 Europe Relegation,1shot,Nuke,12 - 16,L
47,Into the Breach,17/12/21,ESEA Premier Season 39 Europe Relegation,1shot,Mirage,16 - 14,W
48,Into the Breach,14/12/21,ESEA Advanced Season 39 Europe,Linx Legacy,Overpass,12 - 16,L
49,Into the Breach,14/12/21,ESEA Advanced Season 39 Europe,Linx Legacy,Nuke,1 - 16,L
50,Into the Breach,11/12/21,ESEA Advanced Season 39 Europe,Linx Legacy,Ancient,16 - 12,W
51,Into the Breach,11/12/21,ESEA Advanced Season 39 Europe,Linx Legacy,Nuke,16 - 3,W
52,Into the Breach,11/12/21,ESEA Advanced Season 39 Europe,Linx Legacy,Inferno,3 - 16,L
53,Into the Breach,07/12/21,ESEA Advanced Season 39 Europe,Entropiq Prague,Inferno,16 - 10,W
54,Into the Breach,07/12/21,ESEA Advanced Season 39 Europe,Entropiq Prague,Dust2,10 - 16,L
55,Into the Breach,07/12/21,ESEA Advanced Season 39 Europe,Entropiq Prague,Nuke,16 - 5,W
56,Into the Breach,21/11/21,ESEA Autumn 2021 Cash Cup 5 Europe,AGF,Nuke,19 - 17,W
57,Into the Breach,21/11/21,ESEA Autumn 2021 Cash Cup 5 Europe,AGF,Mirage,16 - 7,W
58,Into the Breach,13/10/21,Malta Vibes Knockout Series 3,AURA,Overpass,14 - 16,L
59,Into the Breach,13/10/21,Malta Vibes Knockout Series 3,AURA,Ancient,6 - 16,L
60,Into the Breach,09/10/21,ESL Premiership Autumn 2021,Feenix,Ancient,16 - 13,W
61,Into the Breach,09/10/21,ESL Premiership Autumn 2021,Feenix,Inferno,16 - 10,W
62,Into the Breach,09/10/21,ESL Premiership Autumn 2021,Feenix,Nuke,2 - 16,L
63,Into the Breach,07/09/21,Fantasyexpo EU Champions Fall 2021 - BLAST Premier Qualifier,MAD Lions,Overpass,16 - 19,L
64,Into the Breach,28/08/21,Fantasyexpo EU Champions Fall 2021 UK & Ireland Closed Qualifier,Endpoint,Inferno,16 - 14,W
65,Into the Breach,28/08/21,Fantasyexpo EU Champions Fall 2021 UK & Ireland Closed Qualifier,Endpoint,Ancient,16 - 5,W
66,Into the Breach,28/08/21,Fantasyexpo EU Champions Fall 2021 UK & Ireland Closed Qualifier,Endpoint,Mirage,15 - 19,L
