,team,data,match,opponent,map_map,result,w_l
0,KOI,10/04/24,ESL Challenger League Season 47 Europe,RUSH B,Nuke,13 - 5,W
1,KOI,09/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Apeks,Inferno,19 - 22,L
2,KOI,08/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,fnatic,Vertigo,3 - 13,L
3,KOI,03/04/24,ESL Challenger League Season 47 Europe,9INE,Nuke,13 - 4,W
4,KOI,28/03/24,ESL Challenger League Season 47 Europe,EYEBALLERS,Vertigo,8 - 13,L
5,KOI,17/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,ENCE,Nuke,12 - 16,L
6,KOI,13/03/24,ESL Challenger League Season 47 Europe,Sangal,Nuke,13 - 11,W
7,KOI,11/03/24,IEM Dallas 2024 Europe Closed Qualifier,Apeks,Anubis,12 - 16,L
8,KOI,05/03/24,IEM Dallas 2024 Europe Open Qualifier 2,FORZE,Nuke,13 - 7,W
9,KOI,05/03/24,IEM Dallas 2024 Europe Open Qualifier 2,Sprout,Inferno,13 - 9,W
10,KOI,29/02/24,ESL Challenger Melbourne 2024 Europe Closed Qualifier,Aurora,Ancient,6 - 13,L
11,KOI,28/02/24,ESL Challenger Melbourne 2024 Europe Closed Qualifier,FORZE,Ancient,4 - 13,L
12,KOI,16/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,fnatic,Ancient,13 - 7,W
13,KOI,14/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,3DMAX,Nuke,13 - 8,W
14,KOI,03/02/24,RTP Arena Spring Cup 2024 - BLAST Premier Qualifier,SAW,Ancient,7 - 13,L
15,KOI,02/02/24,RTP Arena Spring Cup 2024 - BLAST Premier Qualifier,ABT,Vertigo,13 - 1,W
16,KOI,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,ex-ThunderFlash,Ancient,11 - 13,L
17,KOI,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,AMKAL,Vertigo,10 - 13,L
18,KOI,10/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1,ex-ThunderFlash,Nuke,0 - 13,L
19,KOI,09/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1,9INE,Vertigo,13 - 11,W
20,KOI,09/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1,Betera,Ancient,13 - 7,W
21,KOI,10/04/24,ESL Challenger League Season 47 Europe,RUSH B,Nuke,13 - 5,W
22,KOI,10/04/24,ESL Challenger League Season 47 Europe,RUSH B,Vertigo,13 - 10,W
23,KOI,09/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Apeks,Inferno,19 - 22,L
24,KOI,09/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,Apeks,Overpass,10 - 13,L
25,KOI,08/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,fnatic,Vertigo,3 - 13,L
26,KOI,03/04/24,ESL Challenger League Season 47 Europe,9INE,Nuke,13 - 4,W
27,KOI,03/04/24,ESL Challenger League Season 47 Europe,9INE,Anubis,13 - 8,W
28,KOI,28/03/24,ESL Challenger League Season 47 Europe,EYEBALLERS,Vertigo,8 - 13,L
29,KOI,28/03/24,ESL Challenger League Season 47 Europe,EYEBALLERS,Overpass,9 - 13,L
30,KOI,17/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,ENCE,Nuke,12 - 16,L
31,KOI,13/03/24,ESL Challenger League Season 47 Europe,Sangal,Nuke,13 - 11,W
32,KOI,13/03/24,ESL Challenger League Season 47 Europe,Sangal,Overpass,19 - 17,W
33,KOI,11/03/24,IEM Dallas 2024 Europe Closed Qualifier,Apeks,Anubis,12 - 16,L
34,KOI,11/03/24,IEM Dallas 2024 Europe Closed Qualifier,Apeks,Ancient,13 - 11,W
35,KOI,11/03/24,IEM Dallas 2024 Europe Closed Qualifier,Apeks,Vertigo,10 - 13,L
36,KOI,05/03/24,IEM Dallas 2024 Europe Open Qualifier 2,FORZE,Nuke,13 - 7,W
37,KOI,05/03/24,IEM Dallas 2024 Europe Open Qualifier 2,FORZE,Inferno,13 - 8,W
38,KOI,05/03/24,IEM Dallas 2024 Europe Open Qualifier 2,FORZE,Overpass,3 - 13,L
39,KOI,05/03/24,IEM Dallas 2024 Europe Open Qualifier 2,Sprout,Inferno,13 - 9,W
40,KOI,29/02/24,ESL Challenger Melbourne 2024 Europe Closed Qualifier,Aurora,Ancient,6 - 13,L
41,KOI,29/02/24,ESL Challenger Melbourne 2024 Europe Closed Qualifier,Aurora,Nuke,11 - 13,L
42,KOI,29/02/24,ESL Challenger Melbourne 2024 Europe Closed Qualifier,Aurora,Overpass,13 - 8,W
43,KOI,28/02/24,ESL Challenger Melbourne 2024 Europe Closed Qualifier,FORZE,Ancient,4 - 13,L
44,KOI,28/02/24,ESL Challenger Melbourne 2024 Europe Closed Qualifier,FORZE,Inferno,8 - 13,L
45,KOI,28/02/24,ESL Challenger Melbourne 2024 Europe Closed Qualifier,FORZE,Nuke,13 - 8,W
46,KOI,16/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,fnatic,Ancient,13 - 7,W
47,KOI,16/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR A,fnatic,Vertigo,19 - 16,W
