,team,data,match,opponent,map_map,result,w_l
0,Liquid,18/12/21,BLAST Premier World Final 2021,Natus Vincere,Inferno,11 - 16,L
1,Liquid,16/12/21,BLAST Premier World Final 2021,Gambit,Overpass,2 - 16,L
2,Liquid,04/12/21,IEM Winter 2021,Ninjas in Pyjamas,Inferno,12 - 16,L
3,Liquid,02/12/21,IEM Winter 2021,G2,Dust2,14 - 16,L
4,Liquid,27/11/21,BLAST Premier Fall Final 2021,HEROIC,Inferno,12 - 16,L
5,Liquid,24/11/21,BLAST Premier Fall Final 2021,Vitality,Dust2,7 - 16,L
6,Liquid,31/10/21,PGL Major Stockholm 2021,FURIA,Inferno,9 - 16,L
7,Liquid,30/10/21,PGL Major Stockholm 2021,Entropiq,Vertigo,9 - 16,L
8,Liquid,16/10/21,BLAST Premier Fall Showdown 2021,Virtus.pro,Overpass,16 - 12,W
9,Liquid,10/10/21,IEM Fall 2021 North America,paiN,Vertigo,16 - 4,W
10,Liquid,07/10/21,IEM Fall 2021 North America,Extra Salt,Inferno,16 - 8,W
11,Liquid,06/10/21,IEM Fall 2021 North America,EXTREMUM,Mirage,19 - 16,W
12,Liquid,05/10/21,IEM Fall 2021 North America,Bad News Bears,Inferno,16 - 9,W
13,Liquid,17/09/21,BLAST Premier Fall Groups 2021,Evil Geniuses,Vertigo,16 - 7,W
14,Liquid,10/09/21,ESL Pro League Season 14,HEROIC,Inferno,16 - 19,L
15,Liquid,05/09/21,ESL Pro League Season 14,FURIA,Mirage,19 - 17,W
16,Liquid,03/09/21,ESL Pro League Season 14,Entropiq,Overpass,16 - 12,W
17,Liquid,01/09/21,ESL Pro League Season 14,Ninjas in Pyjamas,Dust2,16 - 10,W
18,Liquid,09/07/21,IEM Cologne 2021,MOUZ,Inferno,28 - 25,W
19,Liquid,30/05/21,cs_summit 8,FURIA,Mirage,16 - 5,W
20,Liquid,27/05/21,cs_summit 8,paiN,Dust2,16 - 13,W
21,Liquid,23/05/21,cs_summit 8,Extra Salt,Inferno,14 - 16,L
22,Liquid,13/04/21,BLAST Premier Spring Showdown 2021,Dignitas,Vertigo,13 - 16,L
23,Liquid,29/03/21,ESL Pro League Season 13,Virtus.pro,Vertigo,16 - 13,W
24,Liquid,27/03/21,ESL Pro League Season 13,Endpoint,Vertigo,16 - 9,W
25,Liquid,25/03/21,ESL Pro League Season 13,fnatic,Vertigo,16 - 7,W
26,Liquid,11/03/21,DreamHack Open March 2021 North America,Triumph,Inferno,16 - 11,W
27,Liquid,27/02/21,IEM Katowice 2021,Virtus.pro,Mirage,12 - 16,L
28,Liquid,20/02/21,IEM Katowice 2021,Vitality,Mirage,16 - 12,W
