,team,data,match,opponent,map_map,result,w_l
0,los kogutos,13/06/21,Polish Esport Summer 2021 Cup 1,VIXIT,Train,16 - 7,W
1,los kogutos,22/04/21,Flashpoint 3 Open Qualifier 3,INFINITE,Train,16 - 9,W
2,los kogutos,18/04/21,Flashpoint 3 Open Qualifier 2,Lilmix,Mirage,3 - 16,L
3,los kogutos,27/03/21,ESEA Advanced Season 36 Europe,Lyngby Vikings,Mirage,12 - 16,L
4,los kogutos,23/03/21,ESEA Advanced Season 36 Europe,KOVA,Vertigo,16 - 8,W
5,los kogutos,13/06/21,Polish Esport Summer 2021 Cup 1,VIXIT,Train,16 - 7,W
6,los kogutos,13/06/21,Polish Esport Summer 2021 Cup 1,VIXIT,Nuke,16 - 10,W
7,los kogutos,22/04/21,Flashpoint 3 Open Qualifier 3,INFINITE,Train,16 - 9,W
8,los kogutos,22/04/21,Flashpoint 3 Open Qualifier 3,INFINITE,Nuke,14 - 16,L
9,los kogutos,22/04/21,Flashpoint 3 Open Qualifier 3,INFINITE,Mirage,19 - 17,W
10,los kogutos,18/04/21,Flashpoint 3 Open Qualifier 2,Lilmix,Mirage,3 - 16,L
11,los kogutos,18/04/21,Flashpoint 3 Open Qualifier 2,Lilmix,Train,16 - 14,W
12,los kogutos,18/04/21,Flashpoint 3 Open Qualifier 2,Lilmix,Overpass,13 - 16,L
13,los kogutos,27/03/21,ESEA Advanced Season 36 Europe,Lyngby Vikings,Mirage,12 - 16,L
14,los kogutos,27/03/21,ESEA Advanced Season 36 Europe,Lyngby Vikings,Vertigo,8 - 16,L
15,los kogutos,23/03/21,ESEA Advanced Season 36 Europe,KOVA,Vertigo,16 - 8,W
16,los kogutos,23/03/21,ESEA Advanced Season 36 Europe,KOVA,Mirage,16 - 4,W
17,los kogutos,22/04/21,Flashpoint 3 Open Qualifier 3,GameAgents,Vertigo,18 - 22,L
18,los kogutos,21/04/21,Flashpoint 3 Open Qualifier 3,TheDice,Nuke,16 - 9,W
19,los kogutos,17/04/21,Flashpoint 3 Open Qualifier 2,EC Brugge,Train,16 - 14,W
20,los kogutos,25/03/21,ESEA Advanced Season 36 Europe,Budapest Five,Train,9 - 16,L
21,los kogutos,22/04/21,Flashpoint 3 Open Qualifier 3,GameAgents,Vertigo,18 - 22,L
22,los kogutos,22/04/21,Flashpoint 3 Open Qualifier 3,GameAgents,Mirage,16 - 1,W
23,los kogutos,22/04/21,Flashpoint 3 Open Qualifier 3,GameAgents,Train,13 - 16,L
24,los kogutos,21/04/21,Flashpoint 3 Open Qualifier 3,TheDice,Nuke,16 - 9,W
25,los kogutos,17/04/21,Flashpoint 3 Open Qualifier 2,EC Brugge,Train,16 - 14,W
26,los kogutos,25/03/21,ESEA Advanced Season 36 Europe,Budapest Five,Train,9 - 16,L
27,los kogutos,25/03/21,ESEA Advanced Season 36 Europe,Budapest Five,Nuke,8 - 16,L
