,team,data,match,opponent,map_map,result,w_l
0,Lynn Vision,09/12/23,ESL Challenger League Season 46 Asia-Pacific,TheMongolz,Nuke,5 - 13,L
1,Lynn Vision,06/12/23,ESL Challenger League Season 46 Asia-Pacific,GR,Anubis,13 - 8,W
2,Lynn Vision,11/11/23,CS Asia Championships 2023,MOUZ,Inferno,7 - 13,L
3,Lynn Vision,08/11/23,CS Asia Championships 2023,Astralis,Ancient,4 - 13,L
4,Lynn Vision,03/11/23,IEM Chengdu 2024 China Closed Qualifier,Wings Up,Anubis,13 - 10,W
5,Lynn Vision,16/10/23,IEM Sydney 2023,ENCE,Anubis,6 - 13,L
6,Lynn Vision,23/09/23,ESL Pro League Season 18,9INE,Overpass,22 - 20,W
7,Lynn Vision,20/09/23,ESL Pro League Season 18,G2,Inferno,5 - 16,L
8,Lynn Vision,02/09/23,Perfect World Arena Premier League Season 5,ATOX,Inferno,16 - 10,W
9,Lynn Vision,29/08/23,Perfect World Arena Premier League Season 5,TYLOO,Inferno,16 - 14,W
10,Lynn Vision,26/08/23,5E Arena Asia Cup Fall 2023 - BLAST Premier Qualifier,Eruption,Anubis,16 - 10,W
11,Lynn Vision,26/08/23,5E Arena Asia Cup Fall 2023 - BLAST Premier Qualifier,TYLOO,Anubis,16 - 10,W
12,Lynn Vision,24/08/23,IEM Sydney 2023 Asia Closed Qualifier,5yclone,Overpass,16 - 7,W
13,Lynn Vision,10/08/23,IEM Sydney 2023 Asia Open Qualifier 1,TYLOO,Anubis,16 - 8,W
14,Lynn Vision,10/08/23,IEM Sydney 2023 Asia Open Qualifier 1,Eruption,Nuke,16 - 3,W
15,Lynn Vision,09/07/23,XSE Pro League 2023 Finals,Steel Helmet,Inferno,16 - 13,W
16,Lynn Vision,16/06/23,Perfect World Arena Premier League Season 4,Wings Up,Overpass,16 - 10,W
17,Lynn Vision,14/06/23,Perfect World Arena Premier League Season 4,JiJieHao,Inferno,16 - 5,W
18,Lynn Vision,25/05/23,ESL Challenger League Season 45 Asia-Pacific,Rare Atom,Inferno,16 - 11,W
19,Lynn Vision,23/05/23,ESL Challenger League Season 45 Asia-Pacific,Wings Up,Ancient,16 - 13,W
20,Lynn Vision,23/03/23,ESL Challenger League Season 44 Asia-Pacific,IHC,Inferno,19 - 16,W
21,Lynn Vision,21/03/23,ESL Challenger League Season 44 Asia-Pacific,FyR,Nuke,16 - 11,W
22,Lynn Vision,02/03/23,ESL Challenger Melbourne 2023 Asia Closed Qualifier,TYLOO,Vertigo,19 - 17,W
23,Lynn Vision,26/02/23,5E Arena Asia Cup Spring 2023 - BLAST Premier Qualifier,Rare Atom,Nuke,9 - 16,L
