,team,data,match,opponent,map_map,result,w_l
0,M80,16/12/23,ESL Challenger Atlanta 2023,BESTIA,Anubis,11 - 13,L
1,M80,14/12/23,Mythic Cup Winter 2023,Nouns,Nuke,13 - 6,W
2,M80,12/12/23,Mythic Cup Winter 2023,Torqued,Nuke,13 - 7,W
3,M80,08/12/23,ESL Challenger League Season 46 North America,BOSS,Overpass,16 - 14,W
4,M80,04/12/23,ESEA Autumn 2023 Cash Cup 6 North America,Take Flyte,Inferno,13 - 7,W
5,M80,03/12/23,ESEA Autumn 2023 Cash Cup 6 North America,Wildcard,Anubis,13 - 5,W
6,M80,20/11/23,ESL Challenger League Season 46 North America,BOSS,Ancient,13 - 9,W
7,M80,17/11/23,ESL Challenger Atlanta 2023 North America Closed Qualifier,Evil Geniuses,Ancient,13 - 6,W
8,M80,16/11/23,ESL Challenger Atlanta 2023 North America Closed Qualifier,Wildcard,Overpass,19 - 17,W
9,M80,15/11/23,ESL Challenger Atlanta 2023 North America Open Qualifier,MIGHT,Inferno,16 - 14,W
10,M80,12/11/23,ESL Challenger League Season 46 North America,FLUFFY AIMERS,Vertigo,16 - 13,W
11,M80,11/11/23,ESL Challenger League Season 46 North America,Badass,Vertigo,13 - 4,W
12,M80,30/10/23,Thunderpick World Championship 2023,Complexity,Vertigo,6 - 13,L
13,M80,22/10/23,CCT East Europe Series 3,Metizport,Ancient,5 - 13,L
14,M80,18/10/23,CCT East Europe Series 3,Anonymo,Ancient,13 - 10,W
15,M80,14/10/23,CCT East Europe Series 3,Nexus,Overpass,13 - 8,W
16,M80,14/09/23,ESL Pro League Season 18,5yclone,Anubis,14 - 16,L
17,M80,26/08/23,IEM Sydney 2023 North America Closed Qualifier,Complexity,Overpass,8 - 16,L
18,M80,24/08/23,IEM Sydney 2023 North America Closed Qualifier,Nouns,Mirage,16 - 13,W
19,M80,23/08/23,ESL Challenger League Season 46 North America,Reason,Inferno,16 - 14,W
20,M80,16/08/23,ESL Challenger League Season 46 North America,Unjustified,Vertigo,16 - 7,W
21,M80,10/08/23,IEM Sydney 2023 North America Open Qualifier 1,Detonate,Vertigo,16 - 8,W
22,M80,10/08/23,IEM Sydney 2023 North America Open Qualifier 1,Bad News Bears,Nuke,16 - 7,W
23,M80,30/07/23,ESEA Pre-Season Circuit Summer 2023 North America,Tempest,Inferno,16 - 2,W
24,M80,23/07/23,ESEA Pre-Season Circuit Summer 2023 NA Open Qualifier 7,Melly Madness,Nuke,14 - 16,L
25,M80,17/07/23,Thunderpick World Championship 2023 North America Series 1,Party Astronauts,Mirage,16 - 8,W
26,M80,16/12/23,ESL Challenger Atlanta 2023,BESTIA,Anubis,11 - 13,L
27,M80,16/12/23,ESL Challenger Atlanta 2023,BESTIA,Inferno,11 - 13,L
28,M80,14/12/23,Mythic Cup Winter 2023,Nouns,Nuke,13 - 6,W
29,M80,14/12/23,Mythic Cup Winter 2023,Nouns,Vertigo,13 - 11,W
30,M80,12/12/23,Mythic Cup Winter 2023,Torqued,Nuke,13 - 7,W
31,M80,12/12/23,Mythic Cup Winter 2023,Torqued,Vertigo,13 - 5,W
32,M80,12/12/23,Mythic Cup Winter 2023,Torqued,Inferno,2 - 13,L
33,M80,08/12/23,ESL Challenger League Season 46 North America,BOSS,Overpass,16 - 14,W
34,M80,08/12/23,ESL Challenger League Season 46 North America,BOSS,Anubis,13 - 11,W
35,M80,04/12/23,ESEA Autumn 2023 Cash Cup 6 North America,Take Flyte,Inferno,13 - 7,W
36,M80,04/12/23,ESEA Autumn 2023 Cash Cup 6 North America,Take Flyte,Anubis,13 - 9,W
37,M80,03/12/23,ESEA Autumn 2023 Cash Cup 6 North America,Wildcard,Anubis,13 - 5,W
38,M80,20/11/23,ESL Challenger League Season 46 North America,BOSS,Ancient,13 - 9,W
39,M80,20/11/23,ESL Challenger League Season 46 North America,BOSS,Vertigo,13 - 7,W
40,M80,20/11/23,ESL Challenger League Season 46 North America,BOSS,Anubis,7 - 13,L
41,M80,17/11/23,ESL Challenger Atlanta 2023 North America Closed Qualifier,Evil Geniuses,Ancient,13 - 6,W
42,M80,17/11/23,ESL Challenger Atlanta 2023 North America Closed Qualifier,Evil Geniuses,Vertigo,13 - 8,W
43,M80,16/11/23,ESL Challenger Atlanta 2023 North America Closed Qualifier,Wildcard,Overpass,19 - 17,W
44,M80,16/11/23,ESL Challenger Atlanta 2023 North America Closed Qualifier,Wildcard,Anubis,13 - 3,W
45,M80,15/11/23,ESL Challenger Atlanta 2023 North America Open Qualifier,MIGHT,Inferno,16 - 14,W
46,M80,15/11/23,ESL Challenger Atlanta 2023 North America Open Qualifier,MIGHT,Anubis,13 - 6,W
47,M80,12/11/23,ESL Challenger League Season 46 North America,FLUFFY AIMERS,Vertigo,16 - 13,W
48,M80,12/11/23,ESL Challenger League Season 46 North America,FLUFFY AIMERS,Ancient,13 - 11,W
49,M80,11/11/23,ESL Challenger League Season 46 North America,Badass,Vertigo,13 - 4,W
50,M80,11/11/23,ESL Challenger League Season 46 North America,Badass,Ancient,19 - 17,W
51,M80,30/10/23,Thunderpick World Championship 2023,Complexity,Vertigo,6 - 13,L
52,M80,30/10/23,Thunderpick World Championship 2023,Complexity,Overpass,8 - 13,L
53,M80,22/10/23,CCT East Europe Series 3,Metizport,Ancient,5 - 13,L
54,M80,22/10/23,CCT East Europe Series 3,Metizport,Overpass,8 - 13,L
55,M80,18/10/23,CCT East Europe Series 3,Anonymo,Ancient,13 - 10,W
56,M80,18/10/23,CCT East Europe Series 3,Anonymo,Nuke,16 - 14,W
57,M80,14/10/23,CCT East Europe Series 3,Nexus,Overpass,13 - 8,W
58,M80,14/10/23,CCT East Europe Series 3,Nexus,Ancient,13 - 11,W
59,M80,14/10/23,CCT East Europe Series 3,Nexus,Vertigo,9 - 13,L
60,M80,14/09/23,ESL Pro League Season 18,5yclone,Anubis,14 - 16,L
61,M80,14/09/23,ESL Pro League Season 18,5yclone,Nuke,10 - 16,L
62,M80,26/08/23,IEM Sydney 2023 North America Closed Qualifier,Complexity,Overpass,8 - 16,L
63,M80,26/08/23,IEM Sydney 2023 North America Closed Qualifier,Complexity,Anubis,10 - 16,L
64,M80,24/08/23,IEM Sydney 2023 North America Closed Qualifier,Nouns,Mirage,16 - 13,W
65,M80,24/08/23,IEM Sydney 2023 North America Closed Qualifier,Nouns,Anubis,16 - 8,W
66,M80,23/08/23,ESL Challenger League Season 46 North America,Reason,Inferno,16 - 14,W
67,M80,23/08/23,ESL Challenger League Season 46 North America,Reason,Anubis,16 - 7,W
68,M80,16/08/23,ESL Challenger League Season 46 North America,Unjustified,Vertigo,16 - 7,W
69,M80,16/08/23,ESL Challenger League Season 46 North America,Unjustified,Inferno,16 - 6,W
70,M80,10/08/23,IEM Sydney 2023 North America Open Qualifier 1,Detonate,Vertigo,16 - 8,W
71,M80,10/08/23,IEM Sydney 2023 North America Open Qualifier 1,Bad News Bears,Nuke,16 - 7,W
72,M80,30/07/23,ESEA Pre-Season Circuit Summer 2023 North America,Tempest,Inferno,16 - 2,W
73,M80,23/07/23,ESEA Pre-Season Circuit Summer 2023 NA Open Qualifier 7,Melly Madness,Nuke,14 - 16,L
74,M80,17/07/23,Thunderpick World Championship 2023 North America Series 1,Party Astronauts,Mirage,16 - 8,W
75,M80,17/07/23,Thunderpick World Championship 2023 North America Series 1,Party Astronauts,Nuke,14 - 16,L
76,M80,17/07/23,Thunderpick World Championship 2023 North America Series 1,Party Astronauts,Inferno,16 - 10,W
77,M80,15/12/23,ESL Challenger Atlanta 2023,Virtus.pro,Ancient,8 - 13,L
78,M80,13/12/23,Mythic Cup Winter 2023,BOSS,Vertigo,13 - 4,W
79,M80,11/12/23,ESL Challenger League Season 46 North America,BOSS,Anubis,19 - 16,W
80,M80,07/12/23,ESL Challenger League Season 46 North America,Party Astronauts,Vertigo,13 - 7,W
81,M80,03/12/23,ESEA Autumn 2023 Cash Cup 6 North America,NRG,Ancient,13 - 7,W
82,M80,23/11/23,ESL Challenger League Season 46 North America,Rocket,Vertigo,13 - 2,W
83,M80,18/11/23,ESL Challenger League Season 46 North America,Evil Geniuses,Vertigo,13 - 10,W
84,M80,16/11/23,ESL Challenger Atlanta 2023 North America Closed Qualifier,Party Astronauts,Overpass,13 - 4,W
85,M80,15/11/23,ESL Challenger Atlanta 2023 North America Closed Qualifier,Party Astronauts,Ancient,17 - 19,L
86,M80,14/11/23,ESL Challenger Atlanta 2023 North America Open Qualifier,5Fyctimz,Vertigo,13 - 0,W
87,M80,12/11/23,ESL Challenger League Season 46 North America,Take Flyte,Nuke,13 - 2,W
88,M80,09/11/23,ESL Challenger League Season 46 North America,Party Astronauts,Vertigo,13 - 2,W
89,M80,29/10/23,Thunderpick World Championship 2023,MOUZ,Vertigo,11 - 13,L
90,M80,21/10/23,CCT East Europe Series 3,00NATION,Ancient,14 - 16,L
91,M80,17/10/23,CCT East Europe Series 3,Sampi,Overpass,9 - 13,L
92,M80,16/09/23,ESL Pro League Season 18,9z,Inferno,13 - 16,L
93,M80,13/09/23,ESL Pro League Season 18,Apeks,Mirage,3 - 16,L
94,M80,25/08/23,IEM Sydney 2023 North America Closed Qualifier,Forsaken,Nuke,16 - 14,W
95,M80,24/08/23,ESL Challenger League Season 46 North America,Mythic,Vertigo,16 - 0,W
96,M80,17/08/23,ESL Challenger League Season 46 North America,Bad News Bears,Vertigo,16 - 2,W
97,M80,11/08/23,IEM Sydney 2023 North America Open Qualifier 1,Evil Geniuses,Overpass,16 - 11,W
98,M80,10/08/23,IEM Sydney 2023 North America Open Qualifier 1,Rocket,Inferno,16 - 3,W
99,M80,30/07/23,ESEA Pre-Season Circuit Summer 2023 North America,Forsaken,Inferno,13 - 16,L
100,M80,25/07/23,ESEA Pre-Season Circuit Summer 2023 NA Open Qualifier 8,Limitless,Inferno,16 - 11,W
101,M80,19/07/23,Thunderpick World Championship 2023 North America Series 1,Wildcard,Anubis,4 - 16,L
102,M80,16/07/23,Thunderpick World Championship 2023 North America Series 1,ex-Snakes Den,Inferno,16 - 10,W
103,M80,15/12/23,ESL Challenger Atlanta 2023,Virtus.pro,Ancient,8 - 13,L
104,M80,13/12/23,Mythic Cup Winter 2023,BOSS,Vertigo,13 - 4,W
105,M80,13/12/23,Mythic Cup Winter 2023,BOSS,Anubis,13 - 2,W
106,M80,11/12/23,ESL Challenger League Season 46 North America,BOSS,Anubis,19 - 16,W
107,M80,11/12/23,ESL Challenger League Season 46 North America,BOSS,Vertigo,13 - 9,W
108,M80,07/12/23,ESL Challenger League Season 46 North America,Party Astronauts,Vertigo,13 - 7,W
109,M80,07/12/23,ESL Challenger League Season 46 North America,Party Astronauts,Nuke,13 - 8,W
110,M80,03/12/23,ESEA Autumn 2023 Cash Cup 6 North America,NRG,Ancient,13 - 7,W
111,M80,03/12/23,ESEA Autumn 2023 Cash Cup 6 North America,NRG,Inferno,6 - 13,L
112,M80,03/12/23,ESEA Autumn 2023 Cash Cup 6 North America,NRG,Anubis,13 - 4,W
113,M80,23/11/23,ESL Challenger League Season 46 North America,Rocket,Vertigo,13 - 2,W
114,M80,23/11/23,ESL Challenger League Season 46 North America,Rocket,Ancient,13 - 0,W
115,M80,18/11/23,ESL Challenger League Season 46 North America,Evil Geniuses,Vertigo,13 - 10,W
116,M80,18/11/23,ESL Challenger League Season 46 North America,Evil Geniuses,Ancient,13 - 7,W
117,M80,16/11/23,ESL Challenger Atlanta 2023 North America Closed Qualifier,Party Astronauts,Overpass,13 - 4,W
118,M80,16/11/23,ESL Challenger Atlanta 2023 North America Closed Qualifier,Party Astronauts,Vertigo,19 - 16,W
119,M80,15/11/23,ESL Challenger Atlanta 2023 North America Closed Qualifier,Party Astronauts,Ancient,17 - 19,L
120,M80,15/11/23,ESL Challenger Atlanta 2023 North America Closed Qualifier,Party Astronauts,Nuke,14 - 16,L
121,M80,15/11/23,ESL Challenger Atlanta 2023 North America Closed Qualifier,Party Astronauts,Vertigo,13 - 11,W
122,M80,14/11/23,ESL Challenger Atlanta 2023 North America Open Qualifier,5Fyctimz,Vertigo,13 - 0,W
123,M80,12/11/23,ESL Challenger League Season 46 North America,Take Flyte,Nuke,13 - 2,W
124,M80,12/11/23,ESL Challenger League Season 46 North America,Take Flyte,Ancient,13 - 7,W
125,M80,09/11/23,ESL Challenger League Season 46 North America,Party Astronauts,Vertigo,13 - 2,W
126,M80,09/11/23,ESL Challenger League Season 46 North America,Party Astronauts,Nuke,13 - 10,W
127,M80,29/10/23,Thunderpick World Championship 2023,MOUZ,Vertigo,11 - 13,L
128,M80,29/10/23,Thunderpick World Championship 2023,MOUZ,Ancient,7 - 13,L
129,M80,21/10/23,CCT East Europe Series 3,00NATION,Ancient,14 - 16,L
130,M80,21/10/23,CCT East Europe Series 3,00NATION,Nuke,11 - 13,L
131,M80,17/10/23,CCT East Europe Series 3,Sampi,Overpass,9 - 13,L
132,M80,17/10/23,CCT East Europe Series 3,Sampi,Anubis,8 - 13,L
133,M80,17/10/23,CCT East Europe Series 3,Sampi,Ancient,13 - 9,W
134,M80,16/09/23,ESL Pro League Season 18,9z,Inferno,13 - 16,L
135,M80,16/09/23,ESL Pro League Season 18,9z,Nuke,14 - 16,L
136,M80,13/09/23,ESL Pro League Season 18,Apeks,Mirage,3 - 16,L
137,M80,13/09/23,ESL Pro League Season 18,Apeks,Inferno,15 - 19,L
138,M80,25/08/23,IEM Sydney 2023 North America Closed Qualifier,Forsaken,Nuke,16 - 14,W
139,M80,25/08/23,IEM Sydney 2023 North America Closed Qualifier,Forsaken,Vertigo,13 - 16,L
140,M80,25/08/23,IEM Sydney 2023 North America Closed Qualifier,Forsaken,Overpass,16 - 14,W
141,M80,24/08/23,ESL Challenger League Season 46 North America,Mythic,Vertigo,16 - 0,W
142,M80,24/08/23,ESL Challenger League Season 46 North America,Mythic,Overpass,16 - 8,W
143,M80,17/08/23,ESL Challenger League Season 46 North America,Bad News Bears,Vertigo,16 - 2,W
144,M80,17/08/23,ESL Challenger League Season 46 North America,Bad News Bears,Inferno,16 - 12,W
145,M80,11/08/23,IEM Sydney 2023 North America Open Qualifier 1,Evil Geniuses,Overpass,16 - 11,W
146,M80,11/08/23,IEM Sydney 2023 North America Open Qualifier 1,Evil Geniuses,Vertigo,13 - 16,L
147,M80,11/08/23,IEM Sydney 2023 North America Open Qualifier 1,Evil Geniuses,Inferno,22 - 20,W
148,M80,10/08/23,IEM Sydney 2023 North America Open Qualifier 1,Rocket,Inferno,16 - 3,W
149,M80,30/07/23,ESEA Pre-Season Circuit Summer 2023 North America,Forsaken,Inferno,13 - 16,L
150,M80,25/07/23,ESEA Pre-Season Circuit Summer 2023 NA Open Qualifier 8,Limitless,Inferno,16 - 11,W
151,M80,19/07/23,Thunderpick World Championship 2023 North America Series 1,Wildcard,Anubis,4 - 16,L
152,M80,19/07/23,Thunderpick World Championship 2023 North America Series 1,Wildcard,Inferno,9 - 16,L
153,M80,19/07/23,Thunderpick World Championship 2023 North America Series 1,Wildcard,Vertigo,19 - 17,W
154,M80,16/07/23,Thunderpick World Championship 2023 North America Series 1,ex-Snakes Den,Inferno,16 - 10,W
155,M80,16/07/23,Thunderpick World Championship 2023 North America Series 1,ex-Snakes Den,Nuke,16 - 14,W
