,team,data,match,opponent,map_map,result,w_l
0,Metizport,09/04/24,YaLLa Compass Spring 2024,Guild Eagles,Inferno,10 - 13,L
1,Metizport,08/04/24,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,9 Pandas,Ancient,6 - 13,L
2,Metizport,07/04/24,LuckyCasino Cup 2024,Johnny Speeds,Inferno,13 - 7,W
3,Metizport,04/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Ninjas in Pyjamas,Inferno,7 - 13,L
4,Metizport,03/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Blessed,Ancient,13 - 10,W
5,Metizport,02/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Aurora,Inferno,11 - 13,L
6,Metizport,27/03/24,ESL Challenger Jönköping 2024 Europe Open Qualifier,Aurora,Ancient,9 - 13,L
7,Metizport,15/03/24,Elisa Invitational Spring 2024 Contenders,ex-ENEIDA,Ancient,11 - 13,L
8,Metizport,13/03/24,IEM Dallas 2024 Europe Closed Qualifier,HEROIC,Anubis,5 - 13,L
9,Metizport,12/03/24,IEM Dallas 2024 Europe Closed Qualifier,Apeks,Inferno,13 - 6,W
10,Metizport,11/03/24,IEM Dallas 2024 Europe Closed Qualifier,ENCE,Ancient,5 - 13,L
11,Metizport,09/03/24,BLAST Premier Spring Showdown 2024,Monte,Mirage,13 - 5,W
12,Metizport,09/03/24,ESL Challenger Jönköping 2024 Sweden Open Qualifier,Lemondogs,Mirage,13 - 4,W
13,Metizport,06/03/24,BLAST Premier Spring Showdown 2024,Falcons,Vertigo,13 - 11,W
14,Metizport,03/03/24,IEM Dallas 2024 Europe Open Qualifier 1,ILIN,Mirage,13 - 8,W
15,Metizport,03/03/24,Elisa Invitational Spring 2024 Contenders,ECLOT,Anubis,8 - 13,L
16,Metizport,28/02/24,Elisa Invitational Spring 2024 Contenders,INGLORIOUS,Mirage,13 - 3,W
17,Metizport,11/02/24,RES Western European Masters Spring 2024 - BLAST Premier Qualifier,Apeks,Inferno,13 - 6,W
18,Metizport,10/02/24,RES Western European Masters Spring 2024 - BLAST Premier Qualifier,FURIA,Mirage,13 - 5,W
19,Metizport,10/02/24,RES Western European Masters Spring 2024 - BLAST Premier Qualifier,FURIA,Ancient,13 - 5,W
20,Metizport,06/02/24,European Pro League Season 13,Into the Breach,Overpass,1 - 13,L
21,Metizport,04/02/24,A1 Gaming League Season 8,500,Ancient,10 - 13,L
