,team,data,match,opponent,map_map,result,w_l
0,MIBR,10/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,Imperial,Nuke,13 - 6,W
1,MIBR,09/04/24,ESL Challenger League Season 47 South America,adalYamigos,Nuke,16 - 13,W
2,MIBR,08/04/24,RES Regional Series 3 LATAM,W7M,Anubis,13 - 7,W
3,MIBR,06/04/24,RES Regional Series 3 LATAM,Bounty Hunters,Ancient,13 - 5,W
4,MIBR,05/04/24,ESL Challenger League Season 47 South America,Fluxo,Inferno,14 - 16,L
5,MIBR,04/04/24,ESL Challenger League Season 47 South America,Solid,Ancient,13 - 4,W
6,MIBR,03/04/24,ESL Challenger Jönköping 2024 South America Closed Qualifier,Fluxo,Ancient,13 - 6,W
7,MIBR,02/04/24,ESL Challenger Jönköping 2024 South America Closed Qualifier,Sharks,Nuke,13 - 9,W
8,MIBR,27/03/24,ESL Challenger League Season 47 South America,Case,Ancient,13 - 11,W
9,MIBR,26/03/24,ESL Challenger League Season 47 South America,ODDIK,Ancient,13 - 5,W
10,MIBR,14/03/24,ESL Challenger League Season 47 South America,Sharks,Ancient,13 - 8,W
11,MIBR,10/03/24,RES Regional Series 2 LATAM,Galorys,Nuke,13 - 7,W
12,MIBR,03/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,Legacy,Vertigo,7 - 13,L
13,MIBR,01/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,BOSS,Ancient,9 - 13,L
14,MIBR,01/02/24,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,paiN,Mirage,13 - 11,W
15,MIBR,22/01/24,ESL Pro League Season 19 South America Open Qualifier,adalYamigos,Anubis,10 - 13,L
16,MIBR,20/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,TIMACETA,Ancient,13 - 10,W
17,MIBR,18/01/24,IEM Chengdu 2024 South America Closed Qualifier,9z,Ancient,13 - 1,W
18,MIBR,17/01/24,IEM Chengdu 2024 South America Closed Qualifier,9z,Inferno,6 - 13,L
19,MIBR,09/04/24,ESL Challenger League Season 47 South America,adalYamigos,Vertigo,13 - 4,W
20,MIBR,09/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,RED Canids,Anubis,13 - 9,W
21,MIBR,09/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,RED Canids,Ancient,13 - 7,W
22,MIBR,09/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,RED Canids,Mirage,7 - 13,L
23,MIBR,08/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,paiN,Vertigo,13 - 11,W
24,MIBR,08/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,paiN,Nuke,14 - 16,L
25,MIBR,08/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,paiN,Anubis,13 - 7,W
26,MIBR,06/04/24,ESL Challenger League Season 47 South America,Fluxo,Ancient,13 - 8,W
27,MIBR,05/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,ODDIK,Inferno,13 - 10,W
28,MIBR,05/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,ODDIK,Ancient,13 - 4,W
29,MIBR,05/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,ODDIK,Nuke,5 - 13,L
30,MIBR,04/04/24,ESL Challenger League Season 47 South America,Solid,Vertigo,13 - 11,W
